shy worrisome old-fashioned bored handsome friendly charming disturbed plain healthy
obedient glamorous putrid obnoxious hilarious curious super troubled vivacious excited
gentle zealous fantastic important different important fair weary fierce anxious
bewildered itchy selfish motionless dark pleasant homeless helpless attractive fine
cloudy doubtful easy alert vast anxious fierce black blue gleaming
determined beautiful cheerful creepy outstanding bright grotesque enchanting friendly hurt
sleepy brave clean gorgeous powerful healthy nasty ill powerful ugliest
bad kind talented blue combative annoying stormy expensive gifted funny
bloody unsightly light brainy happy fierce proud depressed defeated spotless
adorable healthy naughty ashamed horrible precious sore victorious lucky blushing
zealous faithful outstanding bewildered smiling drab mushy cloudy blushing tasty
temperature__148c temperature__87c temperature__61c temperature__10c temperature__3c temperature__5c temperature__86c temperature__24c temperature__84c temperature__71c
temperature__138c temperature__0c temperature__82c temperature__31c temperature__88c temperature__11c temperature__124c temperature__142c temperature__131c temperature__17c
temperature__84c temperature__139c temperature__98c temperature__88c temperature__69c temperature__92c temperature__141c temperature__52c temperature__7c temperature__64c
temperature__145c temperature__14c temperature__11c temperature__65c temperature__129c temperature__42c temperature__116c temperature__137c temperature__137c temperature__122c
temperature__148c temperature__46c temperature__86c temperature__69c temperature__100c temperature__69c temperature__142c temperature__132c temperature__36c temperature__142c
temperature__92c temperature__11c temperature__95c temperature__53c temperature__49c temperature__137c temperature__64c temperature__130c temperature__52c temperature__12c
temperature__17c temperature__7c temperature__41c temperature__24c temperature__98c temperature__88c temperature__92c temperature__129c temperature__50c temperature__36c
temperature__98c temperature__122c temperature__84c temperature__84c temperature__126c temperature__3c temperature__106c temperature__61c temperature__35c temperature__105c
temperature__7c temperature__2c temperature__147c temperature__116c temperature__23c temperature__130c temperature__147c temperature__3c temperature__6c temperature__77c
temperature__39c temperature__59c temperature__132c temperature__145c temperature__77c temperature__131c temperature__41c temperature__24c temperature__124c temperature__7c
temperature__51c temperature__63c temperature__10c temperature__123c temperature__0c temperature__21c temperature__142c temperature__132c temperature__87c temperature__51c
Wheat Plum Chartreuse Bisque White LavenderBlush MediumSpringGreen Feldspar Teal LawnGreen
RosyBrown Goldenrod MediumAquamarine Aquamarine PapayaWhip BlanchedAlmond Azure Teal DeepPink PaleGoldenrod
