SeaGreen Gold Pink CadetBlue LightSteelBlue MidnightBlue SaddleBrown ForestGreen DeepSkyBlue FloralWhite
WhiteSmoke Lime MintCream LawnGreen Orchid DarkViolet Chartreuse Feldspar LightSteelBlue Teal
MediumOrchid Pink SpringGreen MediumBlue FloralWhite MediumAquamarine Turquoise Cornsilk SaddleBrown LightGoldenrod
RoyalBlue Peru DarkOliveGreen LightGoldenrod LightPink Tan AliceBlue SeaGreen RosyBrown Cornsilk
LemonChiffon SpringGreen WhiteSmoke Beige Lime Snow AntiqueWhite MistyRose Orange LightSteelBlue
LightSlateGray DarkSeaGreen LightBlue ForestGreen SeaGreen LimeGreen NavajoWhite BlueViolet DarkRed CornflowerBlue
LightSalmon MediumSpringGreen LemonChiffon SandyBrown Brown Violet Crimson Red DarkOrange MistyRose
Violet DarkBlue LightGoldenrod Gray Pink PaleGreen LightYellow Gainsboro LightSkyBlue Orchid
Ivory Black MediumSlateBlue NavajoWhite DarkFuchsia DarkBlue Coral LightSlateBlue Bisque MistyRose
LightSeaGreen Salmon Aquamarine LightSteelBlue Crimson Moccasin DarkOrchid Purple Lavender Maroon
SlateBlue LightSlateBlue Aquamarine MediumSlateBlue Peru CadetBlue DarkCyan DarkOrange Tomato Moccasin
BinaryNumber_1000100 BinaryNumber_0011001 BinaryNumber_0010101 BinaryNumber_1010001 BinaryNumber_1001010 BinaryNumber_1100001 BinaryNumber_0010101 BinaryNumber_0110101 BinaryNumber_1011110 BinaryNumber_0000011
BinaryNumber_0001111 BinaryNumber_0001010 BinaryNumber_1000000 BinaryNumber_0001001 BinaryNumber_0100111 BinaryNumber_0000101 BinaryNumber_0100110 BinaryNumber_0011100 BinaryNumber_0010111 BinaryNumber_1010010
BinaryNumber_0100011 BinaryNumber_0101101 BinaryNumber_1011100 BinaryNumber_1010000 BinaryNumber_0101011 BinaryNumber_0011100 BinaryNumber_0110100 BinaryNumber_0010111 BinaryNumber_0010110 BinaryNumber_0101111
BinaryNumber_0000100 BinaryNumber_1001110 BinaryNumber_1011010 BinaryNumber_1010110 BinaryNumber_1011111 BinaryNumber_0001000 BinaryNumber_0111010 BinaryNumber_1011000 BinaryNumber_0011000 BinaryNumber_1001011
BinaryNumber_0001001 BinaryNumber_1011000 BinaryNumber_0001101 BinaryNumber_0011111 BinaryNumber_1010110 BinaryNumber_0011000 BinaryNumber_1010001 BinaryNumber_1010111 BinaryNumber_0100001 BinaryNumber_0010010
BinaryNumber_0110011 BinaryNumber_1100001 BinaryNumber_0001110 BinaryNumber_0100110 BinaryNumber_1011011 BinaryNumber_0100111 BinaryNumber_1000100 BinaryNumber_1100011 BinaryNumber_0010000 BinaryNumber_0101101
BinaryNumber_0101001 BinaryNumber_0101001 BinaryNumber_1001110 BinaryNumber_0111001 BinaryNumber_0000000 BinaryNumber_0001010 BinaryNumber_0011010 BinaryNumber_0100001 BinaryNumber_0000111 BinaryNumber_0101100
BinaryNumber_0000001 BinaryNumber_0100100 BinaryNumber_0011010 BinaryNumber_0111011 BinaryNumber_0000001 BinaryNumber_1011000 BinaryNumber_0110000 BinaryNumber_1010011 BinaryNumber_0111110 BinaryNumber_1010010
