PapayaWhip MediumPurple Red MediumSpringGreen Salmon Purple Crimson LemonChiffon Plum Tan
DarkBlue Violet DodgerBlue DarkSeaGreen BlueViolet Yellow MistyRose DarkSlateBlue BlanchedAlmond DarkCyan
NavajoWhite IndianRed LavenderBlush MediumOrchid DarkRed PapayaWhip DarkCyan Orchid LightSlateBlue Chartreuse
CornflowerBlue Blue Orchid SpringGreen Orchid LightBlue MediumAquamarine LightBlue LightSlateGray Gold
DarkOrange LightYellow DarkFuchsia SlateGray MistyRose DarkGray LightSkyBlue Teal Cyan Firebrick
Honeydew WhiteSmoke Pink Coral GreenYellow RoyalBlue LightYellow Tan RoyalBlue LightBlue
Bisque DarkSlateGray DeepSkyBlue MediumAquamarine Khaki CadetBlue Honeydew DarkRed Bisque Burlywood
DarkOliveGreen Aquamarine Purple MidnightBlue MediumSpringGreen DarkSeaGreen LightSteelBlue HotPink SkyBlue PaleGreen
DarkSlateGray LimeGreen LightSlateGray Turquoise Orchid Burlywood Lavender DarkFuchsia Gainsboro Black
Turquoise DarkRed Gainsboro Azure LightPink LightSeaGreen Linen PaleTurquoise Ivory Navy
LightCoral DeepPink CornflowerBlue Plum Tomato Seashell Tan PapayaWhip IndianRed PaleGoldenrod
Lungs Spleen Thymus Scrotum Nerves Retina Stomach Smallintestine Heart Lips
Brain Sensoryorgans Pancreas Cornea Hypothalamus Tongue Cerebellum Outerear Pharynx skeleton
Spleen Lungs Tonsils Outerear Eardrum Eye Jejunum Eardrum Cerebrum Tongue
Largeintestine Ligaments Lips Outerear Smallintestine Trachea Jejunum Outerear Nerves Pancreas
Interstitium Liver Thymus Trachea Bladder Stomach Kidneys Smallintestine Thalamus Interstitium
Cervix Gallbladder Sensoryorgans Esophagus Esophagus Ganglia Urethra Muscle Veins Ovaries
Bronchi Pharynx Capillaries Ligaments Midbrain Bone  Eardrum Bone  Ciliarybody Jejunum
Bone  Uterus Tongue Cecum Tendons Jejunum Ciliarybody Middleear Pons Capillaries
Eye Vagina Middleear Tongue Arteries Cecum Spleen Brain Thymus Trachea
Scrotum Placenta Heart Outerear Thymus Outerear Trachea Nerves Eye Tastebuds
Bone  Hypothalamus Analcanal Bladder Liver Tendons Outerear Clitoris Ossicles Jejunum
BinaryNumber_1001111 BinaryNumber_0101110 BinaryNumber_0010101 BinaryNumber_1000011 BinaryNumber_1001111 BinaryNumber_1011011 BinaryNumber_1001000 BinaryNumber_1001111 BinaryNumber_0101101 BinaryNumber_0010110
BinaryNumber_1000110 BinaryNumber_0000010 BinaryNumber_0001000 BinaryNumber_0100001 BinaryNumber_1011110 BinaryNumber_0010100 BinaryNumber_1000000 BinaryNumber_1011110 BinaryNumber_1011111 BinaryNumber_1001111
BinaryNumber_0011111 BinaryNumber_0001011 BinaryNumber_1010101 BinaryNumber_0011111 BinaryNumber_1000111 BinaryNumber_1010111 BinaryNumber_0010010 BinaryNumber_1000101 BinaryNumber_1011001 BinaryNumber_0001011
BinaryNumber_0011110 BinaryNumber_0110101 BinaryNumber_0000101 BinaryNumber_1100011 BinaryNumber_1001110 BinaryNumber_1010101 BinaryNumber_1001100 BinaryNumber_1010110 BinaryNumber_0100010 BinaryNumber_0001111
BinaryNumber_0010001 BinaryNumber_1011101 BinaryNumber_1011101 BinaryNumber_0001110 BinaryNumber_0101001 BinaryNumber_0110011 BinaryNumber_0101101 BinaryNumber_1011100 BinaryNumber_0000001 BinaryNumber_1001100
BinaryNumber_0011111 BinaryNumber_0011101 BinaryNumber_1010101 BinaryNumber_1000011 BinaryNumber_1000000 BinaryNumber_0100111 BinaryNumber_0101110 BinaryNumber_1010000 BinaryNumber_0101001 BinaryNumber_1010110
BinaryNumber_0010100 BinaryNumber_0111111 BinaryNumber_1000100 BinaryNumber_1001111 BinaryNumber_1001001 BinaryNumber_1011011 BinaryNumber_0101111 BinaryNumber_1010101 BinaryNumber_0010001 BinaryNumber_0000010
BinaryNumber_0000100 BinaryNumber_1010101 BinaryNumber_0001010 BinaryNumber_1011001 BinaryNumber_1100010 BinaryNumber_0011101 BinaryNumber_1000011 BinaryNumber_1000010 BinaryNumber_0001000 BinaryNumber_1100000
BinaryNumber_0101100 BinaryNumber_0101100 BinaryNumber_1100011 BinaryNumber_0010001 BinaryNumber_0110100 BinaryNumber_1010111 BinaryNumber_0110100 BinaryNumber_0011110 BinaryNumber_1000011 BinaryNumber_0101101
BinaryNumber_0100110 BinaryNumber_0101110 BinaryNumber_0011000 BinaryNumber_0010000 BinaryNumber_0011101 BinaryNumber_1010100 BinaryNumber_0001001 BinaryNumber_1001101 BinaryNumber_1011000 BinaryNumber_1001010
