poised scary fierce cute sparkling shiny kind bewildered shy clean
distinct funny panicky smoggy tame wild determined happy wrong poised
kind impossible light depressed hilarious tame motionless worried easy annoyed
bright motionless wicked inquisitive unusual lazy tense rich gifted poor
sore gorgeous inquisitive exuberant unusual important unusual thoughtless nice brainy
muddy perfect sparkling nice blue confused envious sleepy annoying defeated
concerned obedient dull breakable blue-eyed black jittery gifted lonely angry
enchanting brave thankful curious grieving open silly gifted anxious glamorous
grieving easy clean nice worried filthy cute open bad curious
bloody pleasant fine sleepy panicky jealous confused wide-eyed grieving weary
beautiful jolly hungry angry putrid uptight lucky zealous misty bright
SquareNumber_5041 SquareNumber_841 SquareNumber_144 SquareNumber_256 SquareNumber_900 SquareNumber_4 SquareNumber_256 SquareNumber_1156 SquareNumber_64 SquareNumber_9216
SquareNumber_3249 SquareNumber_7056 SquareNumber_7744 SquareNumber_676 SquareNumber_5329 SquareNumber_6400 SquareNumber_6889 SquareNumber_1521 SquareNumber_9801 SquareNumber_576
SquareNumber_256 SquareNumber_676 SquareNumber_1600 SquareNumber_784 SquareNumber_2500 SquareNumber_3481 SquareNumber_1600 SquareNumber_169 SquareNumber_4225 SquareNumber_16
SquareNumber_1444 SquareNumber_729 SquareNumber_64 SquareNumber_100 SquareNumber_4900 SquareNumber_1296 SquareNumber_8649 SquareNumber_841 SquareNumber_529 SquareNumber_361
SquareNumber_324 SquareNumber_1681 SquareNumber_576 SquareNumber_1369 SquareNumber_729 SquareNumber_3364 SquareNumber_676 SquareNumber_10000 SquareNumber_196 SquareNumber_7225
SquareNumber_289 SquareNumber_10000 SquareNumber_25 SquareNumber_8281 SquareNumber_7396 SquareNumber_1024 SquareNumber_7056 SquareNumber_7921 SquareNumber_5929 SquareNumber_5476
SquareNumber_361 SquareNumber_4356 SquareNumber_5625 SquareNumber_4489 SquareNumber_3025 SquareNumber_4624 SquareNumber_2500 SquareNumber_625 SquareNumber_961 SquareNumber_6889
SquareNumber_9801 SquareNumber_1849 SquareNumber_4096 SquareNumber_121 SquareNumber_81 SquareNumber_1521 SquareNumber_8100 SquareNumber_6561 SquareNumber_9216 SquareNumber_7225
SquareNumber_4 SquareNumber_144 SquareNumber_1156 SquareNumber_3025 SquareNumber_841 SquareNumber_1681 SquareNumber_324 SquareNumber_4489 SquareNumber_3969 SquareNumber_2704
SquareNumber_9216 SquareNumber_1156 SquareNumber_1764 SquareNumber_625 SquareNumber_9 SquareNumber_9216 SquareNumber_5476 SquareNumber_49 SquareNumber_361 SquareNumber_4489
SquareNumber_4761 SquareNumber_3844 SquareNumber_625 SquareNumber_1936 SquareNumber_81 SquareNumber_8649 SquareNumber_784 SquareNumber_841 SquareNumber_2401 SquareNumber_4624
temperature__7c temperature__144c temperature__145c temperature__142c temperature__137c temperature__146c temperature__65c temperature__124c temperature__118c temperature__139c
temperature__98c temperature__139c temperature__85c temperature__108c temperature__130c temperature__58c temperature__93c temperature__106c temperature__91c temperature__10c
temperature__140c temperature__87c temperature__26c temperature__39c temperature__139c temperature__108c temperature__145c temperature__54c temperature__140c temperature__69c
temperature__88c temperature__63c temperature__79c temperature__41c temperature__52c temperature__10c temperature__78c temperature__34c temperature__120c temperature__27c
temperature__70c temperature__82c temperature__3c temperature__71c temperature__36c temperature__49c temperature__0c temperature__47c temperature__138c temperature__61c
temperature__109c temperature__138c temperature__40c temperature__106c temperature__140c temperature__7c temperature__41c temperature__131c temperature__141c temperature__4c
temperature__70c temperature__148c temperature__40c temperature__122c temperature__47c temperature__124c temperature__136c temperature__130c temperature__93c temperature__49c
temperature__54c temperature__5c temperature__7c temperature__137c temperature__118c temperature__105c temperature__71c temperature__53c temperature__131c temperature__58c
temperature__63c temperature__58c temperature__39c temperature__141c temperature__4c temperature__87c temperature__77c temperature__74c temperature__73c temperature__145c
temperature__147c temperature__74c temperature__41c temperature__87c temperature__46c temperature__16c temperature__124c temperature__0c temperature__124c temperature__41c
temperature__56c temperature__8c temperature__33c temperature__124c temperature__10c temperature__147c temperature__58c temperature__73c temperature__91c temperature__71c
