MediumBlue Aquamarine OliveDrab DarkSlateGray Teal LawnGreen LightCoral PaleTurquoise Red Beige
LightCyan RoyalBlue MediumAquamarine LightCyan BlanchedAlmond LightGreen DarkGreen DarkKhaki Blue Fuchsia
Moccasin LightGoldenrod Coral DarkSeaGreen BlanchedAlmond DarkOliveGreen RoyalBlue VioletRed Violet LightSteelBlue
DarkKhaki Green Lavender GhostWhite DarkOrchid Chocolate Gold SlateBlue BlueViolet LightGray
Turquoise DeepPink MediumSlateBlue SlateGray LightGray HotPink Yellow DarkKhaki DarkBlue LightBlue
MistyRose LightGoldenrodYellow MediumSlateBlue LightSkyBlue DarkSalmon Green LightGoldenrod LawnGreen Cornsilk Tomato
LightSalmon DarkSeaGreen Thistle Coral Ivory MediumSlateBlue Gainsboro LavenderBlush Silver Gold
SkyBlue Teal ForestGreen Aquamarine Wheat GreenYellow VioletRed Chartreuse DarkRed Orchid
GhostWhite SpringGreen MediumSlateBlue DodgerBlue MediumSeaGreen FloralWhite MediumOrchid LightSkyBlue Yellow LightSlateGray
Aquamarine WhiteSmoke Navy DarkKhaki Maroon LightSlateBlue MediumOrchid DarkRed OldLace Indigo
Orange Ivory Plum White Feldspar DarkGoldenrod Gray DimGray DarkKhaki IndianRed
pasta cheese chicken rice seafood animal provender cooking nourishment eat
nutrition seafood nutrition nutrition meat meat sushi victuals animal chicken
fruits vegetables pasta soup chicken meat fruit soup sushi milk animal
drinks cheese rice rice meat cooking victuals soup nutrition beef
meat meal victuals vegetable fruits vegetables beef meals drinks nourishment rice
rice nutrient meat vegetable provender sushi plant meat restaurant cheese
victuals vegetable cooking meal meal edible beef drinks sushi provender
eat sushi pasta provender edible plant fruit eat pasta meat
meat plant rice nourishment fruit pasta sushi fruits vegetables cheese soup
animal chicken nutrition seafood seafood chicken fruit cooking pasta pasta
animal cooking meals nutrition meal beef eat vegetable cooking meal
daw microprocessor computerprogramming inputdevice internet keyboard computercide computercide xbox machines
monitor digitalcommunication game electrical microprocessor information keyboard electrical ibook camera
cell cpu virtualreality camera phone cybertechnology desktop chip sliderule device
data astrolabe centralprocessing unit algorithm floppydisk information digitalcommunication calculator phone router
watch integratedcircuit imac console arithmetic social cell dataconverter computercide sliderule
programming mechanicalcomputer console pc mobile machinecode console computerhardware spyware desktop
computing supercomputer supercomputer digitalcomputer mainframe desktoppcs information centralprocessing unit eniac desktoppcs
mobiledevice arithmetic turingmachine computerprogramming programmer antivirus digitalcomputer desktoppcs screen hardware
mechanicalcomputer chip keyboard camera information digitalcommunication processor software hardware vacuumtube
vacuumtube integratedcircuit daw cpu centralprocessing unit eniac smartphone computerprogramming console turingmachine
digitalcomputer computing virtualreality information digital microprocessor desktopcomputer daw integratedcircuit escapekey
precious putrid successful relieved fantastic excited doubtful frightened dull fierce
nice awful light embarrassed powerful sleepy glamorous lazy dizzy gleaming
curious tough disturbed wandering repulsive motionless successful cooperative stupid unsightly
tasty muddy gleaming breakable outrageous prickly thoughtless bad busy worrisome
ashamed ill grumpy uptight drab busy weary itchy modern adorable
nervous smiling precious light uptight hurt defiant better wild zealous
thankful glamorous fragile smoggy expensive putrid handsome wild homeless defiant
stupid blushing plain frightened scary friendly helpless colorful wide-eyed clumsy
defeated glamorous depressed anxious joyous impossible stupid vast graceful ill
cloudy funny doubtful nutty fragile cute troubled delightful fancy putrid
dull modern poor plain embarrassed drab dangerous adorable fair gentle
BinaryNumber_0000100 BinaryNumber_1001100 BinaryNumber_0010001 BinaryNumber_0100111 BinaryNumber_1000011 BinaryNumber_0001001 BinaryNumber_1010000 BinaryNumber_0011001 BinaryNumber_1000011 BinaryNumber_0011010
BinaryNumber_0000000 BinaryNumber_0110111 BinaryNumber_1000101 BinaryNumber_1011100 BinaryNumber_1100010 BinaryNumber_0100100 BinaryNumber_0111101 BinaryNumber_0000111 BinaryNumber_0111000 BinaryNumber_0000110
BinaryNumber_0101010 BinaryNumber_0111011 BinaryNumber_1011010 BinaryNumber_1001000 BinaryNumber_0101000 BinaryNumber_1001101 BinaryNumber_0000001 BinaryNumber_0001001 BinaryNumber_1011110 BinaryNumber_1001010
BinaryNumber_0111011 BinaryNumber_0001001 BinaryNumber_0001011 BinaryNumber_0001101 BinaryNumber_0100000 BinaryNumber_1000101 BinaryNumber_1100011 BinaryNumber_1010011 BinaryNumber_1011001 BinaryNumber_1011011
BinaryNumber_1001010 BinaryNumber_0010000 BinaryNumber_1100011 BinaryNumber_0010110 BinaryNumber_0000001 BinaryNumber_0001001 BinaryNumber_0000110 BinaryNumber_1000111 BinaryNumber_1100010 BinaryNumber_1010010
BinaryNumber_0001011 BinaryNumber_1001001 BinaryNumber_0011101 BinaryNumber_1011001 BinaryNumber_0000111 BinaryNumber_0010111 BinaryNumber_1001010 BinaryNumber_0111010 BinaryNumber_0010100 BinaryNumber_1000011
BinaryNumber_1011101 BinaryNumber_1000011 BinaryNumber_1001001 BinaryNumber_0110101 BinaryNumber_1010100 BinaryNumber_0110011 BinaryNumber_0100001 BinaryNumber_0010000 BinaryNumber_0111100 BinaryNumber_1011111
BinaryNumber_1011100 BinaryNumber_0110100 BinaryNumber_0010110 BinaryNumber_0000110 BinaryNumber_0001001 BinaryNumber_0111101 BinaryNumber_0000110 BinaryNumber_1001010 BinaryNumber_0011111 BinaryNumber_1000111
BinaryNumber_0001001 BinaryNumber_1100001 BinaryNumber_1000111 BinaryNumber_1011111 BinaryNumber_1011000 BinaryNumber_0110101 BinaryNumber_1001101 BinaryNumber_1010100 BinaryNumber_0101101 BinaryNumber_1001010
BinaryNumber_0111011 BinaryNumber_0001001 BinaryNumber_1010010 BinaryNumber_1011001 BinaryNumber_0101110 BinaryNumber_0011010 BinaryNumber_0110011 BinaryNumber_0000110 BinaryNumber_1011110 BinaryNumber_1010001
BinaryNumber_0101011 BinaryNumber_1010001 BinaryNumber_1001000 BinaryNumber_0010100 BinaryNumber_1001010 BinaryNumber_1011010 BinaryNumber_1000110 BinaryNumber_0010000 BinaryNumber_0010001 BinaryNumber_1010011
incarceration forensic statutory lift transgression crime unsolved slayings legal offenders
