Gray Blue Violet Honeydew MintCream Fuchsia MediumPurple LightPink Turquoise Navy
GhostWhite DimGray Gainsboro RosyBrown DarkOrchid MediumTurquoise Teal LightCoral CadetBlue LightGoldenrod
WhiteSmoke Seashell IndianRed DimGray Sienna RosyBrown Green LawnGreen MediumOrchid RoyalBlue
LightGoldenrod MediumOrchid LightGray Yellow Plum MediumOrchid DarkOrange Cyan PaleGreen SlateGray
Plum LightPink DarkSlateBlue AntiqueWhite LimeGreen GhostWhite Purple Violet IndianRed Pink
LightSlateBlue Gold DarkSlateBlue Peru MediumPurple DarkSlateBlue DarkCyan Bisque Lime Coral
Tan MintCream MintCream OldLace Bisque AliceBlue MistyRose LightSlateBlue DeepSkyBlue Beige
LimeGreen LightGreen MediumVioletRed MediumBlue LightCoral MediumVioletRed Sienna SkyBlue GhostWhite DarkGreen
Tan MediumSlateBlue OrangeRed LightGray WhiteSmoke Brown BlanchedAlmond DarkRed Blue DarkFuchsia
Burlywood Cornsilk Navy LightSkyBlue BlanchedAlmond LightGreen Brown DarkFuchsia DarkSlateBlue OldLace
Red RoyalBlue Brown GreenYellow Maroon DimGray Maroon Goldenrod DarkSlateGray Wheat
BinaryNumber_0111101 BinaryNumber_0110100 BinaryNumber_1011101 BinaryNumber_0001010 BinaryNumber_1011000 BinaryNumber_1000010 BinaryNumber_1000101 BinaryNumber_0110110 BinaryNumber_0111111 BinaryNumber_0001011
BinaryNumber_0100110 BinaryNumber_0000011 BinaryNumber_0110011 BinaryNumber_1000010 BinaryNumber_1010010 BinaryNumber_0001100 BinaryNumber_0101010 BinaryNumber_0001110 BinaryNumber_0100011 BinaryNumber_0010100
BinaryNumber_1100010 BinaryNumber_0101110 BinaryNumber_1010100 BinaryNumber_0011011 BinaryNumber_0110001 BinaryNumber_0101101 BinaryNumber_0111000 BinaryNumber_1010010 BinaryNumber_1000111 BinaryNumber_0110101
BinaryNumber_1000011 BinaryNumber_0110010 BinaryNumber_0100010 BinaryNumber_0000011 BinaryNumber_0001000 BinaryNumber_0010001 BinaryNumber_0011010 BinaryNumber_0000101 BinaryNumber_0111111 BinaryNumber_1001111
BinaryNumber_1000101 BinaryNumber_0101111 BinaryNumber_1001000 BinaryNumber_0111100 BinaryNumber_0100001 BinaryNumber_0101111 BinaryNumber_0010100 BinaryNumber_0111011 BinaryNumber_0101000 BinaryNumber_0001110
BinaryNumber_0100110 BinaryNumber_0000111 BinaryNumber_0111110 BinaryNumber_0101010 BinaryNumber_1000100 BinaryNumber_0010011 BinaryNumber_0101001 BinaryNumber_0001111 BinaryNumber_0101010 BinaryNumber_0001011
BinaryNumber_0110001 BinaryNumber_1001110 BinaryNumber_1010011 BinaryNumber_0101000 BinaryNumber_0111011 BinaryNumber_0010111 BinaryNumber_1000000 BinaryNumber_0000001 BinaryNumber_1011100 BinaryNumber_0001101
