Aquamarine MediumOrchid LightCoral OliveDrab DarkOliveGreen Maroon DarkSlateGray OldLace DarkFuchsia Sienna
Chartreuse DarkOrchid DarkSalmon Brown Sienna MistyRose Seashell LimeGreen DarkGreen BlueViolet
DarkRed Burlywood LimeGreen DeepSkyBlue White LightSalmon Tan RosyBrown HotPink SkyBlue
Maroon LightGoldenrodYellow CadetBlue DarkGoldenrod RosyBrown Lavender SlateGray Thistle Moccasin VioletRed
DarkSeaGreen Goldenrod DarkTurquoise DarkSalmon OliveDrab Peru LightCoral LightSkyBlue LavenderBlush LightCyan
Honeydew DarkTurquoise Black Tan AliceBlue DarkGreen Gold ForestGreen Silver FloralWhite
Yellow Burlywood Chartreuse LightSlateBlue Fuchsia LightGreen DodgerBlue HotPink MediumSpringGreen Linen
OrangeRed PaleGreen SpringGreen SaddleBrown DarkViolet SaddleBrown BlueViolet Indigo Salmon White
Lavender Gold DarkSeaGreen Sienna HotPink Red VioletRed LightSteelBlue Cyan LightSkyBlue
PaleTurquoise DeepPink LightSteelBlue BlueViolet LemonChiffon LightSlateGray DarkOliveGreen DarkOrange Azure White
Thistle BlanchedAlmond Coral Linen Burlywood MediumBlue Aquamarine Brown ForestGreen Purple
BinaryNumber_0001000 BinaryNumber_0001111 BinaryNumber_0000111 BinaryNumber_1100010 BinaryNumber_0110111 BinaryNumber_0001000 BinaryNumber_0010000 BinaryNumber_1010000 BinaryNumber_1001000 BinaryNumber_0001010
BinaryNumber_0101000 BinaryNumber_1000111 BinaryNumber_0001011 BinaryNumber_0010000 BinaryNumber_0111001 BinaryNumber_0101011 BinaryNumber_1010100 BinaryNumber_0001111 BinaryNumber_0100100 BinaryNumber_1001010
BinaryNumber_1011111 BinaryNumber_1001001 BinaryNumber_1010101 BinaryNumber_0000101 BinaryNumber_1011010 BinaryNumber_0111000 BinaryNumber_0001001 BinaryNumber_1011100 BinaryNumber_0101011 BinaryNumber_1010001
BinaryNumber_0011010 BinaryNumber_0000001 BinaryNumber_0100001 BinaryNumber_0110110 BinaryNumber_0000101 BinaryNumber_0110110 BinaryNumber_1011001 BinaryNumber_1010100 BinaryNumber_1000101 BinaryNumber_0100111
BinaryNumber_0101000 BinaryNumber_1000100 BinaryNumber_0011010 BinaryNumber_0101111 BinaryNumber_0000011 BinaryNumber_0011000 BinaryNumber_0111100 BinaryNumber_1010101 BinaryNumber_1010010 BinaryNumber_0010101
