Honeyberry Salmonberry Quince Jujube Orange Pineapple Açaí Pawpaw Cloudberry Boysenberry
Mulberry Honeydew Papaya Peach Gooseberry Huckleberry Date Rambutan  Guava Raisin
Clementine Jostaberry Persimmon Feijoa Breadfruit Araza Cranberry Jujube Mango Date
Clementine Prune Nectarine Orange Tayberry Guava Canistel Sapote Lemon Kiwifruit
Pomegranate Grapefruit Canistel Kiwifruit Rambutan  Cloudberry Lemon Peach Cempedak Jambul
Tayberry Feijoa Persimmon Date Persimmon Pineberry Cashew Salmonberry Cempedak Honeyberry
Ximenia Apricot Loquat Jambul Lulo Abiu Apple Papaya Huckleberry Nectarine
Ximenia Plantain Yuzu Peach Pineapple Plum Salmonberry Sapodilla Mandarine Mangosteen
Feijoa Kumquat Plantain Loquat Plumcot Honeydew Cranberry Mangosteen Nance Blackcurrant
Pineberry Plantain Pineapple Currant Açaí Apple Pawpaw Nectarine Breadfruit Longan
Pineberry Nance Boysenberry Banana Cantaloupe Nectarine Yuzu Redcurrant Avocado Jostaberry
BinaryNumber_0100010 BinaryNumber_0101100 BinaryNumber_0000100 BinaryNumber_0010000 BinaryNumber_0000101 BinaryNumber_0100100 BinaryNumber_1000011 BinaryNumber_0000001 BinaryNumber_0000110 BinaryNumber_0101010
BinaryNumber_1010000 BinaryNumber_0010001 BinaryNumber_1011010 BinaryNumber_0100010 BinaryNumber_0110000 BinaryNumber_0110011 BinaryNumber_0000100 BinaryNumber_0000000 BinaryNumber_1010100 BinaryNumber_0111100
BinaryNumber_0000000 BinaryNumber_1011001 BinaryNumber_0100000 BinaryNumber_0000110 BinaryNumber_0001101 BinaryNumber_1010100 BinaryNumber_0001101 BinaryNumber_0110000 BinaryNumber_1011100 BinaryNumber_1001100
BinaryNumber_0011111 BinaryNumber_0111001 BinaryNumber_0100100 BinaryNumber_0110010 BinaryNumber_0011011 BinaryNumber_0000000 BinaryNumber_0100000 BinaryNumber_0010100 BinaryNumber_0100000 BinaryNumber_0100011
BinaryNumber_1010011 BinaryNumber_0010010 BinaryNumber_1000000 BinaryNumber_0000010 BinaryNumber_1011010 BinaryNumber_0010000 BinaryNumber_0001010 BinaryNumber_0111101 BinaryNumber_0011111 BinaryNumber_0101111
BinaryNumber_1000101 BinaryNumber_0001000 BinaryNumber_0101001 BinaryNumber_0010011 BinaryNumber_0001100 BinaryNumber_0110000 BinaryNumber_0101000 BinaryNumber_0100001 BinaryNumber_1000100 BinaryNumber_0111111
BinaryNumber_0110010 BinaryNumber_1000010 BinaryNumber_0011001 BinaryNumber_0101000 BinaryNumber_0100010 BinaryNumber_0110000 BinaryNumber_1100001 BinaryNumber_0101111 BinaryNumber_0100000 BinaryNumber_0101011
BinaryNumber_0010001 BinaryNumber_0101101 BinaryNumber_0001101 BinaryNumber_1011110 BinaryNumber_0010101 BinaryNumber_1100001 BinaryNumber_0000001 BinaryNumber_0001011 BinaryNumber_1100010 BinaryNumber_1100010
BinaryNumber_0011010 BinaryNumber_0100001 BinaryNumber_1000101 BinaryNumber_1001101 BinaryNumber_1001011 BinaryNumber_1011101 BinaryNumber_1010011 BinaryNumber_0010001 BinaryNumber_0100100 BinaryNumber_1011111
BinaryNumber_0001000 BinaryNumber_0110111 BinaryNumber_0100000 BinaryNumber_0011001 BinaryNumber_0110101 BinaryNumber_0111001 BinaryNumber_0011000 BinaryNumber_0001000 BinaryNumber_0011001 BinaryNumber_0100110
