Azure DarkSlateBlue DarkGray LimeGreen Sienna DarkBlue PaleVioletRed Goldenrod AntiqueWhite DarkGreen
MediumOrchid PaleVioletRed PaleGoldenrod LightGoldenrod DarkSalmon AliceBlue LimeGreen Aquamarine OliveDrab Chocolate
MediumAquamarine Honeydew DarkBlue LightPink Linen OliveDrab DarkOliveGreen Tomato Seashell Seashell
DimGray Salmon Feldspar Indigo DarkSalmon Burlywood GreenYellow MediumSpringGreen DarkViolet MediumSlateBlue
IndianRed LightGray DarkGoldenrod PaleGreen MediumBlue BlanchedAlmond DarkBlue Azure DeepPink Lavender
DarkBlue Cornsilk VioletRed Ivory Khaki DarkSalmon LimeGreen LightSalmon SkyBlue Fuchsia
Lime Navy Khaki MidnightBlue DarkSalmon RoyalBlue Gainsboro LightPink Pink Feldspar
MediumVioletRed CadetBlue Teal LightSalmon MintCream Lime HotPink BlanchedAlmond FloralWhite Navy
DarkSlateBlue LightSteelBlue LightSteelBlue MediumAquamarine SteelBlue Orchid Fuchsia Coral LightCyan MediumAquamarine
MintCream LawnGreen LightSlateGray Tomato Tomato SandyBrown WhiteSmoke OldLace Chocolate CadetBlue
SaddleBrown LightGoldenrod Silver Fuchsia Beige OrangeRed Fuchsia Coral Thistle Cyan
Mangosteen Prune Loquat Grapefruit Lychee Açaí Orange Jambul Raisin Rambutan 
Currant Tangerine Tayberry Coconut Marionberry Kumquat Loquat Peach Jujube Marionberry
Lime Grape Jambul Plumcot Papaya Cashew Kumquat Tamarillo Clementine Redcurrant
Persimmon Durian Huckleberry Yuzu Damson Peach Plum Yuzu Tayberry Blueberry
Redcurrant Lemon Damson Rambutan  Breadfruit Cherimoya Grapefruit Abiu Passionfruit Orange
Currant Cranberry Coconut Melon Peach Loganberry Avocado Tamarillo Papaya Nance
Pomegranate Jambul Lulo Orange Honeyberry Nectarine Blueberry Strawberry Breadfruit Marionberry
Salmonberry Marionberry Persimmon Feijoa Banana Date Pear Pomegranate Strawberry Boysenberry
Passionfruit Persimmon Papaya Feijoa Sapodilla Loquat Banana Blackberry Acerola Grapefruit
Cloudberry Raspberry Melon Salmonberry Orange Guava Cashew Rambutan  Plumcot Satsuma
Currant Strawberry Akebi Guava Honeydew Rambutan  Orange Coconut Kiwano Cempedak
11:45 11:17 16:43 20:31 19:38 21:17 17:37 16:56 20:10 14:39
12:49 12:56 17:16 14:58 20:29 18:53 12:52 12:38 15:46 10:57
16:10 17:39 23:11 14:15 22:44 20:54 19:35 17:13 21:25 20:13
20:47 21:46 23:40 13:14 12:40 16:55 14:50 22:14 14:41 12:12
22:44 21:48 11:39 11:12 14:24 20:33 17:56 12:52 19:56 22:35
21:46 15:19 15:46 12:43 14:20 15:40 16:48 15:26 10:47 18:42
23:21 21:20 23:34 20:55 14:34 10:30 12:41 14:47 20:55 18:59
10:56 11:12 18:11 18:42 22:48 21:12 20:43 17:33 22:47 14:26
21:25 21:53 16:33 11:33 16:11 18:36 11:39 18:15 19:14 12:44
11:55 16:52 17:43 19:57 12:50 16:53 16:18 10:22 10:27 18:40
19:10 13:38 19:40 16:12 14:19 21:21 16:54 12:35 17:14 22:43
BinaryNumber_0011010 BinaryNumber_1000000 BinaryNumber_0100110 BinaryNumber_1011101 BinaryNumber_1001101 BinaryNumber_0001010 BinaryNumber_0011011 BinaryNumber_0000001 BinaryNumber_0011011 BinaryNumber_0000011
BinaryNumber_0101011 BinaryNumber_1011011 BinaryNumber_0001010 BinaryNumber_0000110 BinaryNumber_0001110 BinaryNumber_0110011 BinaryNumber_1001111 BinaryNumber_0001101 BinaryNumber_1010111 BinaryNumber_0100010
BinaryNumber_1000010 BinaryNumber_1001010 BinaryNumber_1100011 BinaryNumber_1011000 BinaryNumber_1001110 BinaryNumber_1011001 BinaryNumber_1000110 BinaryNumber_0000000 BinaryNumber_0110010 BinaryNumber_0010001
BinaryNumber_0000110 BinaryNumber_1010000 BinaryNumber_1100000 BinaryNumber_0111000 BinaryNumber_0000101 BinaryNumber_0001001 BinaryNumber_0110101 BinaryNumber_1010000 BinaryNumber_0000001 BinaryNumber_1001000
