Tamarillo Kumquat Cloudberry Honeydew Nectarine Salak Persimmon Lulo Cempedak Damson
Avocado Yuzu Soursop Mulberry Cloudberry Redcurrant Cashew Acerola Durian Loquat
Clementine Mango Guava Date Prune Marionberry Jujube Lime Kumquat Pineapple
Plumcot Banana Gooseberry Jambul Blackcurrant Fig Cranberry Ackee Akebi Jostaberry
Raspberry Plantain Pawpaw Melon Soursop Araza Cempedak Honeydew Tangelo Tamarind
Watermelon Marionberry Tangelo Ackee Orange Abiu Raisin Peach Ximenia Avocado
Durian Mandarine Boysenberry Melon Date Loganberry Kumquat Melon Avocado Blackcurrant
Guava Nance Sapote Banana Pineberry Abiu Rambutan  Tamarillo Kumquat Pineberry
Canistel Persimmon Satsuma Mandarine Yuzu Nance Watermelon Cherimoya Pomegranate Redcurrant
Pawpaw Mandarine Pomegranate Loquat Longan Elderberry Watermelon Soursop Durian Bilberry
Soursop Gooseberry Grapefruit Mandarine Raisin Cherimoya Apple Coconut Tangerine Apricot
temperature__4c temperature__148c temperature__136c temperature__138c temperature__3c temperature__26c temperature__4c temperature__56c temperature__145c temperature__86c
temperature__61c temperature__147c temperature__17c temperature__28c temperature__51c temperature__24c temperature__16c temperature__105c temperature__91c temperature__84c
temperature__130c temperature__23c temperature__130c temperature__46c temperature__6c temperature__146c temperature__95c temperature__88c temperature__137c temperature__41c
temperature__116c temperature__145c temperature__40c temperature__61c temperature__88c temperature__132c temperature__54c temperature__82c temperature__41c temperature__69c
temperature__59c temperature__11c temperature__47c temperature__21c temperature__57c temperature__26c temperature__88c temperature__3c temperature__71c temperature__39c
temperature__105c temperature__126c temperature__14c temperature__86c temperature__4c temperature__137c temperature__16c temperature__58c temperature__31c temperature__46c
temperature__122c temperature__63c temperature__84c temperature__140c temperature__138c temperature__146c temperature__122c temperature__54c temperature__16c temperature__85c
temperature__34c temperature__6c temperature__148c temperature__58c temperature__108c temperature__59c temperature__111c temperature__68c temperature__142c temperature__140c
temperature__93c temperature__93c temperature__16c temperature__31c temperature__14c temperature__63c temperature__70c temperature__16c temperature__77c temperature__70c
temperature__65c temperature__136c temperature__132c temperature__21c temperature__7c temperature__85c temperature__139c temperature__63c temperature__71c temperature__21c
