Larynx Rectum Retina Ureter Gallbladder Cranialnerves Jejunum Earlobe Ciliarybody Outerear
Ossicles Nerves Rectum Thalamus Bone  Rectum Duodenum Middleear Ossicles Cornea
Nerves Mesentery Veins Cerebrum Tastebuds Arteries Ileum Pons Capillaries Sensoryorgans
Uterus Pharynx Trachea Vagina skeleton Analcanal Lips Cerebrum Tongue Eye
Ear Larynx Tendons Analcanal Hypothalamus Clitoris Tongue Liver Kidneys Ovaries
Bronchi Lens Ossicles Larynx Eye Uterus Ganglia Ciliarybody Ear Ovaries
Bronchi Trachea Pharynx Esophagus Stomach Eye Ganglia Midbrain Pons Lips
Sensoryorgans Jejunum Uterus Larynx Cornea Iris Esophagus Bone  Jejunum Ossicles
Innerear Liver Middleear Mesentery Clitoris Larynx Middleear Ovaries Tongue Larynx
Interstitium Smallintestine Spleen Iris Spleen Eardrum Ossicles Fallopiantubes Ossicles Tongue
Pharynx Capillaries Largeintestine Larynx Urethra Ear Larynx Liver Pharynx Capillaries
BinaryNumber_1001100 BinaryNumber_1000001 BinaryNumber_1000001 BinaryNumber_1010100 BinaryNumber_1000110 BinaryNumber_1001111 BinaryNumber_0011111 BinaryNumber_1000111 BinaryNumber_0110111 BinaryNumber_0110111
BinaryNumber_0101000 BinaryNumber_0011100 BinaryNumber_1011000 BinaryNumber_0111110 BinaryNumber_0011001 BinaryNumber_0001001 BinaryNumber_1010011 BinaryNumber_1001100 BinaryNumber_0000001 BinaryNumber_0101011
BinaryNumber_0010000 BinaryNumber_1000111 BinaryNumber_1001111 BinaryNumber_1011111 BinaryNumber_0010000 BinaryNumber_0111100 BinaryNumber_1010101 BinaryNumber_1000010 BinaryNumber_1010110 BinaryNumber_0110001
BinaryNumber_0010100 BinaryNumber_0011000 BinaryNumber_0001100 BinaryNumber_0110011 BinaryNumber_0001101 BinaryNumber_0001101 BinaryNumber_0110111 BinaryNumber_0110001 BinaryNumber_0010111 BinaryNumber_1000100
BinaryNumber_1011001 BinaryNumber_0110001 BinaryNumber_0001010 BinaryNumber_0101000 BinaryNumber_0110110 BinaryNumber_0001001 BinaryNumber_0101111 BinaryNumber_0010000 BinaryNumber_1001100 BinaryNumber_1001100
BinaryNumber_1000001 BinaryNumber_0000010 BinaryNumber_0111000 BinaryNumber_1010110 BinaryNumber_0010011 BinaryNumber_0101111 BinaryNumber_0011110 BinaryNumber_1001001 BinaryNumber_0111111 BinaryNumber_1011101
BinaryNumber_0111000 BinaryNumber_0010001 BinaryNumber_0010111 BinaryNumber_0011100 BinaryNumber_1001110 BinaryNumber_0011111 BinaryNumber_0001010 BinaryNumber_1001011 BinaryNumber_0111111 BinaryNumber_0101101
BinaryNumber_0110101 BinaryNumber_0001010 BinaryNumber_0010100 BinaryNumber_0001101 BinaryNumber_1010110 BinaryNumber_1010000 BinaryNumber_0000101 BinaryNumber_0101100 BinaryNumber_0101100 BinaryNumber_1001111
BinaryNumber_0000100 BinaryNumber_0101001 BinaryNumber_1000101 BinaryNumber_0101110 BinaryNumber_0100111 BinaryNumber_0111110 BinaryNumber_0000001 BinaryNumber_1011010 BinaryNumber_0111000 BinaryNumber_1001000
