MediumPurple Lavender MistyRose DarkCyan SeaGreen OliveDrab Goldenrod DarkFuchsia Maroon Green
NavajoWhite DarkCyan Linen LightSteelBlue DarkOrange HotPink PaleGoldenrod AliceBlue Silver LightGoldenrod
LightSlateBlue GreenYellow AliceBlue DarkKhaki SkyBlue DimGray WhiteSmoke Plum OliveDrab Chocolate
BlanchedAlmond Moccasin MediumTurquoise GhostWhite DarkSeaGreen DarkGoldenrod Azure Feldspar OldLace MediumBlue
AliceBlue Linen Olive DeepSkyBlue RosyBrown CadetBlue MistyRose LightCoral Beige LightYellow
IndianRed LightCyan MediumSpringGreen LightSkyBlue MediumOrchid MediumVioletRed DarkViolet Ivory PapayaWhip LightSkyBlue
DarkFuchsia SpringGreen Cornsilk Chocolate Black MediumSeaGreen Turquoise DarkSalmon LightYellow Goldenrod
LawnGreen RosyBrown GreenYellow Firebrick Chartreuse IndianRed LightGray Lime SlateBlue DarkViolet
MediumVioletRed PaleVioletRed DeepPink Maroon LightSlateGray DarkTurquoise Olive MidnightBlue DarkCyan GreenYellow
Khaki DarkGoldenrod Goldenrod FloralWhite Red DarkGray DarkViolet Cornsilk OliveDrab Plum
GhostWhite LightCoral LightSkyBlue Gold FloralWhite DarkKhaki DimGray Gray PaleGoldenrod LightSlateGray
BinaryNumber_0001010 BinaryNumber_0101101 BinaryNumber_0010100 BinaryNumber_1011111 BinaryNumber_1010111 BinaryNumber_0001111 BinaryNumber_1001010 BinaryNumber_1000111 BinaryNumber_1010100 BinaryNumber_0100001
BinaryNumber_1000000 BinaryNumber_1100010 BinaryNumber_0111011 BinaryNumber_1010011 BinaryNumber_0101101 BinaryNumber_0111101 BinaryNumber_0000111 BinaryNumber_0010000 BinaryNumber_1010000 BinaryNumber_0101001
BinaryNumber_1001000 BinaryNumber_1000110 BinaryNumber_1001010 BinaryNumber_0101110 BinaryNumber_0111111 BinaryNumber_1011000 BinaryNumber_0011011 BinaryNumber_1010100 BinaryNumber_1010000 BinaryNumber_0011001
BinaryNumber_0111111 BinaryNumber_1011001 BinaryNumber_1010010 BinaryNumber_0101101 BinaryNumber_1011111 BinaryNumber_0000111 BinaryNumber_0111100 BinaryNumber_0100001 BinaryNumber_1001000 BinaryNumber_0010111
BinaryNumber_0101010 BinaryNumber_1011000 BinaryNumber_1010100 BinaryNumber_0001110 BinaryNumber_0100100 BinaryNumber_0001000 BinaryNumber_1001010 BinaryNumber_0011011 BinaryNumber_0111100 BinaryNumber_1011011
BinaryNumber_0110010 BinaryNumber_0001010 BinaryNumber_0111110 BinaryNumber_1001110 BinaryNumber_0011001 BinaryNumber_0001011 BinaryNumber_0101011 BinaryNumber_0010001 BinaryNumber_0001010 BinaryNumber_1100010
BinaryNumber_1010110 BinaryNumber_0000101 BinaryNumber_0000111 BinaryNumber_0001110 BinaryNumber_1001011 BinaryNumber_0000011 BinaryNumber_0010110 BinaryNumber_0110011 BinaryNumber_0011101 BinaryNumber_0000010
BinaryNumber_0111010 BinaryNumber_0111000 BinaryNumber_0111111 BinaryNumber_1000110 BinaryNumber_0000000 BinaryNumber_0011100 BinaryNumber_1010101 BinaryNumber_1100010 BinaryNumber_0001001 BinaryNumber_0111001
