PowderBlue WhiteSmoke PaleTurquoise PaleVioletRed DarkOliveGreen BlueViolet VioletRed MediumOrchid Goldenrod MediumSlateBlue
DarkKhaki Thistle LightCyan DodgerBlue DarkOrchid LavenderBlush Peru Crimson WhiteSmoke DarkSlateBlue
RosyBrown RosyBrown ForestGreen SlateBlue GreenYellow DarkRed Honeydew Khaki Khaki DarkSalmon
WhiteSmoke AliceBlue GhostWhite DarkGray DeepPink MediumVioletRed LightSeaGreen BlueViolet DodgerBlue RosyBrown
Tan Pink Gold PowderBlue RoyalBlue Chartreuse DarkSalmon Green LightBlue Blue
GreenYellow Thistle MediumSeaGreen DarkOrchid RosyBrown Coral LightYellow Orange Aquamarine Violet
LightSalmon SkyBlue Honeydew Blue Gainsboro GhostWhite Azure SlateBlue SteelBlue SandyBrown
OldLace Olive NavajoWhite VioletRed CornflowerBlue Chartreuse PeachPuff SeaGreen White WhiteSmoke
CornflowerBlue Khaki Orchid Moccasin Green Purple MediumOrchid Lavender SandyBrown DodgerBlue
Green Crimson Moccasin MediumTurquoise Feldspar SlateBlue OldLace Beige MediumVioletRed Fuchsia
Blue Peru MediumBlue Seashell Ivory DeepPink DarkCyan MediumPurple NavajoWhite LightGray
BinaryNumber_0010101 BinaryNumber_0010001 BinaryNumber_1010101 BinaryNumber_0110110 BinaryNumber_1011001 BinaryNumber_0101111 BinaryNumber_0011011 BinaryNumber_1000100 BinaryNumber_1001010 BinaryNumber_1011010
BinaryNumber_0111101 BinaryNumber_1001000 BinaryNumber_1010100 BinaryNumber_0111110 BinaryNumber_0010010 BinaryNumber_1100000 BinaryNumber_0010011 BinaryNumber_0011010 BinaryNumber_0110000 BinaryNumber_0001110
BinaryNumber_1010011 BinaryNumber_0011011 BinaryNumber_0010100 BinaryNumber_1010111 BinaryNumber_0000011 BinaryNumber_1011111 BinaryNumber_0010011 BinaryNumber_0001010 BinaryNumber_1000110 BinaryNumber_1001010
BinaryNumber_0010000 BinaryNumber_1001011 BinaryNumber_0000011 BinaryNumber_0100011 BinaryNumber_1001101 BinaryNumber_0111100 BinaryNumber_0001111 BinaryNumber_0110011 BinaryNumber_0011111 BinaryNumber_0001111
BinaryNumber_0010101 BinaryNumber_1001101 BinaryNumber_1011010 BinaryNumber_1011100 BinaryNumber_1000001 BinaryNumber_0111010 BinaryNumber_0111011 BinaryNumber_1001001 BinaryNumber_0100011 BinaryNumber_0001111
BinaryNumber_0100000 BinaryNumber_0111000 BinaryNumber_1000001 BinaryNumber_1001111 BinaryNumber_0100010 BinaryNumber_0100011 BinaryNumber_0011000 BinaryNumber_0101010 BinaryNumber_0100101 BinaryNumber_0100111
BinaryNumber_0100100 BinaryNumber_0110010 BinaryNumber_1010101 BinaryNumber_1010001 BinaryNumber_1000111 BinaryNumber_1010110 BinaryNumber_1100011 BinaryNumber_1011000 BinaryNumber_0011100 BinaryNumber_0100000
BinaryNumber_1000010 BinaryNumber_1011101 BinaryNumber_0010110 BinaryNumber_1000111 BinaryNumber_1010111 BinaryNumber_0001111 BinaryNumber_0010010 BinaryNumber_0001100 BinaryNumber_0000010 BinaryNumber_1011100
BinaryNumber_0101001 BinaryNumber_0001000 BinaryNumber_1100010 BinaryNumber_1001011 BinaryNumber_0011010 BinaryNumber_1001011 BinaryNumber_0001011 BinaryNumber_0111010 BinaryNumber_1011101 BinaryNumber_0010011
