Ligaments Tongue Trachea Placenta Scrotum Analcanal Cecum Interstitium Veins Cornea
Analcanal Trachea Fallopiantubes Muscle Lips Tastebuds Midbrain Ganglia Bone  Bronchi
Midbrain Veins Midbrain Ileum Arteries Innerear Outerear Earlobe Pons Liver
Larynx Ligaments Cervix Vulva Mouth Tongue Mesentery Teeth Tongue Spleen
Placenta Ileum Spinalnerves Cranialnerves Tonsils Cochlea Stomach Thymus skeleton Hypothalamus
Ileum Jejunum Cecum Cerebrum Fallopiantubes Veins Lungs Ligaments Ligaments Trachea
Analcanal Duodenum Ear Larynx Largeintestine Eye Ear Placenta Urethra Thymus
Spleen Pancreas Ligaments Ileum Clitoris Cervix Mouth Bladder Lungs Trachea
Pharynx Cervix Tongue Rectum Rectum Muscle Urethra Muscle Lips Teeth
Bone  Ossicles Urethra Bronchi Analcanal Placenta Bronchi Tonsils Trachea Midbrain
Kidneys Ligaments Eye Smallintestine Tongue Urethra Largeintestine Liver Rectum Cerebrum
10:54 13:29 20:15 15:27 13:26 13:20 10:23 13:51 23:39 21:19
22:38 13:55 15:23 19:36 13:40 19:17 14:28 19:42 20:21 12:59
19:48 14:56 12:53 10:36 10:10 23:12 10:34 23:58 14:45 13:55
14:53 23:57 19:43 23:25 22:35 13:36 19:17 20:32 13:41 11:50
22:54 18:45 23:22 23:24 18:49 12:12 19:36 11:37 13:25 22:58
15:13 20:26 15:59 21:22 17:25 15:53 14:27 21:48 21:29 12:43
20:30 12:21 11:13 18:28 12:21 10:52 12:21 21:42 23:29 11:42
11:21 23:11 23:11 13:49 22:23 19:55 13:59 19:36 13:34 15:45
10:10 17:32 13:42 19:40 18:24 12:38 13:14 16:44 17:44 18:41
18:38 20:17 18:46 17:16 21:28 17:31 18:53 20:12 21:43 22:27
15:26 18:22 19:22 20:20 12:30 20:32 12:51 11:26 15:26 16:23
BinaryNumber_0010000 BinaryNumber_0101001 BinaryNumber_1010011 BinaryNumber_0101000 BinaryNumber_0011000 BinaryNumber_1011000 BinaryNumber_1001111 BinaryNumber_0111111 BinaryNumber_0001111 BinaryNumber_1011101
BinaryNumber_0100001 BinaryNumber_0110000 BinaryNumber_1001110 BinaryNumber_1100000 BinaryNumber_1001111 BinaryNumber_0001000 BinaryNumber_0110011 BinaryNumber_0001000 BinaryNumber_1010111 BinaryNumber_0110111
BinaryNumber_0000110 BinaryNumber_0101110 BinaryNumber_1010000 BinaryNumber_0000111 BinaryNumber_1011011 BinaryNumber_0010011 BinaryNumber_0010111 BinaryNumber_0000110 BinaryNumber_0010000 BinaryNumber_0010100
BinaryNumber_0100011 BinaryNumber_0010110 BinaryNumber_0101101 BinaryNumber_1010101 BinaryNumber_1000001 BinaryNumber_1010100 BinaryNumber_0010001 BinaryNumber_0110110 BinaryNumber_1001100 BinaryNumber_1001100
BinaryNumber_0101111 BinaryNumber_0111110 BinaryNumber_0010000 BinaryNumber_0010100 BinaryNumber_1010101 BinaryNumber_1001101 BinaryNumber_1001101 BinaryNumber_1100011 BinaryNumber_0110011 BinaryNumber_1011101
BinaryNumber_1100011 BinaryNumber_0010001 BinaryNumber_0010111 BinaryNumber_0111111 BinaryNumber_0001011 BinaryNumber_0111000 BinaryNumber_0101011 BinaryNumber_0001010 BinaryNumber_1011000 BinaryNumber_0111000
BinaryNumber_0011000 BinaryNumber_0100000 BinaryNumber_1000111 BinaryNumber_1100010 BinaryNumber_0111010 BinaryNumber_0001001 BinaryNumber_0100100 BinaryNumber_1001001 BinaryNumber_0101000 BinaryNumber_0111001
BinaryNumber_1011110 BinaryNumber_0011111 BinaryNumber_1001110 BinaryNumber_1010001 BinaryNumber_0000001 BinaryNumber_0111111 BinaryNumber_0110100 BinaryNumber_1011100 BinaryNumber_1100001 BinaryNumber_0011010
BinaryNumber_0110100 BinaryNumber_0001010 BinaryNumber_1011010 BinaryNumber_1001111 BinaryNumber_0010110 BinaryNumber_0100001 BinaryNumber_1100010 BinaryNumber_0100010 BinaryNumber_1001111 BinaryNumber_0100000
BinaryNumber_0111011 BinaryNumber_0011001 BinaryNumber_0111000 BinaryNumber_0101100 BinaryNumber_1001110 BinaryNumber_0011110 BinaryNumber_0010001 BinaryNumber_0010101 BinaryNumber_0100010 BinaryNumber_0110011
