Wheat DarkGoldenrod MintCream DarkViolet Black Goldenrod Sienna Orchid FloralWhite Teal
RoyalBlue DarkRed Indigo DarkGoldenrod Gainsboro PeachPuff Brown OldLace Purple Fuchsia
Thistle Lavender DarkViolet SaddleBrown GreenYellow Thistle BlueViolet Fuchsia DarkCyan HotPink
OliveDrab ForestGreen Aquamarine FloralWhite HotPink Wheat Plum Azure DarkSlateGray SandyBrown
BlueViolet Cornsilk LightCyan CadetBlue CadetBlue DarkOrange Violet DarkTurquoise Purple MidnightBlue
Salmon Indigo Cornsilk HotPink MistyRose Peru Red DarkKhaki BlanchedAlmond Gold
LimeGreen OliveDrab PeachPuff Feldspar Aquamarine VioletRed AliceBlue LawnGreen DimGray Orchid
Salmon Gold Seashell Maroon Blue ForestGreen DarkOrange NavajoWhite Crimson PeachPuff
OldLace VioletRed LightSeaGreen LawnGreen MediumVioletRed DimGray Salmon DeepPink DarkFuchsia PaleGoldenrod
DarkGoldenrod LemonChiffon NavajoWhite Moccasin HotPink Crimson PapayaWhip BlanchedAlmond LightSeaGreen Crimson
Tan LightYellow Tan Burlywood DarkBlue Chartreuse Maroon SlateGray DarkSlateBlue Yellow
CubeNumber_205379 CubeNumber_27 CubeNumber_91125 CubeNumber_6859 CubeNumber_59319 CubeNumber_125 CubeNumber_658503 CubeNumber_4096 CubeNumber_10648 CubeNumber_456533
CubeNumber_32768 CubeNumber_46656 CubeNumber_250047 CubeNumber_64000 CubeNumber_1000 CubeNumber_64 CubeNumber_343000 CubeNumber_474552 CubeNumber_238328 CubeNumber_216
CubeNumber_1728 CubeNumber_74088 CubeNumber_21952 CubeNumber_97336 CubeNumber_778688 CubeNumber_729 CubeNumber_857375 CubeNumber_42875 CubeNumber_343000 CubeNumber_59319
CubeNumber_421875 CubeNumber_2744 CubeNumber_13824 CubeNumber_54872 CubeNumber_32768 CubeNumber_32768 CubeNumber_140608 CubeNumber_912673 CubeNumber_8000 CubeNumber_884736
CubeNumber_250047 CubeNumber_24389 CubeNumber_389017 CubeNumber_300763 CubeNumber_42875 CubeNumber_32768 CubeNumber_1000 CubeNumber_39304 CubeNumber_205379 CubeNumber_3375
CubeNumber_64 CubeNumber_91125 CubeNumber_389017 CubeNumber_729 CubeNumber_59319 CubeNumber_4096 CubeNumber_2744 CubeNumber_238328 CubeNumber_79507 CubeNumber_343
CubeNumber_103823 CubeNumber_132651 CubeNumber_8000 CubeNumber_59319 CubeNumber_74088 CubeNumber_32768 CubeNumber_830584 CubeNumber_456533 CubeNumber_474552 CubeNumber_753571
CubeNumber_79507 CubeNumber_343000 CubeNumber_97336 CubeNumber_24389 CubeNumber_778688 CubeNumber_250047 CubeNumber_91125 CubeNumber_2744 CubeNumber_79507 CubeNumber_328509
CubeNumber_216000 CubeNumber_1728 CubeNumber_357911 CubeNumber_5832 CubeNumber_185193 CubeNumber_21952 CubeNumber_59319 CubeNumber_195112 CubeNumber_493039 CubeNumber_175616
CubeNumber_614125 CubeNumber_438976 CubeNumber_778688 CubeNumber_592704 CubeNumber_274625 CubeNumber_373248 CubeNumber_21952 CubeNumber_64 CubeNumber_729 CubeNumber_314432
