Brown LightGoldenrod MediumSlateBlue Teal AntiqueWhite DeepPink DarkRed CornflowerBlue LightGray OldLace
Beige Orchid DarkBlue Olive SandyBrown DarkRed Honeydew Cyan MediumTurquoise Yellow
DarkBlue LightSlateBlue MediumPurple Purple Gainsboro SlateGray Sienna Cyan LightSeaGreen Seashell
LawnGreen GhostWhite PowderBlue Moccasin Pink CornflowerBlue Wheat NavajoWhite Seashell DarkSalmon
MintCream MediumBlue DarkGoldenrod Honeydew Goldenrod DarkRed BlueViolet Chartreuse Cyan GhostWhite
DarkSlateGray OldLace RosyBrown IndianRed LightPink LightSteelBlue LightGoldenrod Seashell LightGoldenrod HotPink
Orange DeepSkyBlue DarkRed Navy DarkBlue Linen Green SandyBrown RoyalBlue GhostWhite
DarkGreen Pink Beige DarkGreen MediumOrchid Burlywood Honeydew Orchid Green Violet
Gray Pink LightSalmon LightGreen DarkGreen Peru Orange SeaGreen Tan MediumSlateBlue
LightGreen Wheat Fuchsia LightSlateGray OrangeRed Navy Honeydew LemonChiffon Seashell DarkGoldenrod
Red DarkSlateBlue LightSlateGray Purple LightSlateBlue Lime OldLace DarkSeaGreen Lime Orange
CubeNumber_912673 CubeNumber_658503 CubeNumber_729 CubeNumber_614125 CubeNumber_328509 CubeNumber_27 CubeNumber_50653 CubeNumber_216 CubeNumber_175616 CubeNumber_1728
CubeNumber_912673 CubeNumber_389017 CubeNumber_753571 CubeNumber_13824 CubeNumber_27000 CubeNumber_125000 CubeNumber_551368 CubeNumber_300763 CubeNumber_148877 CubeNumber_1728
CubeNumber_157464 CubeNumber_27000 CubeNumber_1728 CubeNumber_274625 CubeNumber_4913 CubeNumber_148877 CubeNumber_110592 CubeNumber_39304 CubeNumber_140608 CubeNumber_4913
CubeNumber_9261 CubeNumber_10648 CubeNumber_2197 CubeNumber_148877 CubeNumber_912673 CubeNumber_64000 CubeNumber_912673 CubeNumber_941192 CubeNumber_343 CubeNumber_343
CubeNumber_54872 CubeNumber_12167 CubeNumber_753571 CubeNumber_884736 CubeNumber_46656 CubeNumber_216000 CubeNumber_46656 CubeNumber_110592 CubeNumber_226981 CubeNumber_27
CubeNumber_512 CubeNumber_79507 CubeNumber_474552 CubeNumber_830584 CubeNumber_389017 CubeNumber_2744 CubeNumber_19683 CubeNumber_438976 CubeNumber_357911 CubeNumber_250047
CubeNumber_357911 CubeNumber_148877 CubeNumber_2197 CubeNumber_21952 CubeNumber_27000 CubeNumber_35937 CubeNumber_512 CubeNumber_729 CubeNumber_117649 CubeNumber_729
CubeNumber_2197 CubeNumber_250047 CubeNumber_50653 CubeNumber_125 CubeNumber_4096 CubeNumber_195112 CubeNumber_103823 CubeNumber_175616 CubeNumber_287496 CubeNumber_1728
