Tomato Indigo PowderBlue Chocolate Purple RosyBrown Coral GreenYellow MediumTurquoise Khaki
Ivory DarkViolet DeepSkyBlue DarkCyan ForestGreen GhostWhite Peru Azure HotPink Turquoise
LightCoral DarkGreen PaleGreen PeachPuff AliceBlue PeachPuff DarkSlateBlue PowderBlue Turquoise LightCoral
Orchid FloralWhite Salmon PaleGoldenrod Cyan DarkSalmon Orange SpringGreen Brown MediumSpringGreen
Wheat VioletRed MediumOrchid Cornsilk MediumSeaGreen LimeGreen Seashell LightBlue DarkGoldenrod DarkGray
Indigo BlueViolet Chartreuse WhiteSmoke DarkViolet BlueViolet VioletRed SlateBlue LightSeaGreen Salmon
Khaki Gainsboro Salmon MediumSlateBlue Turquoise LawnGreen Goldenrod Yellow PowderBlue Chocolate
SlateBlue Crimson Wheat DarkOrchid Khaki DarkSlateGray MediumSeaGreen SeaGreen DarkSeaGreen Orange
MediumTurquoise PaleGreen AntiqueWhite Turquoise Pink ForestGreen MediumSpringGreen SeaGreen BlueViolet MediumVioletRed
Khaki Plum MistyRose LightSlateBlue Feldspar Gray Orchid DarkTurquoise LightSalmon DarkBlue
Pink LightSkyBlue Black FloralWhite MediumSpringGreen DarkOliveGreen WhiteSmoke Chartreuse Red FloralWhite
BinaryNumber_0011101 BinaryNumber_0101101 BinaryNumber_0000100 BinaryNumber_1000101 BinaryNumber_0010000 BinaryNumber_0100101 BinaryNumber_0111101 BinaryNumber_1011101 BinaryNumber_0000100 BinaryNumber_1010100
BinaryNumber_0101011 BinaryNumber_1011001 BinaryNumber_1011100 BinaryNumber_1010011 BinaryNumber_1100000 BinaryNumber_0111011 BinaryNumber_0000001 BinaryNumber_1011010 BinaryNumber_0010101 BinaryNumber_1000110
BinaryNumber_1011001 BinaryNumber_1001111 BinaryNumber_0111011 BinaryNumber_1011101 BinaryNumber_1011010 BinaryNumber_0001111 BinaryNumber_0101010 BinaryNumber_0010001 BinaryNumber_1001000 BinaryNumber_0110101
BinaryNumber_1010010 BinaryNumber_0111000 BinaryNumber_0100100 BinaryNumber_0101010 BinaryNumber_0001110 BinaryNumber_1010000 BinaryNumber_1001110 BinaryNumber_0100111 BinaryNumber_0001110 BinaryNumber_1001011
BinaryNumber_1000010 BinaryNumber_0101101 BinaryNumber_0111000 BinaryNumber_1011001 BinaryNumber_0100010 BinaryNumber_0100110 BinaryNumber_1001111 BinaryNumber_0010000 BinaryNumber_1011100 BinaryNumber_1011101
