LightSkyBlue LightBlue Sienna VioletRed Azure MediumBlue Gray Ivory LawnGreen White
DarkGoldenrod PeachPuff MidnightBlue Goldenrod PaleGoldenrod DarkOrange Tomato LightSeaGreen Moccasin Navy
DarkBlue BlueViolet LightPink DarkTurquoise MidnightBlue MidnightBlue Salmon DarkOrange PaleGreen MediumVioletRed
CornflowerBlue DarkBlue DarkViolet OliveDrab SlateBlue PaleGreen OrangeRed AntiqueWhite PapayaWhip PaleGreen
Plum Ivory Chocolate DarkOrange LightSlateGray Burlywood GreenYellow Tomato DarkBlue DarkRed
Teal Lavender Fuchsia LightSeaGreen DarkSlateBlue Goldenrod GreenYellow GreenYellow Pink MediumSeaGreen
Tan DarkFuchsia VioletRed Gold Lavender DarkBlue DarkSlateBlue Snow Chartreuse LightSteelBlue
DarkGray SeaGreen DeepSkyBlue CornflowerBlue Turquoise Olive DarkRed Plum Crimson LightSteelBlue
PaleTurquoise Wheat LightYellow CadetBlue DarkOrchid Red MediumOrchid DarkSlateGray Red CadetBlue
LavenderBlush Lime Lime Cyan LightSlateBlue DeepPink Beige MediumBlue Goldenrod DarkTurquoise
SpringGreen Ivory RosyBrown Teal DarkOliveGreen Burlywood LimeGreen MediumOrchid Indigo Navy
BinaryNumber_0100011 BinaryNumber_0001111 BinaryNumber_0010101 BinaryNumber_1000101 BinaryNumber_1001011 BinaryNumber_0010100 BinaryNumber_1010001 BinaryNumber_0111000 BinaryNumber_0011001 BinaryNumber_0000011
BinaryNumber_0001000 BinaryNumber_0110010 BinaryNumber_1000100 BinaryNumber_1011100 BinaryNumber_0010010 BinaryNumber_0111110 BinaryNumber_0110110 BinaryNumber_1001100 BinaryNumber_0111111 BinaryNumber_0010001
BinaryNumber_0000111 BinaryNumber_0110000 BinaryNumber_1001100 BinaryNumber_1011011 BinaryNumber_1000000 BinaryNumber_0001001 BinaryNumber_1010010 BinaryNumber_0011110 BinaryNumber_0100001 BinaryNumber_0010100
