LightBlue Tomato SlateBlue OliveDrab LimeGreen Firebrick LightPink PeachPuff PaleGoldenrod Tan
Teal OldLace Tomato NavajoWhite LightGray Orchid DarkGoldenrod CornflowerBlue DarkOrange DarkCyan
RoyalBlue SandyBrown Gold SandyBrown SandyBrown DimGray Navy DodgerBlue LavenderBlush Honeydew
NavajoWhite DeepPink OldLace Green Plum AntiqueWhite Teal SteelBlue White Chocolate
Maroon OldLace Olive Purple MediumOrchid SaddleBrown Linen DarkSalmon DarkCyan Turquoise
Chocolate Silver LavenderBlush Peru MediumBlue Crimson LemonChiffon OldLace DarkOrchid OliveDrab
MediumOrchid LightGreen DarkRed MediumSpringGreen AliceBlue DarkKhaki DarkRed LightGreen Ivory Plum
LightYellow MediumOrchid AliceBlue Brown MediumOrchid Lavender BlanchedAlmond LightSalmon Lime MediumAquamarine
Blue SlateGray LightGoldenrodYellow HotPink AntiqueWhite DarkOrchid LightBlue DarkViolet Brown MediumPurple
LawnGreen DarkGreen Goldenrod White LightSeaGreen Orange Cyan MistyRose DarkCyan Fuchsia
Salmon LightGray MediumBlue DarkRed BlanchedAlmond MediumOrchid PaleGreen Snow DodgerBlue MediumSlateBlue
Tongue Midbrain Eye Tendons Vagina Midbrain Lens Cochlea Penis Ear
Thalamus Lymphaticvessel Pharynx Jejunum Bronchi Midbrain Bladder skeleton Heart Pharynx
Ciliarybody Smallintestine Teeth Mesentery Analcanal Fallopiantubes Smallintestine Nerves Heart Analcanal
Cranialnerves Thymus Tongue Ligaments Larynx Largeintestine Veins Largeintestine Cervix Esophagus
Interstitium Sensoryorgans Thalamus Interstitium Ileum Lens Lymphaticvessel Retina Tongue Kidneys
Nerves Interstitium Kidneys Analcanal Arteries skeleton Largeintestine Innerear Tendons Jejunum
Iris Bone  Jejunum Tongue Penis Tendons Iris Gallbladder Tongue Tonsils
Ligaments Urethra Heart Midbrain Brain Liver Lymphaticvessel Tonsils Lymphaticvessel Mesentery
Earlobe Tongue Urethra Urethra Muscle Duodenum Ossicles Capillaries Lymphaticvessel Analcanal
