LightSteelBlue LightSlateBlue DarkOrange Goldenrod LightPink Indigo OldLace DimGray MediumSlateBlue DarkBlue
BlanchedAlmond Black DarkKhaki Ivory AntiqueWhite Olive PaleGoldenrod GreenYellow PaleVioletRed LightCyan
RosyBrown MediumBlue BlueViolet Pink MistyRose PowderBlue LavenderBlush LightSeaGreen Chartreuse DeepPink
LawnGreen LemonChiffon LightYellow Thistle LemonChiffon LightSeaGreen Honeydew Aquamarine Orange Khaki
Tan GreenYellow SlateBlue ForestGreen DarkTurquoise SaddleBrown Gray DarkOrange MidnightBlue MediumPurple
LightGoldenrodYellow OrangeRed Cornsilk Bisque Brown PaleGoldenrod Indigo Snow SteelBlue Orange
LightSkyBlue OrangeRed PaleGoldenrod DarkOliveGreen LightGoldenrod Coral MediumVioletRed Tomato DarkGoldenrod PaleVioletRed
MidnightBlue PeachPuff SandyBrown OliveDrab PaleTurquoise LightSalmon DarkGoldenrod Violet Indigo MediumSlateBlue
Black HotPink LemonChiffon Firebrick DarkRed DarkRed DarkSalmon LightGray DeepSkyBlue MediumSeaGreen
Azure Chartreuse LightGoldenrodYellow Feldspar LightSeaGreen Goldenrod DarkSalmon DarkSlateGray LightBlue RosyBrown
MistyRose FloralWhite SteelBlue Purple Tan LemonChiffon Bisque Chocolate SaddleBrown DarkOrchid
temperature__14c temperature__3c temperature__109c temperature__31c temperature__84c temperature__61c temperature__2c temperature__141c temperature__42c temperature__52c
temperature__10c temperature__61c temperature__61c temperature__11c temperature__116c temperature__137c temperature__61c temperature__123c temperature__144c temperature__42c
temperature__49c temperature__116c temperature__0c temperature__69c temperature__36c temperature__16c temperature__54c temperature__21c temperature__77c temperature__122c
temperature__142c temperature__90c temperature__119c temperature__120c temperature__142c temperature__93c temperature__118c temperature__7c temperature__79c temperature__122c
temperature__41c temperature__88c temperature__95c temperature__98c temperature__85c temperature__78c temperature__120c temperature__63c temperature__109c temperature__52c
temperature__79c temperature__51c temperature__50c temperature__147c temperature__85c temperature__24c temperature__78c temperature__86c temperature__79c temperature__145c
temperature__14c temperature__52c temperature__73c temperature__88c temperature__53c temperature__4c temperature__79c temperature__145c temperature__53c temperature__24c
temperature__120c temperature__27c temperature__73c temperature__85c temperature__144c temperature__68c temperature__23c temperature__7c temperature__71c temperature__2c
temperature__142c temperature__22c temperature__147c temperature__30c temperature__129c temperature__30c temperature__98c temperature__35c temperature__138c temperature__53c
temperature__42c temperature__57c temperature__42c temperature__95c temperature__31c temperature__109c temperature__57c temperature__90c temperature__57c temperature__31c
temperature__27c temperature__92c temperature__65c temperature__86c temperature__17c temperature__142c temperature__41c temperature__73c temperature__12c temperature__146c
Banana Plantain Mangosteen Plantain Blueberry Abiu Jujube Cantaloupe Cherimoya Raspberry
Fig Quince Strawberry Quince Huckleberry Blackberry Prune Pineberry Redcurrant Ximenia
