WhiteSmoke MidnightBlue LightBlue SaddleBrown DarkSlateGray MistyRose LightCoral GreenYellow DodgerBlue DarkRed
MediumBlue Aquamarine Brown DarkSlateGray Azure DarkOliveGreen DarkTurquoise Cyan Gainsboro Brown
Lavender Bisque Thistle Coral SpringGreen Brown White SandyBrown DarkRed Salmon
PowderBlue OrangeRed PowderBlue Black HotPink VioletRed PaleTurquoise Khaki Honeydew SlateBlue
LightGreen IndianRed Thistle Moccasin Moccasin Gainsboro Firebrick DarkRed Bisque Coral
SlateBlue Tan MediumPurple MidnightBlue OrangeRed PaleGoldenrod MediumAquamarine Chartreuse Khaki OliveDrab
Bisque OliveDrab Sienna Chartreuse ForestGreen Salmon MediumTurquoise MintCream Seashell DimGray
LightCyan GreenYellow Yellow FloralWhite Plum Sienna DarkBlue LightCyan LightSteelBlue SteelBlue
DarkGreen PapayaWhip Tomato LavenderBlush DarkFuchsia LimeGreen DarkBlue Olive LightCyan VioletRed
LightSalmon DeepSkyBlue DodgerBlue LightBlue Feldspar Beige RosyBrown Sienna Linen LightGray
Cyan PaleTurquoise Goldenrod Aquamarine Chocolate SteelBlue Lime Beige FloralWhite LightSeaGreen
15:50 16:32 20:38 12:42 20:11 16:51 16:12 22:23 10:29 15:29
21:53 12:25 16:32 17:23 22:11 10:25 21:40 16:15 15:26 21:54
14:39 22:13 20:39 10:36 14:22 11:30 19:24 20:57 19:14 15:50
14:35 18:41 12:44 17:31 21:32 13:49 17:49 12:33 14:21 17:46
15:48 22:27 13:19 23:30 12:16 13:29 17:17 10:49 17:51 10:19
15:31 22:59 11:49 12:11 19:27 14:24 11:50 20:38 10:12 17:40
23:19 22:15 16:21 11:18 21:59 21:24 10:47 16:20 11:16 19:42
23:22 22:18 11:10 17:52 13:35 11:59 16:59 15:10 17:16 17:23
20:26 12:31 11:31 21:55 21:55 20:41 11:20 11:44 20:10 23:37
20:52 18:33 23:51 19:11 14:22 20:20 13:30 16:51 11:13 15:45
19:55 18:23 23:53 14:37 15:37 12:26 23:17 10:45 12:19 23:55
Banana Elderberry Tayberry Passionfruit Breadfruit Honeydew Jujube Cantaloupe Blackcurrant Persimmon
Jostaberry Pomegranate Mango Pineapple Abiu Jostaberry Passionfruit Passionfruit Date Mulberry
Lime Date Ackee Lychee Ximenia Jujube Acerola Cempedak Tamarind Plumcot
Cranberry Elderberry Honeyberry Raspberry Lime Jujube Watermelon Apricot Tayberry Passionfruit
Cherimoya Grape Date Melon Bilberry Satsuma Tangelo Feijoa Cherry Tamarillo
Gooseberry Sapote Jambul Prune Abiu Plum Jujube Grape Sapodilla Sapote
Açaí Breadfruit Nectarine Persimmon Prune Kumquat Akebi Gooseberry Breadfruit Açaí
Mulberry Lychee Honeyberry Guava Tangerine Pear Ximenia Grape Guava Cherimoya
Jackfruit Blueberry Sapote Plum Jostaberry Satsuma Passionfruit Lemon Pineapple Honeyberry
Tangelo Coconut Tangelo Soursop Pineapple Sapodilla Nectarine Currant Jambul Cherimoya
Cantaloupe Quince Cherry Cloudberry Passionfruit Plumcot Cantaloupe Rambutan  Pomegranate Cranberry
