LightCyan SlateGray Thistle MediumPurple LightSeaGreen LightSalmon AntiqueWhite SandyBrown Orange SpringGreen
LemonChiffon Honeydew Salmon Chocolate LightSlateGray LightSkyBlue MidnightBlue MediumVioletRed Feldspar Wheat
Fuchsia DarkRed DarkSlateGray LimeGreen PowderBlue DarkSalmon Yellow DarkOliveGreen LightSkyBlue Firebrick
ForestGreen DarkBlue Turquoise SeaGreen Wheat DeepSkyBlue Feldspar Maroon Navy Maroon
MidnightBlue PaleVioletRed PaleVioletRed AntiqueWhite Gainsboro SaddleBrown BlueViolet Maroon LightSteelBlue Azure
IndianRed Brown OrangeRed Burlywood LightYellow LightPink MediumOrchid LightCyan DarkBlue Yellow
Aquamarine DarkSlateGray LightYellow DarkTurquoise White MediumAquamarine GreenYellow DarkSeaGreen Moccasin Chartreuse
SlateBlue DarkTurquoise LightSlateBlue LightGoldenrodYellow Orange MediumPurple MediumSpringGreen SpringGreen BlueViolet BlueViolet
Tan DarkGoldenrod Orchid Firebrick SandyBrown LightGoldenrod DarkSlateGray Moccasin FloralWhite LightSteelBlue
Gold DarkSalmon DarkGreen Honeydew PapayaWhip Gainsboro LightSlateBlue SaddleBrown Wheat DarkSlateBlue
DarkSeaGreen Khaki OldLace Plum LightCoral Seashell LightSkyBlue Seashell Feldspar DarkBlue
Brain Larynx Sensoryorgans Eardrum Tendons Sensoryorgans Urethra Ovaries Heart Duodenum
Largeintestine Iris Ovaries Pharynx Bronchi Ligaments Uterus Ossicles Midbrain Bladder
Bladder Cerebellum Capillaries Pharynx Ganglia Innerear Urethra Eye Joints Kidneys
Outerear Ureter Joints Innerear Penis Vulva Rectum Lungs Mouth Larynx
Cervix Lymphaticvessel Earlobe Tonsils Ciliarybody Cerebrum Cerebellum skeleton Ileum Kidneys
Cochlea Lungs Brain Jejunum Esophagus Interstitium Lens Outerear Veins Esophagus
Ear Pharynx Ligaments Ileum Vulva Sensoryorgans Clitoris Eye Arteries Kidneys
Scrotum Tongue Brain Cervix Cerebrum Tongue Middleear Ganglia Cranialnerves Innerear
Fallopiantubes Iris Bone  Lens Mouth Spinalnerves Nerves Ovaries Sensoryorgans Duodenum
Outerear Liver Fallopiantubes Pharynx Arteries Tonsils Ganglia Bladder Tendons Pharynx
Joints Kidneys Fallopiantubes Ossicles Pharynx Tongue Muscle Middleear Spleen Veins
19:22 11:41 19:12 18:21 18:47 13:48 19:28 18:14 20:44 23:11
13:40 19:22 14:37 12:15 16:11 11:50 19:56 23:45 11:34 19:15
12:44 10:52 22:56 23:31 23:30 12:39 18:50 22:58 11:28 12:47
14:30 19:42 12:27 21:23 15:44 20:30 15:10 11:19 12:29 18:46
11:50 14:46 23:32 17:34 20:11 20:38 19:26 16:49 12:47 11:20
16:17 20:36 23:49 22:30 20:29 21:51 11:41 20:45 17:42 14:10
14:59 17:52 11:56 17:17 20:15 21:39 13:35 17:22 19:37 19:17
