MediumSpringGreen MidnightBlue Chocolate PeachPuff WhiteSmoke Teal Tomato AntiqueWhite BlueViolet Orange
MediumOrchid SlateBlue DodgerBlue PaleGoldenrod MidnightBlue Turquoise LightYellow Thistle Cyan Snow
Red Violet Brown Peru DimGray DarkOliveGreen Orange LightGreen BlanchedAlmond MediumBlue
MediumOrchid DarkSalmon SandyBrown MediumSpringGreen Orchid Cornsilk Thistle Lavender Indigo Black
Feldspar LightGray CornflowerBlue Tan Burlywood DarkOrchid DarkSlateGray Goldenrod Lavender AliceBlue
SpringGreen Linen OrangeRed LightCyan RosyBrown Lavender Gainsboro Gainsboro DimGray Aquamarine
FloralWhite Crimson Salmon MediumOrchid SeaGreen DimGray Maroon LightCyan LightSteelBlue LightBlue
Orange DarkGoldenrod MediumOrchid MediumPurple LightCyan SeaGreen LightCoral PaleVioletRed LightGray LightSlateGray
Silver SaddleBrown Snow OliveDrab Tan MediumVioletRed SandyBrown MintCream DarkOrchid DarkOrange
DarkCyan MistyRose Brown DarkOrchid GreenYellow Seashell DarkOrchid DarkSlateGray DarkSeaGreen Gainsboro
CornflowerBlue Purple AntiqueWhite MediumSeaGreen DarkGoldenrod Azure LightGray MediumVioletRed PowderBlue Teal
12:29 20:56 11:16 10:57 11:53 23:54 11:32 19:45 14:39 12:57
12:18 18:58 19:33 15:29 20:44 14:57 18:32 19:10 19:34 19:30
13:12 21:21 23:28 23:48 16:48 21:56 15:41 17:41 13:58 20:55
10:56 17:31 21:56 15:28 23:56 20:59 21:47 21:24 13:59 12:29
22:49 23:23 19:26 14:18 19:38 23:59 22:13 13:28 10:59 19:27
13:30 18:18 15:16 17:37 22:13 10:20 19:38 12:31 11:47 14:27
20:24 23:53 19:43 14:29 20:52 14:24 16:14 12:26 21:55 11:13
17:12 10:49 21:24 17:42 14:23 23:25 22:17 22:18 22:17 10:56
18:58 19:16 11:33 20:37 22:53 19:26 13:35 20:35 11:25 14:25
15:18 20:29 21:22 23:12 16:13 19:39 21:10 22:42 19:25 23:56
12:12 21:28 21:49 21:55 12:50 14:28 20:13 10:45 12:23 23:44
Jejunum Tongue Clitoris Cerebellum Bronchi Cranialnerves Bone  Eye skeleton Joints
Ciliarybody Ligaments Capillaries Esophagus Pancreas Ileum Lymphaticvessel Iris Brain Rectum
Bone  Liver Pharynx Analcanal Penis Tongue Capillaries Uterus Ligaments Lips
Tongue Scrotum Heart Larynx Retina Joints Uterus Smallintestine Pancreas Spinalnerves
Iris Trachea Trachea Outerear Vagina Ureter Ciliarybody Pharynx Eardrum Pharynx
Esophagus Tonsils Stomach Interstitium Innerear Ovaries Pons Kidneys Fallopiantubes Mouth
Ossicles Lymphaticvessel Tastebuds Scrotum Nerves Lips Tongue Vulva Analcanal Pons
Lens Mouth skeleton Pharynx Lips Retina Retina Muscle Placenta Ossicles
Tendons Penis Ovaries Ganglia Spleen Tongue Pons Largeintestine skeleton Duodenum
