Silver Pink Lime MediumSpringGreen Green Burlywood Orchid LightGreen Chartreuse Thistle
DarkOrange Plum PaleGreen Yellow DarkFuchsia Orange Cyan Crimson MintCream DarkTurquoise
PeachPuff White GhostWhite PapayaWhip Black DarkFuchsia Honeydew Aquamarine LightSkyBlue Navy
DarkFuchsia Seashell SkyBlue MediumOrchid PaleVioletRed LawnGreen DarkGoldenrod Brown LightGreen Indigo
LightGray PaleGreen SandyBrown LemonChiffon LightGoldenrod LimeGreen Brown SeaGreen DeepPink MediumSlateBlue
MediumPurple Linen DarkCyan MidnightBlue Ivory Maroon Moccasin Purple Crimson Cornsilk
Honeydew DarkOrange AliceBlue MediumSlateBlue Brown DarkBlue MediumOrchid Blue Burlywood PapayaWhip
VioletRed LemonChiffon Cornsilk DodgerBlue DarkSalmon DeepSkyBlue Honeydew SpringGreen LightSteelBlue PowderBlue
PeachPuff OldLace DarkViolet VioletRed SpringGreen Chartreuse Plum Green Moccasin Black
Moccasin Burlywood MediumSpringGreen CornflowerBlue RoyalBlue Gray Gold MediumBlue SandyBrown Firebrick
MediumSeaGreen Ivory BlanchedAlmond Khaki Navy LightBlue MediumAquamarine DarkOrchid PaleVioletRed Blue
temperature__3c temperature__4c temperature__140c temperature__70c temperature__119c temperature__71c temperature__123c temperature__26c temperature__12c temperature__119c
temperature__42c temperature__30c temperature__24c temperature__93c temperature__61c temperature__23c temperature__87c temperature__71c temperature__24c temperature__112c
temperature__33c temperature__39c temperature__92c temperature__95c temperature__109c temperature__74c temperature__130c temperature__70c temperature__27c temperature__138c
temperature__26c temperature__31c temperature__4c temperature__87c temperature__28c temperature__123c temperature__36c temperature__61c temperature__123c temperature__122c
temperature__98c temperature__87c temperature__119c temperature__77c temperature__5c temperature__91c temperature__105c temperature__4c temperature__124c temperature__129c
temperature__10c temperature__74c temperature__144c temperature__47c temperature__27c temperature__82c temperature__53c temperature__39c temperature__139c temperature__21c
temperature__86c temperature__39c temperature__21c temperature__27c temperature__100c temperature__124c temperature__58c temperature__34c temperature__95c temperature__85c
temperature__138c temperature__26c temperature__148c temperature__131c temperature__118c temperature__58c temperature__59c temperature__85c temperature__136c temperature__44c
temperature__22c temperature__11c temperature__111c temperature__116c temperature__84c temperature__79c temperature__139c temperature__12c temperature__41c temperature__49c
temperature__82c temperature__140c temperature__39c temperature__132c temperature__124c temperature__8c temperature__57c temperature__92c temperature__35c temperature__88c
temperature__131c temperature__123c temperature__123c temperature__122c temperature__30c temperature__139c temperature__53c temperature__49c temperature__139c temperature__147c
phone pc antivirus arithmetic computercide sliderule computercircuit desktoppcs machine programmer
programmer programmer digitalcommunication astrolabe chip monitor pc arithmetic game personalcomputer
digitalaudioplayer software microprocessor diskette centralprocessing unit eniac computing social browser programmer
floppydisk von neumann machine desktopcomputer computerprogramming memory phone astrolabe cybertechnology chip integratedcircuit
xbox calculator inputdevice homecomputer expansionslot cyber cyber electromechanical programmer desktopcomputer
floppydisk console machine abacus proprietary computercide keyboard incompatible computercide daw
programmer device compatible mainframe virtualreality console smartphone astrolabe von neumann machine desktoppcs
computation keyboard turingmachine digitalcommunication hardware office programmer escapekey computercircuit smartphone
laptopcomputer peripheral ibook desktopcomputer cyber game computercide antivirus electrical machines
desktop analogcomputer centralprocessing unit social imac vacuumtube incompatible diskette expansionslot desktop
mainframe browser supercomputer digitalcommunication desktopcomputer mobiledevice machines programming memory eniac
singers concerto design gospel folk cello drum rag editing timbre
literature bar percussion pianist conduct speak theme symphony record theatre
headphones muses cello spotify paleolithic genre chorus tuning song singers
key rag bands medicine speak bar electronica jazzfunk time concertise
record cultural atmosphere orchestra bass opera sfx key hiphop reharmonize
classical pitch medicine monophony mediant maps entertainment editing jazzfunk film
rhythm clarinet trio silence blues ragtime videos timbre movie bpm
atonality violin interlude improvisation saxophone voices medicine bluegrass motif drum
tabs instrumentals metre bar dynamics label bluegrass section lute beats
monophony karaoke bands lute poetry composer record works sing folk
record composer theme speak dance ragtime hymn media modulate sounds
sin highjack law terrorism legal murder racism slay fraud government
criminality barratry corrupt cases fraud terrorism noir mystery death drama
terrorism cop racism slayings drug misdemeanor mob murders vandalism poverty
heist police serial liberty revenge investigation brutality suspense gun vandalism
psychological structuralism genocide abuse massacre terrorism arrest misdemeanor incarceration criminals
