Yellow Maroon SkyBlue Gray Crimson DeepSkyBlue DarkViolet Snow DarkRed Burlywood
Burlywood DarkOrange MediumSeaGreen Ivory Brown MediumAquamarine MistyRose LightSlateBlue MidnightBlue DarkBlue
PaleVioletRed LightGreen Ivory LawnGreen Blue Maroon SeaGreen Firebrick DarkSlateGray LightSalmon
MediumOrchid Lavender Lime OliveDrab MediumAquamarine LightGoldenrod Coral LightSlateGray Tan Honeydew
Chocolate AliceBlue OliveDrab SandyBrown Chocolate RoyalBlue Plum PaleVioletRed LightGreen DimGray
Peru Gold DarkSalmon OliveDrab Salmon VioletRed Brown MediumAquamarine Burlywood MediumSeaGreen
PaleGoldenrod LightSlateGray MistyRose LawnGreen RoyalBlue DarkSalmon DarkSlateBlue DeepPink DarkTurquoise Orange
Pink Aquamarine Beige Fuchsia DarkCyan WhiteSmoke LemonChiffon Gold SkyBlue Linen
Blue Indigo Teal BlueViolet Linen LightSkyBlue Moccasin Orange Seashell Azure
DimGray AntiqueWhite LightSteelBlue Orange AntiqueWhite DarkRed PaleGoldenrod RoyalBlue MediumPurple GreenYellow
Turquoise DarkFuchsia LightSalmon Coral Silver LightSlateGray MidnightBlue DarkTurquoise DarkOrange LightSlateBlue
nice tame good frantic aggressive colorful homeless motionless crazy scary
bright cruel friendly distinct frail clever wicked better silly glorious
fragile poised better helpful tense gleaming muddy zealous amused courageous
thankful uptight glorious upset grotesque uninterested perfect clear sleepy cute
nutty good bright cruel smoggy wandering nasty cute gifted lazy
zealous powerful enthusiastic fierce poised calm strange grotesque misty lonely
zany exuberant sore wrong clumsy helpless defeated difficult shy homeless
blue-eyed bewildered lazy old-fashioned exuberant wide-eyed bloody ugliest inquisitive cruel
dark terrible stupid colorful long perfect successful comfortable powerful agreeable
enchanting unsightly dark creepy cruel handsome tender uptight wrong witty
careful depressed dizzy modern adventurous inexpensive thoughtless poised wicked concerned
BinaryNumber_1010101 BinaryNumber_0111100 BinaryNumber_0011100 BinaryNumber_1011010 BinaryNumber_0111111 BinaryNumber_1000101 BinaryNumber_1011111 BinaryNumber_1000110 BinaryNumber_0000101 BinaryNumber_1010011
BinaryNumber_0010100 BinaryNumber_1000010 BinaryNumber_0000101 BinaryNumber_0000110 BinaryNumber_0001111 BinaryNumber_0011010 BinaryNumber_0111101 BinaryNumber_0101100 BinaryNumber_0110111 BinaryNumber_0010010
BinaryNumber_1001111 BinaryNumber_1010111 BinaryNumber_1100010 BinaryNumber_0010000 BinaryNumber_1011000 BinaryNumber_1010001 BinaryNumber_0110111 BinaryNumber_1010101 BinaryNumber_1001110 BinaryNumber_1100010
BinaryNumber_1001110 BinaryNumber_1000101 BinaryNumber_0010111 BinaryNumber_0111110 BinaryNumber_0010011 BinaryNumber_1000000 BinaryNumber_1000010 BinaryNumber_0000001 BinaryNumber_0000010 BinaryNumber_1010000
BinaryNumber_1000100 BinaryNumber_1001111 BinaryNumber_0000110 BinaryNumber_0010111 BinaryNumber_1010001 BinaryNumber_0111111 BinaryNumber_0101101 BinaryNumber_0110101 BinaryNumber_1000100 BinaryNumber_1000101
BinaryNumber_0111010 BinaryNumber_1010111 BinaryNumber_0000100 BinaryNumber_1011111 BinaryNumber_0000000 BinaryNumber_0100110 BinaryNumber_0011101 BinaryNumber_0000101 BinaryNumber_0001110 BinaryNumber_1000110
BinaryNumber_0101110 BinaryNumber_0100101 BinaryNumber_1010111 BinaryNumber_0111000 BinaryNumber_0010000 BinaryNumber_0101110 BinaryNumber_0011001 BinaryNumber_1100010 BinaryNumber_0001011 BinaryNumber_0110011
