Acerola Pomelo Apple Lulo Lime Sapote Nance Orange Damson Feijoa
Lime Jackfruit Pomegranate Pineapple Papaya Plantain Lychee Mandarine Apricot Cranberry
Kiwano Mangosteen Breadfruit Guava Blackcurrant Banana Boysenberry Apricot Rambutan  Jujube
Peach Jambul Raisin Mangosteen Gooseberry Plumcot Plum Redcurrant Pomelo Jostaberry
Passionfruit Pineberry Honeydew Acerola Satsuma Jujube Raisin Pear Yuzu Açaí
Feijoa Apple Cantaloupe Jambul Mangosteen Mulberry Feijoa Loquat Honeyberry Tangerine
Watermelon Clementine Coconut Kiwifruit Pineapple Rambutan  Honeyberry Tangerine Jackfruit Longan
Pineapple Tangerine Raspberry Pineapple Date Kiwano Yuzu Salmonberry Feijoa Raisin
Salmonberry Pomegranate Lime Huckleberry Bilberry Strawberry Mangosteen Jambul Breadfruit Ximenia
Ximenia Peach Fig Kiwifruit Mango Banana Nectarine Date Pineberry Raisin
Jostaberry Pear Elderberry Cranberry Lemon Abiu Raspberry Grapefruit Pear Jambul
temperature__144c temperature__120c temperature__123c temperature__74c temperature__58c temperature__7c temperature__52c temperature__5c temperature__46c temperature__10c
temperature__137c temperature__100c temperature__120c temperature__12c temperature__74c temperature__22c temperature__120c temperature__59c temperature__142c temperature__59c
temperature__49c temperature__11c temperature__41c temperature__92c temperature__140c temperature__85c temperature__122c temperature__24c temperature__3c temperature__53c
temperature__116c temperature__27c temperature__34c temperature__52c temperature__0c temperature__23c temperature__16c temperature__33c temperature__31c temperature__52c
temperature__122c temperature__145c temperature__73c temperature__31c temperature__130c temperature__73c temperature__53c temperature__68c temperature__5c temperature__137c
temperature__59c temperature__71c temperature__131c temperature__145c temperature__46c temperature__2c temperature__31c temperature__34c temperature__49c temperature__138c
temperature__100c temperature__74c temperature__129c temperature__140c temperature__140c temperature__137c temperature__68c temperature__40c temperature__119c temperature__82c
temperature__147c temperature__137c temperature__92c temperature__118c temperature__7c temperature__119c temperature__53c temperature__118c temperature__118c temperature__11c
temperature__93c temperature__46c temperature__64c temperature__92c temperature__58c temperature__31c temperature__12c temperature__33c temperature__85c temperature__33c
temperature__92c temperature__108c temperature__21c temperature__124c temperature__130c temperature__11c temperature__90c temperature__126c temperature__49c temperature__34c
