envious breakable troubled frail long exuberant friendly frantic strange odd
arrogant gifted helpless proud happy tasty tense colorful important wrong
amused open worried misty happy famous gentle ugly dark glamorous
adorable real lonely lazy blushing better precious elated homeless thoughtless
motionless sparkling smoggy annoyed dizzy ugly wandering witty innocent obnoxious
gorgeous combative fierce courageous careful average tense average enchanting hurt
fantastic putrid lively poised dangerous panicky grieving awful awful victorious
lively depressed tasty relieved tame jittery repulsive bright poor inexpensive
cloudy dull puzzled hurt easy determined clumsy cautious frail friendly
joyous joyous magnificent foolish itchy clever dizzy clever old-fashioned clean
excited horrible disgusted delightful annoyed ashamed outstanding enthusiastic dizzy long
temperature__77c temperature__131c temperature__70c temperature__82c temperature__111c temperature__5c temperature__8c temperature__17c temperature__109c temperature__124c
temperature__91c temperature__39c temperature__108c temperature__78c temperature__64c temperature__51c temperature__91c temperature__11c temperature__130c temperature__5c
temperature__50c temperature__21c temperature__31c temperature__105c temperature__126c temperature__148c temperature__131c temperature__57c temperature__36c temperature__145c
temperature__65c temperature__52c temperature__11c temperature__22c temperature__16c temperature__14c temperature__98c temperature__120c temperature__6c temperature__93c
temperature__22c temperature__51c temperature__82c temperature__50c temperature__85c temperature__8c temperature__140c temperature__106c temperature__142c temperature__142c
temperature__147c temperature__58c temperature__122c temperature__71c temperature__61c temperature__5c temperature__53c temperature__47c temperature__119c temperature__46c
temperature__5c temperature__148c temperature__120c temperature__63c temperature__34c temperature__22c temperature__46c temperature__147c temperature__46c temperature__92c
temperature__147c temperature__122c temperature__10c temperature__69c temperature__26c temperature__138c temperature__108c temperature__118c temperature__139c temperature__84c
temperature__145c temperature__47c temperature__105c temperature__123c temperature__71c temperature__98c temperature__90c temperature__49c temperature__124c temperature__54c
temperature__23c temperature__6c temperature__136c temperature__136c temperature__56c temperature__61c temperature__47c temperature__46c temperature__51c temperature__69c
temperature__7c temperature__141c temperature__100c temperature__54c temperature__49c temperature__31c temperature__22c temperature__142c temperature__69c temperature__78c
