bewildered frail panicky thoughtless nervous homeless encouraging graceful cloudy wandering
tired talented thankful jolly dark confused precious troubled sleepy worried
sore good super concerned homeless frantic clumsy glamorous lazy horrible
vivacious breakable average expensive gorgeous worrisome modern cheerful wicked colorful
proud delightful beautiful cruel upset super easy anxious tame innocent
adorable alive bored grumpy silly precious vivacious brainy pleasant naughty
grieving jealous alert black motionless awful filthy good perfect doubtful
courageous cooperative frail breakable excited open brave blue-eyed brave annoyed
upset gorgeous victorious excited adventurous vivacious busy tough sleepy tense
encouraging amused brainy charming unsightly busy annoyed fantastic wide-eyed calm
vast awful wrong nutty angry uptight grotesque amused exuberant happy
CubeNumber_456533 CubeNumber_27 CubeNumber_614125 CubeNumber_166375 CubeNumber_24389 CubeNumber_32768 CubeNumber_262144 CubeNumber_389017 CubeNumber_343 CubeNumber_729
CubeNumber_35937 CubeNumber_592704 CubeNumber_27000 CubeNumber_10648 CubeNumber_287496 CubeNumber_512 CubeNumber_125 CubeNumber_456533 CubeNumber_32768 CubeNumber_262144
CubeNumber_512 CubeNumber_614125 CubeNumber_912673 CubeNumber_226981 CubeNumber_704969 CubeNumber_35937 CubeNumber_157464 CubeNumber_205379 CubeNumber_5832 CubeNumber_493039
CubeNumber_8 CubeNumber_79507 CubeNumber_343000 CubeNumber_1728 CubeNumber_195112 CubeNumber_531441 CubeNumber_4096 CubeNumber_103823 CubeNumber_125000 CubeNumber_13824
CubeNumber_27000 CubeNumber_753571 CubeNumber_328509 CubeNumber_85184 CubeNumber_421875 CubeNumber_64000 CubeNumber_103823 CubeNumber_42875 CubeNumber_39304 CubeNumber_531441
CubeNumber_512000 CubeNumber_35937 CubeNumber_804357 CubeNumber_704969 CubeNumber_46656 CubeNumber_19683 CubeNumber_614125 CubeNumber_19683 CubeNumber_216 CubeNumber_21952
CubeNumber_32768 CubeNumber_12167 CubeNumber_68921 CubeNumber_912673 CubeNumber_35937 CubeNumber_27000 CubeNumber_157464 CubeNumber_456533 CubeNumber_753571 CubeNumber_778688
CubeNumber_373248 CubeNumber_636056 CubeNumber_35937 CubeNumber_857375 CubeNumber_250047 CubeNumber_2744 CubeNumber_681472 CubeNumber_421875 CubeNumber_343000 CubeNumber_140608
CubeNumber_29791 CubeNumber_85184 CubeNumber_85184 CubeNumber_32768 CubeNumber_287496 CubeNumber_753571 CubeNumber_10648 CubeNumber_24389 CubeNumber_79507 CubeNumber_857375
CubeNumber_24389 CubeNumber_117649 CubeNumber_110592 CubeNumber_35937 CubeNumber_8000 CubeNumber_4913 CubeNumber_300763 CubeNumber_125000 CubeNumber_195112 CubeNumber_729
CubeNumber_27 CubeNumber_1000 CubeNumber_21952 CubeNumber_117649 CubeNumber_343000 CubeNumber_729000 CubeNumber_74088 CubeNumber_512 CubeNumber_175616 CubeNumber_59319
DarkFuchsia DimGray DarkFuchsia LightSeaGreen LightSlateGray LimeGreen Turquoise Turquoise LightCoral Cyan
PowderBlue ForestGreen SandyBrown Seashell Coral DimGray DarkOrange Aquamarine Teal SkyBlue
PaleVioletRed DarkSeaGreen Red LightSalmon RoyalBlue Firebrick MediumPurple Maroon MediumVioletRed Moccasin
Lavender Feldspar LightSlateBlue LightGoldenrodYellow LemonChiffon OliveDrab MintCream Lavender Lavender DarkOrchid
SeaGreen LightGray Tomato DarkRed LightSteelBlue DarkTurquoise GhostWhite FloralWhite Seashell Tomato
DarkSlateBlue DarkGreen RoyalBlue DarkSalmon Cornsilk RoyalBlue IndianRed Purple LightGoldenrodYellow Lavender
LightGreen Bisque MediumOrchid SandyBrown Thistle Silver LightYellow FloralWhite Cornsilk FloralWhite
GhostWhite LightGoldenrod DarkRed GreenYellow OrangeRed Black LightBlue LemonChiffon Linen Ivory
Turquoise PaleGreen MediumPurple Indigo Turquoise LimeGreen AliceBlue SandyBrown SteelBlue Cornsilk
LemonChiffon Sienna Plum Gainsboro Salmon Tan MediumSlateBlue LightCyan LightBlue Coral
DeepSkyBlue LightYellow Blue Cornsilk LightGreen Brown MediumPurple MediumSlateBlue MediumTurquoise Brown
temperature__2c temperature__65c temperature__21c temperature__61c temperature__46c temperature__46c temperature__68c temperature__39c temperature__131c temperature__17c
temperature__28c temperature__84c temperature__142c temperature__116c temperature__95c temperature__53c temperature__51c temperature__122c temperature__44c temperature__122c
temperature__31c temperature__130c temperature__11c temperature__141c temperature__50c temperature__73c temperature__84c temperature__105c temperature__2c temperature__148c
temperature__6c temperature__130c temperature__27c temperature__92c temperature__24c temperature__22c temperature__126c temperature__132c temperature__84c temperature__51c
temperature__17c temperature__106c temperature__147c temperature__129c temperature__112c temperature__86c temperature__52c temperature__93c temperature__123c temperature__98c
temperature__27c temperature__22c temperature__57c temperature__65c temperature__88c temperature__148c temperature__84c temperature__31c temperature__136c temperature__148c
