weary clear aggressive proud jealous fancy stormy brave funny tame
inquisitive adventurous fierce worried lovely gifted glorious quaint glamorous careful
dull nutty uninterested mysterious alive hurt lucky gleaming terrible bad
putrid tough ugly annoyed creepy tasty cruel grumpy joyous shy
glamorous careful ashamed anxious tame scary defiant nasty fantastic helpful
healthy disgusted super vast impossible alert important good lonely careful
difficult delightful motionless cooperative lucky lazy defiant happy fantastic amused
vast perfect uninterested motionless powerful breakable famous tame itchy impossible
foolish grieving fantastic stupid good modern smiling clean scary homely
poised poised disturbed grumpy gifted wicked determined tough wide-eyed precious
determined grieving odd magnificent black nasty beautiful combative energetic gentle
CubeNumber_4096 CubeNumber_778688 CubeNumber_4913 CubeNumber_729000 CubeNumber_493039 CubeNumber_13824 CubeNumber_8 CubeNumber_46656 CubeNumber_32768 CubeNumber_91125
CubeNumber_4913 CubeNumber_636056 CubeNumber_85184 CubeNumber_85184 CubeNumber_117649 CubeNumber_636056 CubeNumber_50653 CubeNumber_941192 CubeNumber_85184 CubeNumber_27
CubeNumber_27 CubeNumber_941192 CubeNumber_884736 CubeNumber_753571 CubeNumber_830584 CubeNumber_117649 CubeNumber_226981 CubeNumber_17576 CubeNumber_4913 CubeNumber_21952
CubeNumber_1331 CubeNumber_39304 CubeNumber_59319 CubeNumber_4096 CubeNumber_46656 CubeNumber_4913 CubeNumber_42875 CubeNumber_91125 CubeNumber_21952 CubeNumber_4096
CubeNumber_24389 CubeNumber_373248 CubeNumber_830584 CubeNumber_3375 CubeNumber_17576 CubeNumber_15625 CubeNumber_19683 CubeNumber_614125 CubeNumber_729 CubeNumber_64
CubeNumber_314432 CubeNumber_2744 CubeNumber_17576 CubeNumber_456533 CubeNumber_35937 CubeNumber_1000 CubeNumber_19683 CubeNumber_125 CubeNumber_262144 CubeNumber_614125
CubeNumber_12167 CubeNumber_884736 CubeNumber_226981 CubeNumber_2197 CubeNumber_103823 CubeNumber_287496 CubeNumber_91125 CubeNumber_91125 CubeNumber_2197 CubeNumber_314432
CubeNumber_571787 CubeNumber_373248 CubeNumber_804357 CubeNumber_27000 CubeNumber_68921 CubeNumber_729 CubeNumber_9261 CubeNumber_157464 CubeNumber_262144 CubeNumber_195112
CubeNumber_140608 CubeNumber_512 CubeNumber_17576 CubeNumber_804357 CubeNumber_216 CubeNumber_157464 CubeNumber_3375 CubeNumber_27 CubeNumber_343000 CubeNumber_42875
CubeNumber_804357 CubeNumber_195112 CubeNumber_343 CubeNumber_46656 CubeNumber_456533 CubeNumber_64000 CubeNumber_912673 CubeNumber_274625 CubeNumber_551368 CubeNumber_29791
CubeNumber_373248 CubeNumber_148877 CubeNumber_704969 CubeNumber_636056 CubeNumber_592704 CubeNumber_551368 CubeNumber_438976 CubeNumber_884736 CubeNumber_50653 CubeNumber_262144
SquareNumber_5776 SquareNumber_2209 SquareNumber_4096 SquareNumber_3969 SquareNumber_3025 SquareNumber_1089 SquareNumber_576 SquareNumber_5476 SquareNumber_25 SquareNumber_4356
SquareNumber_9216 SquareNumber_7921 SquareNumber_1156 SquareNumber_2704 SquareNumber_484 SquareNumber_2809 SquareNumber_2809 SquareNumber_8100 SquareNumber_3136 SquareNumber_7396
SquareNumber_4489 SquareNumber_7921 SquareNumber_3364 SquareNumber_576 SquareNumber_1024 SquareNumber_6724 SquareNumber_5929 SquareNumber_9801 SquareNumber_10000 SquareNumber_4761
SquareNumber_5041 SquareNumber_961 SquareNumber_1444 SquareNumber_6400 SquareNumber_2704 SquareNumber_784 SquareNumber_25 SquareNumber_6724 SquareNumber_9409 SquareNumber_3844
