Firebrick Thistle MediumVioletRed Linen MediumSeaGreen Chartreuse Burlywood LimeGreen Lime Ivory
GreenYellow Seashell DarkSlateGray MidnightBlue Sienna PaleVioletRed DarkKhaki LightCoral DarkTurquoise DeepPink
Navy Crimson Purple IndianRed DodgerBlue OrangeRed GreenYellow MediumPurple Khaki PaleGreen
LightCyan Crimson Chartreuse Green Indigo Red MediumSpringGreen FloralWhite RosyBrown DarkBlue
DarkSlateBlue FloralWhite Cornsilk Tan Lavender Silver MediumVioletRed LavenderBlush MediumAquamarine PaleTurquoise
Yellow HotPink PaleTurquoise LightSkyBlue Aquamarine Chocolate Green Chocolate Ivory DarkFuchsia
DeepSkyBlue Brown Chocolate Silver Cornsilk Salmon SteelBlue Navy SandyBrown DarkKhaki
Gainsboro Gainsboro LightYellow Firebrick Ivory LightSalmon NavajoWhite DarkGreen MidnightBlue Crimson
Orange LightCoral Black Gold DimGray SeaGreen LemonChiffon CornflowerBlue Khaki Khaki
LightSlateGray AntiqueWhite LightSlateGray Tomato LightCoral Salmon Cornsilk Brown Turquoise IndianRed
White Feldspar MediumSeaGreen MediumBlue Red Teal OliveDrab Blue PapayaWhip MediumSlateBlue
BinaryNumber_1011101 BinaryNumber_0110011 BinaryNumber_1011111 BinaryNumber_0101011 BinaryNumber_0110100 BinaryNumber_0101011 BinaryNumber_1011001 BinaryNumber_1011010 BinaryNumber_1100010 BinaryNumber_1010110
BinaryNumber_1011000 BinaryNumber_0111101 BinaryNumber_1001110 BinaryNumber_1000100 BinaryNumber_1011000 BinaryNumber_1011010 BinaryNumber_0001011 BinaryNumber_0011111 BinaryNumber_1001011 BinaryNumber_0001111
BinaryNumber_0101001 BinaryNumber_0111111 BinaryNumber_1001011 BinaryNumber_1001011 BinaryNumber_0010110 BinaryNumber_1011001 BinaryNumber_0011101 BinaryNumber_1011011 BinaryNumber_0111010 BinaryNumber_1000101
BinaryNumber_1011001 BinaryNumber_1001111 BinaryNumber_0100110 BinaryNumber_0000101 BinaryNumber_0001100 BinaryNumber_1001010 BinaryNumber_0100010 BinaryNumber_1010011 BinaryNumber_1010001 BinaryNumber_1000001
BinaryNumber_0101001 BinaryNumber_0000010 BinaryNumber_0101001 BinaryNumber_1010011 BinaryNumber_0010001 BinaryNumber_0101100 BinaryNumber_0101101 BinaryNumber_0001000 BinaryNumber_0100011 BinaryNumber_1010101
