MediumOrchid Yellow Seashell Tomato Lime Gainsboro SaddleBrown BlanchedAlmond AntiqueWhite DodgerBlue
Wheat SaddleBrown DarkGoldenrod BlanchedAlmond Peru Azure LightGoldenrod ForestGreen DarkTurquoise Azure
AntiqueWhite SteelBlue Maroon PowderBlue Orange Fuchsia Sienna Cornsilk LightSlateBlue BlueViolet
SkyBlue RosyBrown PaleTurquoise Orchid MediumBlue CornflowerBlue Salmon MediumSlateBlue DimGray DarkOliveGreen
Snow DodgerBlue Honeydew DarkGray Ivory Tomato Peru DarkOliveGreen LightCoral SteelBlue
DarkFuchsia LightCyan LightGray MintCream DarkGoldenrod Indigo VioletRed PowderBlue Gray CadetBlue
DodgerBlue IndianRed AntiqueWhite DarkCyan DarkOrange MintCream LightSteelBlue Turquoise Cyan DeepPink
LightGoldenrodYellow HotPink Peru MediumBlue Olive LavenderBlush SpringGreen VioletRed Black Lime
PowderBlue LightCoral CornflowerBlue PaleGoldenrod PaleGreen OrangeRed DeepPink RosyBrown PaleVioletRed Peru
AliceBlue MidnightBlue SpringGreen OldLace Cornsilk Yellow Fuchsia SaddleBrown Silver Moccasin
SlateBlue Aquamarine Firebrick OldLace Orange Sienna MediumTurquoise PapayaWhip Firebrick Orchid
Ureter Brain Mesentery Scrotum Ganglia Urethra Arteries Analcanal Tonsils Midbrain
Tongue Gallbladder Analcanal Ciliarybody Bladder Hypothalamus Thalamus Sensoryorgans Liver Ganglia
Stomach Outerear Largeintestine Ganglia Innerear Arteries Spleen Joints skeleton Vulva
Teeth Iris Teeth Tendons Jejunum Pharynx Mesentery Rectum Smallintestine Tendons
Tongue Cornea Pharynx Kidneys Earlobe Cecum Cerebellum Middleear Ciliarybody Jejunum
skeleton Placenta Trachea skeleton Cervix Stomach Jejunum Veins Bladder Bladder
Capillaries Placenta Lens Rectum Eye Smallintestine Cornea Ossicles Bladder Bladder
Ovaries Spinalnerves Fallopiantubes Liver Liver Esophagus Earlobe Cochlea Eye Penis
Kidneys Smallintestine Penis Mesentery Lungs Lips Trachea Pons Bronchi Stomach
Bone  Rectum Cochlea Tastebuds Hypothalamus Cochlea Tastebuds Spinalnerves Arteries Fallopiantubes
