Red Maroon MediumPurple Feldspar LightCyan DarkOrange MidnightBlue LawnGreen OldLace MediumAquamarine
DarkGreen LightSalmon SpringGreen Crimson PaleTurquoise Seashell LightCoral Cyan DarkSeaGreen GhostWhite
Thistle FloralWhite Gray DarkKhaki Azure MediumSpringGreen Plum Violet PeachPuff MediumPurple
DodgerBlue Wheat Navy DodgerBlue Azure LightSeaGreen Yellow DarkRed MediumSlateBlue SpringGreen
WhiteSmoke DarkBlue Fuchsia Teal DarkTurquoise DeepPink DarkBlue Feldspar Violet NavajoWhite
Yellow LightCyan Crimson MediumSpringGreen Violet CornflowerBlue Thistle LightGray MediumSpringGreen Peru
Gray DodgerBlue PaleVioletRed MistyRose MediumTurquoise MidnightBlue DarkViolet Indigo Honeydew Sienna
CornflowerBlue LightSlateBlue PaleGoldenrod Moccasin SeaGreen Cyan MediumVioletRed MidnightBlue Tomato Sienna
Ivory Orchid RoyalBlue PapayaWhip ForestGreen DarkOrchid LightCoral DarkBlue DarkSalmon VioletRed
LightSlateBlue MediumAquamarine Bisque Lime MediumVioletRed Feldspar Honeydew RoyalBlue LightSeaGreen DarkSalmon
Cyan DodgerBlue SaddleBrown ForestGreen Silver Indigo Goldenrod SkyBlue Snow Gold
BinaryNumber_0111011 BinaryNumber_0011110 BinaryNumber_0101100 BinaryNumber_0111011 BinaryNumber_0101110 BinaryNumber_1011000 BinaryNumber_1010111 BinaryNumber_0000011 BinaryNumber_1011000 BinaryNumber_0101100
BinaryNumber_0110110 BinaryNumber_0011001 BinaryNumber_1011011 BinaryNumber_0101011 BinaryNumber_1000001 BinaryNumber_0111010 BinaryNumber_1010111 BinaryNumber_1001101 BinaryNumber_1011000 BinaryNumber_0110100
BinaryNumber_0011110 BinaryNumber_0001010 BinaryNumber_0011010 BinaryNumber_1001000 BinaryNumber_1010100 BinaryNumber_1001101 BinaryNumber_1000001 BinaryNumber_1000000 BinaryNumber_0110010 BinaryNumber_0110100
BinaryNumber_0010100 BinaryNumber_1000001 BinaryNumber_0000111 BinaryNumber_1100000 BinaryNumber_0000010 BinaryNumber_1001000 BinaryNumber_0100100 BinaryNumber_1010110 BinaryNumber_1000101 BinaryNumber_0100110
BinaryNumber_0101110 BinaryNumber_1010010 BinaryNumber_0000000 BinaryNumber_0101100 BinaryNumber_0101010 BinaryNumber_1000111 BinaryNumber_0111101 BinaryNumber_0011000 BinaryNumber_1100000 BinaryNumber_1010100
BinaryNumber_0110001 BinaryNumber_0110110 BinaryNumber_0001111 BinaryNumber_0111001 BinaryNumber_0101011 BinaryNumber_0000010 BinaryNumber_0101100 BinaryNumber_0011000 BinaryNumber_0010000 BinaryNumber_0110010
BinaryNumber_0100000 BinaryNumber_0111101 BinaryNumber_0101100 BinaryNumber_0000110 BinaryNumber_1011011 BinaryNumber_0000101 BinaryNumber_0111000 BinaryNumber_1011010 BinaryNumber_1001011 BinaryNumber_0010011
BinaryNumber_0111001 BinaryNumber_0100100 BinaryNumber_0110110 BinaryNumber_0100101 BinaryNumber_1000110 BinaryNumber_0000011 BinaryNumber_0011111 BinaryNumber_0101000 BinaryNumber_0010101 BinaryNumber_1011111
BinaryNumber_1011110 BinaryNumber_0011100 BinaryNumber_1010000 BinaryNumber_1011001 BinaryNumber_1011110 BinaryNumber_0011011 BinaryNumber_1011101 BinaryNumber_0010001 BinaryNumber_0101110 BinaryNumber_1010100
BinaryNumber_1100010 BinaryNumber_0011111 BinaryNumber_1001111 BinaryNumber_0110000 BinaryNumber_1010111 BinaryNumber_1100011 BinaryNumber_0010001 BinaryNumber_1010000 BinaryNumber_0000000 BinaryNumber_1010101
