Salmonberry Salak Akebi Orange Abiu Cashew Jostaberry Pineberry Tayberry Rambutan 
Orange Tamarillo Loquat Canistel Banana Grapefruit Kiwifruit Currant Rambutan  Lime
Tangelo Currant Banana Pineapple Pomelo Avocado Lychee Lychee Loganberry Melon
Persimmon Mango Blueberry Jambul Damson Tamarind Cashew Kumquat Redcurrant Kiwifruit
Lychee Canistel Loquat Elderberry Orange Ackee Redcurrant Damson Grape Blueberry
Yuzu Plantain Watermelon Raisin Blackcurrant Sapote Pomegranate Pineapple Cherimoya Passionfruit
Persimmon Pear Cantaloupe Blackberry Raspberry Lime Gooseberry Cempedak Persimmon Nectarine
Kiwifruit Banana Lulo Cherry Coconut Apricot Tamarillo Elderberry Mangosteen Pineapple
Blackcurrant Acerola Pawpaw Grape Araza Salak Kumquat Cantaloupe Grapefruit Cantaloupe
Cloudberry Apricot Lychee Longan Pomegranate Mango Lulo Clementine Honeydew Feijoa
Blueberry Akebi Rambutan  Coconut Acerola Plumcot Banana Cloudberry Grape Lime
BinaryNumber_1000110 BinaryNumber_0110110 BinaryNumber_1000000 BinaryNumber_1011000 BinaryNumber_0001010 BinaryNumber_0010011 BinaryNumber_0101010 BinaryNumber_1000100 BinaryNumber_0100110 BinaryNumber_0000111
BinaryNumber_1011101 BinaryNumber_0000000 BinaryNumber_1000011 BinaryNumber_0101010 BinaryNumber_0110101 BinaryNumber_0111010 BinaryNumber_0100001 BinaryNumber_0110111 BinaryNumber_0001101 BinaryNumber_0100011
BinaryNumber_0001010 BinaryNumber_0010011 BinaryNumber_1010000 BinaryNumber_1000111 BinaryNumber_0011100 BinaryNumber_1000100 BinaryNumber_1000001 BinaryNumber_0011001 BinaryNumber_0101011 BinaryNumber_1000010
BinaryNumber_1001101 BinaryNumber_1000000 BinaryNumber_1011111 BinaryNumber_0011000 BinaryNumber_0010111 BinaryNumber_0001110 BinaryNumber_1001111 BinaryNumber_0011011 BinaryNumber_0001100 BinaryNumber_0111010
BinaryNumber_0000111 BinaryNumber_0101010 BinaryNumber_0001001 BinaryNumber_0101111 BinaryNumber_0100011 BinaryNumber_1001001 BinaryNumber_0100010 BinaryNumber_1011110 BinaryNumber_0011001 BinaryNumber_0100011
BinaryNumber_1010100 BinaryNumber_0100100 BinaryNumber_1001111 BinaryNumber_0000110 BinaryNumber_1000101 BinaryNumber_1000110 BinaryNumber_1010000 BinaryNumber_0100010 BinaryNumber_0110010 BinaryNumber_1001001
