LightYellow Tomato LimeGreen Khaki Thistle Teal MediumAquamarine Seashell Gold LightGreen
PaleGreen Cornsilk SeaGreen LightYellow SlateGray Chartreuse Purple MediumSpringGreen SteelBlue DarkCyan
MediumPurple OrangeRed Honeydew GhostWhite Maroon Pink NavajoWhite DarkCyan Red DarkViolet
OliveDrab PaleTurquoise Orchid SkyBlue LimeGreen NavajoWhite LightBlue DarkSlateGray PaleTurquoise Yellow
HotPink Peru LightCyan HotPink LightCoral Burlywood LightSlateGray MediumSpringGreen LimeGreen SaddleBrown
GreenYellow Cornsilk Khaki Lime PaleGoldenrod MidnightBlue Burlywood White GhostWhite MistyRose
DarkSlateBlue DarkOrange Silver Plum MintCream Crimson LawnGreen LemonChiffon WhiteSmoke LightCoral
PaleVioletRed AntiqueWhite HotPink Chocolate Silver Salmon DarkTurquoise LightYellow Gainsboro DarkSlateBlue
DodgerBlue IndianRed Blue Azure LightBlue LightSteelBlue LavenderBlush Plum SlateGray Khaki
Yellow CadetBlue Fuchsia Feldspar Yellow IndianRed Fuchsia LightPink MistyRose MediumSeaGreen
Tomato LightCoral Beige Crimson Orange Silver Silver FloralWhite DeepSkyBlue Burlywood
BinaryNumber_0011100 BinaryNumber_0001110 BinaryNumber_0001100 BinaryNumber_0001100 BinaryNumber_0101100 BinaryNumber_0101001 BinaryNumber_0101001 BinaryNumber_0110000 BinaryNumber_1011000 BinaryNumber_0101001
BinaryNumber_1010100 BinaryNumber_0000011 BinaryNumber_0100111 BinaryNumber_0100000 BinaryNumber_0010010 BinaryNumber_1011010 BinaryNumber_0111010 BinaryNumber_0101010 BinaryNumber_0111011 BinaryNumber_0001010
BinaryNumber_1011001 BinaryNumber_1010011 BinaryNumber_0100110 BinaryNumber_0001111 BinaryNumber_0001010 BinaryNumber_1010001 BinaryNumber_0000110 BinaryNumber_1100011 BinaryNumber_0101011 BinaryNumber_0111000
BinaryNumber_0110101 BinaryNumber_0110111 BinaryNumber_0001000 BinaryNumber_1000000 BinaryNumber_0000100 BinaryNumber_1100000 BinaryNumber_1001010 BinaryNumber_0100111 BinaryNumber_1010000 BinaryNumber_0010101
BinaryNumber_1010110 BinaryNumber_0010010 BinaryNumber_0010111 BinaryNumber_0111011 BinaryNumber_1001101 BinaryNumber_0110011 BinaryNumber_1010001 BinaryNumber_0000001 BinaryNumber_1010111 BinaryNumber_1000101
BinaryNumber_0100001 BinaryNumber_1011001 BinaryNumber_0011010 BinaryNumber_1000000 BinaryNumber_0011011 BinaryNumber_1001110 BinaryNumber_0000000 BinaryNumber_0110000 BinaryNumber_1011000 BinaryNumber_0010100
