Thistle LightCyan DarkOrange ForestGreen IndianRed Yellow Purple Azure Lavender Gainsboro
White Gray Firebrick SpringGreen MistyRose Azure HotPink Feldspar DarkFuchsia DarkSlateGray
PowderBlue DeepPink CornflowerBlue SkyBlue LawnGreen PowderBlue Olive SkyBlue PowderBlue DarkOliveGreen
Turquoise PowderBlue LawnGreen DarkSalmon LightGoldenrodYellow Chocolate Khaki Plum CadetBlue Peru
DarkOrchid DeepSkyBlue Yellow Moccasin Black LimeGreen Black Sienna Cornsilk Blue
Red LightSeaGreen Burlywood Cornsilk Moccasin RosyBrown DarkBlue MediumSpringGreen LightSlateBlue IndianRed
Lavender GreenYellow Feldspar PaleVioletRed LightCoral Chocolate Orchid Bisque Cornsilk MediumSeaGreen
DarkBlue WhiteSmoke BlanchedAlmond Gold BlueViolet PaleGreen Aquamarine Burlywood MediumSeaGreen PeachPuff
DarkViolet Yellow FloralWhite Linen Red Pink PaleVioletRed DarkOliveGreen WhiteSmoke MediumPurple
Goldenrod LightGoldenrodYellow LightCyan LightGoldenrodYellow Silver DeepSkyBlue AliceBlue Ivory Navy MediumSlateBlue
Linen LightBlue PaleGoldenrod CornflowerBlue LightGoldenrodYellow SteelBlue DarkFuchsia Cornsilk AntiqueWhite Turquoise
Liver Ligaments Cranialnerves Cochlea Placenta Cerebrum Cerebellum Cervix Capillaries Pancreas
Ossicles Brain Pons Thalamus Mouth Arteries skeleton Spleen Tendons Clitoris
Bronchi Stomach Cranialnerves Outerear Smallintestine Ear Veins Sensoryorgans Ureter Lips
Teeth Eye Fallopiantubes Muscle Ganglia Larynx Placenta Stomach Heart Bone 
Ear Cornea Sensoryorgans Earlobe Mouth Nerves Tongue Interstitium Muscle Innerear
Fallopiantubes Pharynx Tastebuds Vagina Eardrum Pharynx skeleton Uterus Spinalnerves Larynx
Cervix Duodenum Ear Penis Vulva Ganglia Clitoris Pharynx Thalamus Smallintestine
Ureter Trachea Muscle Kidneys Cornea Ganglia Liver Ear Cerebellum Lens
Bone  Larynx Clitoris Lymphaticvessel Lips Cerebrum Pharynx Jejunum Pancreas Retina
Cervix Pancreas Heart Spinalnerves Ossicles Clitoris Ciliarybody Midbrain Sensoryorgans Bone 
Brain skeleton Sensoryorgans Esophagus Capillaries Joints Cerebrum Thalamus Vulva Sensoryorgans
defamation beleaguer privilege prestidigitation collaboration retaliation allegation covert conceal acolyte
expose parry collaboration recrimination covert laconic empire lobby sloth privilege
solicit laconic fray scandal empire malfeasance reputation scandalous patronage onerous
coterie scapegoat refute defamation tarnish manipulate parry revelation scandal retaliation
refute patronage expose bribe unethical tainted prestidigitation lobby demagogue refute
subterfuge claim collaboration deny defamation unsavory alliance laconic coercion mendacity
benefit claim unjust allegation integrity subterfuge patronage regime mercurial sloth
ignorant hypocrisy illicit deny claim career empire empire denigrate privilege
manipulate dictatorship expose incident scandalous denigrate feud deficit mendacity defamation
reckless fiasco cadre reckless scandalous illegal onerous temptation anonymity tarnish
acolyte denigrate anonymity deflect laconic rebut partial hypocrisy manipulate parry
temperature__145c temperature__138c temperature__52c temperature__27c temperature__21c temperature__71c temperature__90c temperature__53c temperature__136c temperature__130c
temperature__68c temperature__22c temperature__57c temperature__88c temperature__46c temperature__34c temperature__79c temperature__111c temperature__42c temperature__78c
temperature__31c temperature__39c temperature__70c temperature__137c temperature__24c temperature__16c temperature__119c temperature__52c temperature__12c temperature__78c
