Lime Black LightPink Chartreuse LemonChiffon LawnGreen LightCoral GhostWhite Brown Indigo
Turquoise LimeGreen PaleTurquoise DarkTurquoise Beige Orchid Thistle Chartreuse SlateBlue LightCoral
Gray MediumSpringGreen Maroon DarkGreen Green DeepPink Chartreuse CornflowerBlue LightBlue SeaGreen
Orange Cornsilk WhiteSmoke LightGreen Blue PapayaWhip DarkOrchid SkyBlue Snow Snow
PaleGreen SpringGreen DeepPink Gainsboro CornflowerBlue MediumOrchid DarkBlue PaleGreen Honeydew DarkGoldenrod
SkyBlue Tomato Cyan DarkTurquoise LightGreen Orange Orange MidnightBlue SteelBlue SaddleBrown
DarkGoldenrod LightBlue LawnGreen MediumSpringGreen Azure PaleGreen DarkSlateBlue Teal LawnGreen SteelBlue
DarkBlue Fuchsia MediumOrchid Gray AntiqueWhite OldLace Chocolate Lime Turquoise Red
MediumSlateBlue Sienna Salmon LightSteelBlue Pink Olive DodgerBlue MistyRose MediumPurple PaleGreen
Navy Seashell Linen DodgerBlue LavenderBlush OldLace MediumSpringGreen MediumOrchid Chartreuse Olive
Tan LavenderBlush DarkKhaki Black MediumSlateBlue Gold Burlywood SandyBrown Linen Moccasin
BinaryNumber_0111100 BinaryNumber_1001111 BinaryNumber_1001011 BinaryNumber_0010000 BinaryNumber_0011010 BinaryNumber_0111010 BinaryNumber_0100011 BinaryNumber_0000010 BinaryNumber_1001001 BinaryNumber_0000100
BinaryNumber_0000101 BinaryNumber_0101100 BinaryNumber_0101000 BinaryNumber_0110110 BinaryNumber_0101110 BinaryNumber_1010110 BinaryNumber_0110101 BinaryNumber_0000011 BinaryNumber_0000110 BinaryNumber_1010101
BinaryNumber_0011011 BinaryNumber_0010100 BinaryNumber_0001000 BinaryNumber_1000010 BinaryNumber_0110000 BinaryNumber_0101001 BinaryNumber_1001011 BinaryNumber_1010100 BinaryNumber_0110000 BinaryNumber_0010010
BinaryNumber_1000001 BinaryNumber_0110111 BinaryNumber_0011111 BinaryNumber_1011101 BinaryNumber_1010011 BinaryNumber_1011100 BinaryNumber_0010101 BinaryNumber_0100111 BinaryNumber_0011110 BinaryNumber_0010011
