Jujube Quince Date Araza Coconut Cherry Grapefruit Satsuma Açaí Fig
Durian Currant Lime Loganberry Araza Ximenia Blackcurrant Mangosteen Redcurrant Strawberry
Mulberry Tamarillo Nectarine Boysenberry Tamarillo Bilberry Passionfruit Ackee Plantain Persimmon
Nance Pomegranate Mangosteen Breadfruit Fig Strawberry Date Plum Blackberry Honeyberry
Pineberry Kumquat Açaí Nectarine Lemon Peach Rambutan  Bilberry Nectarine Strawberry
Grape Cempedak Mandarine Sapodilla Lemon Tangerine Lychee Tangerine Grape Quince
Melon Boysenberry Cherimoya Grapefruit Sapodilla Lemon Blackcurrant Pawpaw Date Quince
Lulo Cempedak Cherimoya Plantain Kiwano Pear Elderberry Apple Feijoa Blackberry
Prune Raisin Mango Raisin Date Blueberry Gooseberry Pineberry Blueberry Cherry
Feijoa Açaí Tangerine Tangelo Ackee Orange Avocado Persimmon Kiwano Pawpaw
Fig Plumcot Honeyberry Blackberry Plantain Blueberry Damson Raisin Boysenberry Guava
charming cooperative fragile easy shy strange awful precious dead lonely
better delightful enchanting obedient difficult frantic splendid cute wrong clear
plain silly difficult homeless elegant thoughtless clumsy attractive elated easy
wandering bewildered tasty gleaming tender repulsive homely smiling energetic fine
prickly itchy exuberant good doubtful easy annoying gentle energetic outstanding
enchanting clear healthy crowded lively worried brave enthusiastic lonely bloody
helpful terrible puzzled light lonely lively happy putrid important stormy
gorgeous upset unusual uptight gorgeous jealous magnificent outstanding cruel delightful
courageous evil uninterested average calm frail cheerful dead defeated cute
easy odd grieving victorious rich modern uninterested encouraging black nervous
disturbed successful cautious difficult nutty bad cute anxious talented happy
BinaryNumber_0111010 BinaryNumber_1011011 BinaryNumber_0110010 BinaryNumber_0111001 BinaryNumber_0101001 BinaryNumber_0101111 BinaryNumber_0011110 BinaryNumber_0000011 BinaryNumber_0000110 BinaryNumber_0011101
BinaryNumber_0111001 BinaryNumber_1001011 BinaryNumber_1000010 BinaryNumber_0101001 BinaryNumber_0010011 BinaryNumber_0001010 BinaryNumber_0100110 BinaryNumber_1000011 BinaryNumber_1010001 BinaryNumber_1011111
BinaryNumber_0011111 BinaryNumber_0010111 BinaryNumber_0111001 BinaryNumber_0110001 BinaryNumber_0001111 BinaryNumber_0101010 BinaryNumber_0100011 BinaryNumber_0111000 BinaryNumber_0011011 BinaryNumber_1011011
BinaryNumber_0010100 BinaryNumber_0101110 BinaryNumber_0101110 BinaryNumber_0101001 BinaryNumber_1010101 BinaryNumber_1010011 BinaryNumber_0100101 BinaryNumber_1001101 BinaryNumber_1100000 BinaryNumber_1011110
BinaryNumber_0110101 BinaryNumber_0101111 BinaryNumber_1001011 BinaryNumber_1010101 BinaryNumber_0011001 BinaryNumber_0001101 BinaryNumber_0000010 BinaryNumber_1011011 BinaryNumber_1011001 BinaryNumber_1001110
BinaryNumber_1011110 BinaryNumber_0001000 BinaryNumber_0000101 BinaryNumber_1100000 BinaryNumber_1001001 BinaryNumber_0101110 BinaryNumber_1010110 BinaryNumber_0100001 BinaryNumber_1011111 BinaryNumber_0010011
BinaryNumber_0011101 BinaryNumber_1100000 BinaryNumber_1001001 BinaryNumber_0000101 BinaryNumber_1001110 BinaryNumber_1010111 BinaryNumber_0111010 BinaryNumber_0010001 BinaryNumber_0101000 BinaryNumber_1001111
