GhostWhite LightCoral GreenYellow Beige Gold IndianRed DarkSeaGreen DodgerBlue Cyan SandyBrown
Lavender DarkSlateGray Brown SaddleBrown SteelBlue DarkViolet SteelBlue Azure White Feldspar
Linen BlueViolet Burlywood RosyBrown BlueViolet Gray PaleTurquoise Ivory PeachPuff LightGray
HotPink Maroon PowderBlue DarkOliveGreen OrangeRed MediumSlateBlue SkyBlue Red CadetBlue Honeydew
PaleGreen LightGreen Silver MediumOrchid MediumTurquoise RosyBrown Plum Tan GhostWhite Plum
Thistle PaleGreen Black Moccasin Lime SlateGray LightYellow Lime SteelBlue Feldspar
Aquamarine LightSalmon White Crimson DarkGreen DarkKhaki MediumSlateBlue Thistle Ivory SlateGray
RosyBrown DarkKhaki DarkSalmon LightSeaGreen MidnightBlue RoyalBlue Chocolate Teal LightGray BlanchedAlmond
Tan ForestGreen MediumSlateBlue MintCream DarkGreen Honeydew SkyBlue AntiqueWhite LawnGreen LemonChiffon
OliveDrab MediumSeaGreen LightSlateGray MediumVioletRed Teal Lavender Goldenrod Cornsilk SteelBlue PeachPuff
SlateBlue BlueViolet OliveDrab OrangeRed DodgerBlue DarkFuchsia Fuchsia BlueViolet Orange DarkKhaki
temperature__23c temperature__148c temperature__8c temperature__34c temperature__7c temperature__78c temperature__145c temperature__130c temperature__14c temperature__34c
temperature__10c temperature__88c temperature__84c temperature__21c temperature__31c temperature__120c temperature__54c temperature__122c temperature__129c temperature__116c
temperature__148c temperature__145c temperature__98c temperature__30c temperature__4c temperature__146c temperature__5c temperature__3c temperature__2c temperature__39c
temperature__71c temperature__108c temperature__5c temperature__90c temperature__141c temperature__138c temperature__7c temperature__47c temperature__50c temperature__129c
temperature__39c temperature__27c temperature__109c temperature__112c temperature__57c temperature__61c temperature__69c temperature__132c temperature__0c temperature__17c
temperature__11c temperature__51c temperature__139c temperature__7c temperature__34c temperature__12c temperature__39c temperature__4c temperature__142c temperature__34c
temperature__145c temperature__100c temperature__85c temperature__47c temperature__140c temperature__57c temperature__73c temperature__61c temperature__34c temperature__144c
temperature__79c temperature__118c temperature__54c temperature__131c temperature__137c temperature__31c temperature__85c temperature__30c temperature__126c temperature__65c
temperature__146c temperature__100c temperature__78c temperature__31c temperature__118c temperature__111c temperature__92c temperature__112c temperature__77c temperature__53c
temperature__36c temperature__3c temperature__42c temperature__122c temperature__41c temperature__54c temperature__147c temperature__47c temperature__78c temperature__42c
temperature__10c temperature__23c temperature__54c temperature__8c temperature__136c temperature__132c temperature__57c temperature__53c temperature__46c temperature__131c
SquareNumber_4900 SquareNumber_4 SquareNumber_144 SquareNumber_4225 SquareNumber_9604 SquareNumber_4 SquareNumber_5184 SquareNumber_361 SquareNumber_4356 SquareNumber_4
SquareNumber_9604 SquareNumber_2500 SquareNumber_5329 SquareNumber_484 SquareNumber_100 SquareNumber_441 SquareNumber_9 SquareNumber_1444 SquareNumber_3364 SquareNumber_3969
SquareNumber_2209 SquareNumber_5041 SquareNumber_576 SquareNumber_7056 SquareNumber_25 SquareNumber_9 SquareNumber_6400 SquareNumber_1600 SquareNumber_324 SquareNumber_2304
SquareNumber_961 SquareNumber_1089 SquareNumber_9 SquareNumber_900 SquareNumber_169 SquareNumber_5776 SquareNumber_7921 SquareNumber_6241 SquareNumber_2209 SquareNumber_784
SquareNumber_7396 SquareNumber_9025 SquareNumber_5329 SquareNumber_7056 SquareNumber_4 SquareNumber_144 SquareNumber_256 SquareNumber_5184 SquareNumber_576 SquareNumber_8281
SquareNumber_169 SquareNumber_961 SquareNumber_144 SquareNumber_7396 SquareNumber_8281 SquareNumber_8100 SquareNumber_8836 SquareNumber_16 SquareNumber_8836 SquareNumber_5329
