PapayaWhip FloralWhite Turquoise AntiqueWhite PaleGoldenrod White LightSteelBlue VioletRed DarkSlateBlue Maroon
Lime AntiqueWhite Coral MediumSlateBlue Pink Goldenrod IndianRed Purple DarkCyan DarkGray
Plum DarkSeaGreen DarkSlateBlue Yellow DarkSeaGreen Purple DarkTurquoise Orchid Aquamarine DarkSlateGray
LightSlateBlue DarkViolet White CadetBlue AntiqueWhite MediumTurquoise Coral Aquamarine DarkGoldenrod Plum
Gold DodgerBlue MintCream MediumVioletRed Red DarkOliveGreen Blue WhiteSmoke Navy LightBlue
MediumOrchid DarkSalmon AliceBlue Turquoise DarkOliveGreen RoyalBlue Fuchsia Indigo MediumBlue Cornsilk
LimeGreen SandyBrown RoyalBlue Firebrick Sienna Cyan Silver WhiteSmoke DarkFuchsia PaleVioletRed
Firebrick Lavender RosyBrown Firebrick Silver Purple SaddleBrown DeepPink ForestGreen Honeydew
DarkFuchsia Black DeepSkyBlue Beige NavajoWhite Brown DarkSlateGray Wheat DimGray Red
Green GreenYellow Crimson LightGreen LightSalmon Fuchsia CadetBlue LightSlateGray MediumSlateBlue VioletRed
Gainsboro PaleVioletRed AliceBlue WhiteSmoke DarkOrange DeepPink DarkKhaki Silver LightYellow DarkKhaki
Tonsils Tendons Ossicles Urethra Scrotum Gallbladder Pharynx Middleear Jejunum Teeth
Tongue Thalamus Rectum Eye Joints Jejunum Duodenum Cranialnerves Cochlea Duodenum
Placenta Penis Cornea Middleear Capillaries Pharynx Earlobe Ganglia Analcanal Cornea
Thalamus Tendons Trachea Trachea Tongue Bronchi Cecum Tongue Mouth Gallbladder
Ovaries Joints Liver Pons Teeth Trachea Analcanal Stomach Tongue Lymphaticvessel
Ileum Lungs Uterus Tonsils Uterus Kidneys Stomach Middleear Placenta Ovaries
Ligaments Capillaries Veins Spleen Bone  Ossicles Ileum Mesentery Cervix Esophagus
Clitoris skeleton Pancreas Lips Lips Uterus Innerear Pancreas Scrotum Tonsils
Tongue Bone  Stomach Analcanal Veins Joints Muscle Heart Tastebuds Iris
Analcanal Ovaries Bladder skeleton Vulva Tastebuds Smallintestine Ciliarybody Capillaries Ovaries
Spleen Tongue Jejunum Ligaments Vulva Outerear Smallintestine Thalamus Ear Lens
temperature__84c temperature__12c temperature__111c temperature__5c temperature__145c temperature__44c temperature__50c temperature__56c temperature__35c temperature__30c
temperature__92c temperature__49c temperature__39c temperature__57c temperature__100c temperature__36c temperature__31c temperature__79c temperature__146c temperature__54c
temperature__33c temperature__137c temperature__137c temperature__58c temperature__147c temperature__17c temperature__79c temperature__64c temperature__130c temperature__145c
temperature__84c temperature__123c temperature__36c temperature__71c temperature__7c temperature__68c temperature__47c temperature__82c temperature__7c temperature__139c
temperature__145c temperature__120c temperature__79c temperature__130c temperature__71c temperature__140c temperature__98c temperature__73c temperature__26c temperature__26c
temperature__131c temperature__16c temperature__136c temperature__0c temperature__137c temperature__49c temperature__68c temperature__5c temperature__49c temperature__78c
temperature__22c temperature__17c temperature__129c temperature__17c temperature__118c temperature__8c temperature__6c temperature__87c temperature__108c temperature__142c
temperature__26c temperature__85c temperature__10c temperature__137c temperature__40c temperature__136c temperature__86c temperature__31c temperature__91c temperature__8c
temperature__84c temperature__2c temperature__51c temperature__61c temperature__58c temperature__52c temperature__137c temperature__8c temperature__65c temperature__21c
temperature__140c temperature__6c temperature__123c temperature__33c temperature__22c temperature__146c temperature__145c temperature__7c temperature__21c temperature__49c
temperature__126c temperature__65c temperature__111c temperature__108c temperature__73c temperature__17c temperature__12c temperature__124c temperature__92c temperature__74c
10:23 15:25 14:21 19:38 13:43 10:32 23:10 14:13 14:58 11:13
13:13 19:26 21:28 22:44 20:46 22:13 22:38 18:52 18:52 20:24
14:38 11:27 10:27 18:55 10:10 18:18 19:35 17:16 19:55 20:41
