Goldenrod LightSkyBlue PaleTurquoise Silver LightGreen Cyan DarkSalmon LightSteelBlue SeaGreen DarkRed
SaddleBrown DarkOrchid MidnightBlue PaleGoldenrod LightSlateBlue DarkGray MediumVioletRed BlanchedAlmond LawnGreen WhiteSmoke
MintCream SandyBrown Fuchsia LightGray Maroon Coral DarkGoldenrod Orange PapayaWhip BlanchedAlmond
AntiqueWhite DarkGray Black Black Crimson Lime NavajoWhite SkyBlue MintCream DarkSalmon
AntiqueWhite PeachPuff LightYellow DarkSlateGray MidnightBlue Plum PapayaWhip Tan MediumPurple Lime
VioletRed Indigo LightPink Yellow Orchid ForestGreen CornflowerBlue BlanchedAlmond Feldspar PaleTurquoise
Black Beige Gray Orange BlueViolet NavajoWhite GreenYellow Fuchsia Violet LightCyan
Maroon CadetBlue OliveDrab Chocolate Snow DarkGreen OrangeRed SkyBlue MistyRose DarkSlateGray
Green Yellow Chocolate LightSlateGray Indigo Pink LemonChiffon LightSeaGreen Burlywood Peru
PaleGoldenrod Cyan Burlywood DarkTurquoise LemonChiffon SeaGreen MediumTurquoise DarkTurquoise DeepPink Teal
Violet LightSalmon MediumAquamarine DarkSlateBlue SlateBlue CadetBlue MediumSpringGreen LightSkyBlue LightCyan Crimson
BinaryNumber_0001101 BinaryNumber_1010001 BinaryNumber_0100111 BinaryNumber_0101001 BinaryNumber_1001111 BinaryNumber_0001110 BinaryNumber_0000111 BinaryNumber_0110111 BinaryNumber_0101100 BinaryNumber_0001000
BinaryNumber_0011010 BinaryNumber_0011011 BinaryNumber_1000001 BinaryNumber_0000101 BinaryNumber_0010000 BinaryNumber_1010101 BinaryNumber_0100000 BinaryNumber_1000111 BinaryNumber_1010000 BinaryNumber_0000110
BinaryNumber_0001011 BinaryNumber_1100011 BinaryNumber_0000011 BinaryNumber_0000111 BinaryNumber_0011000 BinaryNumber_0110011 BinaryNumber_1001011 BinaryNumber_0011101 BinaryNumber_1010010 BinaryNumber_0100100
BinaryNumber_0111100 BinaryNumber_1001110 BinaryNumber_0100101 BinaryNumber_0111001 BinaryNumber_0001011 BinaryNumber_0000010 BinaryNumber_1010001 BinaryNumber_0001100 BinaryNumber_1001001 BinaryNumber_1011010
BinaryNumber_0100111 BinaryNumber_0110000 BinaryNumber_1000110 BinaryNumber_0101001 BinaryNumber_1010001 BinaryNumber_1000010 BinaryNumber_1011110 BinaryNumber_0010100 BinaryNumber_1010110 BinaryNumber_0001000
BinaryNumber_1010000 BinaryNumber_0111000 BinaryNumber_1011101 BinaryNumber_0111111 BinaryNumber_0111101 BinaryNumber_0110100 BinaryNumber_0111110 BinaryNumber_0100000 BinaryNumber_0111111 BinaryNumber_0000000
BinaryNumber_1011010 BinaryNumber_1000001 BinaryNumber_0000111 BinaryNumber_0110100 BinaryNumber_0001100 BinaryNumber_1000100 BinaryNumber_1011000 BinaryNumber_1011010 BinaryNumber_0000000 BinaryNumber_0110000
BinaryNumber_1100010 BinaryNumber_1011000 BinaryNumber_1000011 BinaryNumber_1011000 BinaryNumber_0001101 BinaryNumber_0000100 BinaryNumber_0110010 BinaryNumber_0100001 BinaryNumber_0111101 BinaryNumber_1010100
BinaryNumber_0001100 BinaryNumber_0001111 BinaryNumber_0010101 BinaryNumber_1011000 BinaryNumber_0111111 BinaryNumber_0001010 BinaryNumber_0011011 BinaryNumber_1001101 BinaryNumber_1011110 BinaryNumber_0100001
BinaryNumber_0100100 BinaryNumber_1011101 BinaryNumber_0001100 BinaryNumber_0001111 BinaryNumber_1001100 BinaryNumber_1000000 BinaryNumber_0110011 BinaryNumber_1000010 BinaryNumber_0100111 BinaryNumber_0011101
