SaddleBrown DeepPink Seashell Firebrick MediumTurquoise Peru Orange Khaki Feldspar DarkOrchid
Lime PapayaWhip SaddleBrown Green SandyBrown Chartreuse BlanchedAlmond DarkSeaGreen Chartreuse MediumBlue
LavenderBlush Gray LightGoldenrod ForestGreen PowderBlue OldLace Turquoise Coral Green Violet
LightSteelBlue LightSalmon DodgerBlue SaddleBrown LightSkyBlue DarkSeaGreen MintCream OldLace DarkSalmon Indigo
Azure Salmon BlanchedAlmond MediumSpringGreen Burlywood Coral Gold DimGray Silver Gainsboro
PaleVioletRed Teal LemonChiffon SandyBrown Purple Thistle MidnightBlue Navy Wheat PapayaWhip
VioletRed LightBlue DarkFuchsia Black DarkOrange Black DarkTurquoise Blue MediumTurquoise Cyan
Moccasin Goldenrod Gainsboro DarkBlue Indigo MediumOrchid DodgerBlue LightSeaGreen Beige Ivory
LightYellow WhiteSmoke AliceBlue LemonChiffon DarkTurquoise Ivory Cornsilk Seashell Crimson MediumTurquoise
MidnightBlue Crimson GreenYellow Thistle AntiqueWhite DarkOrchid LightYellow Tan GhostWhite Black
Coral DarkSlateBlue MediumPurple LightSalmon DarkRed PapayaWhip Gold Firebrick CadetBlue DarkGray
BinaryNumber_0011100 BinaryNumber_1001100 BinaryNumber_1010011 BinaryNumber_0100101 BinaryNumber_0111000 BinaryNumber_0000011 BinaryNumber_1011011 BinaryNumber_1001101 BinaryNumber_0100010 BinaryNumber_0110101
BinaryNumber_1001110 BinaryNumber_0100010 BinaryNumber_0010100 BinaryNumber_0011101 BinaryNumber_1001101 BinaryNumber_1000110 BinaryNumber_0111101 BinaryNumber_0000001 BinaryNumber_1010110 BinaryNumber_0110001
BinaryNumber_0110101 BinaryNumber_0111111 BinaryNumber_0110010 BinaryNumber_0000010 BinaryNumber_0011011 BinaryNumber_1001101 BinaryNumber_0101001 BinaryNumber_0111100 BinaryNumber_1011110 BinaryNumber_0011100
BinaryNumber_0001100 BinaryNumber_0010010 BinaryNumber_1010101 BinaryNumber_1011101 BinaryNumber_0110100 BinaryNumber_1000110 BinaryNumber_1010110 BinaryNumber_0001101 BinaryNumber_0000010 BinaryNumber_0010101
BinaryNumber_0111100 BinaryNumber_1010011 BinaryNumber_0010010 BinaryNumber_1011001 BinaryNumber_0111011 BinaryNumber_0011111 BinaryNumber_0001101 BinaryNumber_0010011 BinaryNumber_0000001 BinaryNumber_0010010
BinaryNumber_0010110 BinaryNumber_1100011 BinaryNumber_1010111 BinaryNumber_0100111 BinaryNumber_0101000 BinaryNumber_0010010 BinaryNumber_1010101 BinaryNumber_0101000 BinaryNumber_0100000 BinaryNumber_0110010
BinaryNumber_0011010 BinaryNumber_1011101 BinaryNumber_0101000 BinaryNumber_0111100 BinaryNumber_1011010 BinaryNumber_0111111 BinaryNumber_1100000 BinaryNumber_0111111 BinaryNumber_0000001 BinaryNumber_1011001
BinaryNumber_0001000 BinaryNumber_1000111 BinaryNumber_1010100 BinaryNumber_1000100 BinaryNumber_0111011 BinaryNumber_0101000 BinaryNumber_1100010 BinaryNumber_0110001 BinaryNumber_0100010 BinaryNumber_0111100
BinaryNumber_1001000 BinaryNumber_0111011 BinaryNumber_0111000 BinaryNumber_1100010 BinaryNumber_0001101 BinaryNumber_0010001 BinaryNumber_0111100 BinaryNumber_1011100 BinaryNumber_1000001 BinaryNumber_1010101
