DarkViolet Crimson DarkGreen MistyRose Purple BlanchedAlmond HotPink LightSlateBlue Gray Orchid
DarkBlue AntiqueWhite DarkSlateBlue Firebrick Crimson CadetBlue Gray MediumTurquoise Lavender MistyRose
SlateGray Black Yellow DarkOrange LightYellow White LimeGreen Black LightCoral PeachPuff
AliceBlue LightSlateGray MediumPurple MidnightBlue Feldspar LightSkyBlue GhostWhite LightGray DarkGray DarkOrange
NavajoWhite Feldspar DarkKhaki MediumBlue DodgerBlue Gainsboro SaddleBrown SaddleBrown Linen LightPink
HotPink Seashell DarkCyan PapayaWhip PeachPuff Tomato VioletRed LightCyan Indigo LightPink
Teal SandyBrown MediumTurquoise Brown SkyBlue PowderBlue Tan LightSteelBlue Brown Teal
LawnGreen Lavender AntiqueWhite DarkGray Lime DarkSlateGray Lavender DeepPink HotPink Fuchsia
Moccasin MediumSlateBlue LightCyan Chartreuse AntiqueWhite Lime Orange DarkKhaki SaddleBrown Bisque
Salmon Bisque LightGreen LightGoldenrod DarkSlateGray DarkViolet PowderBlue MediumSeaGreen LightGray DarkOliveGreen
MistyRose Tomato SeaGreen SandyBrown CornflowerBlue DarkSlateBlue Tan DarkRed MediumBlue PaleGreen
SquareNumber_196 SquareNumber_784 SquareNumber_5776 SquareNumber_169 SquareNumber_729 SquareNumber_2500 SquareNumber_1764 SquareNumber_4624 SquareNumber_7056 SquareNumber_7921
SquareNumber_3600 SquareNumber_16 SquareNumber_25 SquareNumber_3025 SquareNumber_1764 SquareNumber_841 SquareNumber_6084 SquareNumber_6561 SquareNumber_841 SquareNumber_2025
SquareNumber_8649 SquareNumber_5625 SquareNumber_1296 SquareNumber_1024 SquareNumber_5184 SquareNumber_2025 SquareNumber_4225 SquareNumber_3844 SquareNumber_9604 SquareNumber_2916
SquareNumber_625 SquareNumber_7744 SquareNumber_5476 SquareNumber_9801 SquareNumber_3844 SquareNumber_1936 SquareNumber_5184 SquareNumber_5929 SquareNumber_36 SquareNumber_64
SquareNumber_2500 SquareNumber_8281 SquareNumber_4624 SquareNumber_7744 SquareNumber_5625 SquareNumber_4 SquareNumber_484 SquareNumber_3136 SquareNumber_576 SquareNumber_5625
SquareNumber_961 SquareNumber_7921 SquareNumber_441 SquareNumber_9801 SquareNumber_8100 SquareNumber_4225 SquareNumber_4225 SquareNumber_2401 SquareNumber_400 SquareNumber_3025
SquareNumber_256 SquareNumber_3600 SquareNumber_441 SquareNumber_4096 SquareNumber_6084 SquareNumber_64 SquareNumber_2304 SquareNumber_4356 SquareNumber_6400 SquareNumber_400
SquareNumber_784 SquareNumber_4624 SquareNumber_3600 SquareNumber_2209 SquareNumber_3721 SquareNumber_6084 SquareNumber_3721 SquareNumber_484 SquareNumber_576 SquareNumber_7569
SquareNumber_3481 SquareNumber_9604 SquareNumber_1225 SquareNumber_2500 SquareNumber_529 SquareNumber_1225 SquareNumber_9409 SquareNumber_5776 SquareNumber_225 SquareNumber_36
SquareNumber_2500 SquareNumber_225 SquareNumber_2025 SquareNumber_7921 SquareNumber_7744 SquareNumber_1089 SquareNumber_7921 SquareNumber_1225 SquareNumber_2704 SquareNumber_8649
SquareNumber_6724 SquareNumber_3025 SquareNumber_2116 SquareNumber_361 SquareNumber_6724 SquareNumber_676 SquareNumber_64 SquareNumber_1521 SquareNumber_1225 SquareNumber_4489
temperature__68c temperature__142c temperature__68c temperature__148c temperature__118c temperature__95c temperature__16c temperature__132c temperature__64c temperature__36c
temperature__132c temperature__46c temperature__77c temperature__51c temperature__98c temperature__34c temperature__17c temperature__68c temperature__129c temperature__53c
temperature__16c temperature__10c temperature__108c temperature__146c temperature__54c temperature__85c temperature__112c temperature__82c temperature__47c temperature__46c
temperature__56c temperature__33c temperature__137c temperature__16c temperature__120c temperature__2c temperature__42c temperature__16c temperature__116c temperature__65c
temperature__53c temperature__40c temperature__106c temperature__68c temperature__0c temperature__130c temperature__129c temperature__28c temperature__87c temperature__79c
temperature__144c temperature__116c temperature__87c temperature__21c temperature__77c temperature__35c temperature__122c temperature__11c temperature__8c temperature__78c
