DeepPink Yellow MediumPurple DodgerBlue DarkKhaki MediumSlateBlue GhostWhite PaleVioletRed SkyBlue LightGoldenrodYellow
Cyan SaddleBrown Indigo Orange SkyBlue AntiqueWhite DimGray Thistle RosyBrown LightCoral
Tomato Olive Chocolate MediumSlateBlue Indigo Lavender Thistle DarkKhaki LightGoldenrodYellow Fuchsia
LightSalmon LightGreen CadetBlue Chocolate Honeydew Ivory Wheat Pink SaddleBrown Tan
DarkFuchsia Teal DarkOliveGreen Tan DarkSeaGreen LightSalmon PowderBlue PaleGreen DeepSkyBlue Snow
Gainsboro Bisque LimeGreen DarkGray LightGray SkyBlue LightYellow DarkGreen SlateGray Orange
MediumSpringGreen FloralWhite White Crimson LightSeaGreen SkyBlue Peru Coral MediumTurquoise SaddleBrown
LightSeaGreen PapayaWhip DarkKhaki LightGray Khaki LightPink LawnGreen DarkOrange Teal Thistle
DarkRed Cyan Cornsilk LightGray DarkTurquoise White LimeGreen Orchid Green Goldenrod
PaleTurquoise Wheat LightBlue PapayaWhip Indigo Gray DarkOrange MediumBlue ForestGreen PapayaWhip
AliceBlue MediumAquamarine MistyRose Fuchsia SkyBlue LightSkyBlue LimeGreen PeachPuff GhostWhite LightSteelBlue
racism detective assault punishment crime assault lift government hijack punishment
spy offense lift cases homicide slayings law sentence muggings noir
incarceration bloodshed violence jurisdiction punitive structuralism illegal story shootings mob
legal political sentence bloodshed cybercrime accident dark rape murders evidence
arrest kill tort unsolved prison jurisdiction supernatural misdemeanour criminality legal
massacre terrorism lift trafficking unsolved gang homicide serial prison poverty
gangster kill safety trafficking corrupt highjack mystery punishment corruption massacre
offenses shootings drama jurisdiction corruption police blackmail barratry story suspense
cases punishment imprisonment lift trafficking government death investigation brutality misdemeanour
law barratry gangs misdemeanour mob drama tort offenders shoplift political
poison crime prostitution terrorism robbery punishment human criminal serial justice
BinaryNumber_1010000 BinaryNumber_0000001 BinaryNumber_1000000 BinaryNumber_0101011 BinaryNumber_1000101 BinaryNumber_0110101 BinaryNumber_1001010 BinaryNumber_1100010 BinaryNumber_1000110 BinaryNumber_0010101
BinaryNumber_0001111 BinaryNumber_1000011 BinaryNumber_1000011 BinaryNumber_0111110 BinaryNumber_0010101 BinaryNumber_0001111 BinaryNumber_0110110 BinaryNumber_0110011 BinaryNumber_1011100 BinaryNumber_0100100
