DeepSkyBlue DarkKhaki MediumSlateBlue Bisque WhiteSmoke Lavender LightSeaGreen CornflowerBlue DeepPink Orange
LightGoldenrodYellow PaleTurquoise Blue LemonChiffon IndianRed LightGoldenrodYellow Aquamarine RoyalBlue DarkSalmon BlueViolet
CadetBlue Moccasin DimGray LightSteelBlue MistyRose FloralWhite IndianRed AntiqueWhite DodgerBlue PeachPuff
SlateGray NavajoWhite DarkFuchsia Burlywood LightSlateGray GhostWhite MediumSpringGreen LightYellow LightSlateBlue DarkOrange
DarkSlateGray DarkViolet Moccasin Snow SlateGray SlateBlue PapayaWhip PeachPuff Cyan LightGoldenrod
Teal MediumSlateBlue Lime DarkSeaGreen Firebrick Cornsilk AliceBlue AntiqueWhite Teal BlanchedAlmond
LightPink MediumAquamarine RosyBrown LimeGreen DarkOrange MediumTurquoise FloralWhite Gainsboro SeaGreen LightYellow
MediumVioletRed MediumVioletRed Plum MediumTurquoise Gray Salmon DarkOliveGreen Ivory DarkCyan Feldspar
LightSalmon LightSlateBlue Cornsilk DarkOrange DarkSalmon DarkTurquoise FloralWhite LightBlue DarkGoldenrod Black
FloralWhite SkyBlue GreenYellow PaleVioletRed PapayaWhip SkyBlue GhostWhite SteelBlue LightCyan LightPink
OliveDrab MediumSpringGreen Tomato LightGoldenrodYellow DarkTurquoise Orange DarkOrange CadetBlue Khaki CadetBlue
temperature__92c temperature__120c temperature__124c temperature__144c temperature__129c temperature__23c temperature__109c temperature__136c temperature__3c temperature__137c
temperature__53c temperature__74c temperature__124c temperature__136c temperature__82c temperature__136c temperature__64c temperature__84c temperature__10c temperature__3c
temperature__132c temperature__42c temperature__51c temperature__85c temperature__4c temperature__90c temperature__109c temperature__145c temperature__129c temperature__54c
temperature__58c temperature__49c temperature__108c temperature__46c temperature__14c temperature__57c temperature__132c temperature__26c temperature__146c temperature__109c
temperature__105c temperature__136c temperature__23c temperature__106c temperature__40c temperature__14c temperature__5c temperature__7c temperature__92c temperature__59c
temperature__138c temperature__22c temperature__5c temperature__91c temperature__100c temperature__28c temperature__26c temperature__33c temperature__17c temperature__35c
temperature__74c temperature__0c temperature__28c temperature__3c temperature__22c temperature__59c temperature__12c temperature__56c temperature__145c temperature__82c
