SlateBlue Blue Feldspar Tomato DarkCyan Purple Olive MediumSpringGreen LawnGreen IndianRed
PaleGreen Pink PowderBlue Yellow Bisque DimGray LightPink Crimson Fuchsia VioletRed
PaleGoldenrod OliveDrab Chartreuse OliveDrab BlueViolet Gold Blue SkyBlue Red LightSalmon
DarkRed Bisque Cyan MidnightBlue CornflowerBlue SkyBlue Tomato AliceBlue DarkSalmon Gray
LightGreen Aquamarine LightCoral VioletRed Yellow Silver MediumTurquoise Peru DarkViolet Aquamarine
VioletRed DodgerBlue SeaGreen Coral DarkViolet Linen VioletRed LightCyan PeachPuff MediumVioletRed
SaddleBrown LightSalmon LightCyan Crimson DarkSeaGreen Wheat BlueViolet GhostWhite SandyBrown NavajoWhite
Turquoise Honeydew Brown Goldenrod Gold DarkKhaki LightSkyBlue IndianRed DimGray Silver
PaleVioletRed Indigo Cornsilk Aquamarine DarkViolet Olive Fuchsia Feldspar PeachPuff SaddleBrown
DeepSkyBlue RosyBrown LightBlue Wheat OrangeRed AntiqueWhite DarkCyan MediumAquamarine DarkSlateBlue Turquoise
LightBlue Crimson SandyBrown Gainsboro Azure MediumPurple Seashell Gray LightCoral MediumAquamarine
BinaryNumber_1010100 BinaryNumber_1011010 BinaryNumber_0000010 BinaryNumber_1011000 BinaryNumber_1100000 BinaryNumber_0011110 BinaryNumber_0001011 BinaryNumber_0110011 BinaryNumber_0101010 BinaryNumber_1100000
BinaryNumber_1000110 BinaryNumber_0100011 BinaryNumber_0111011 BinaryNumber_0000100 BinaryNumber_0010001 BinaryNumber_0111100 BinaryNumber_1100011 BinaryNumber_0111011 BinaryNumber_1100001 BinaryNumber_1001111
BinaryNumber_0011110 BinaryNumber_1011001 BinaryNumber_0000101 BinaryNumber_0010011 BinaryNumber_1010010 BinaryNumber_1000101 BinaryNumber_0100010 BinaryNumber_1010000 BinaryNumber_1010101 BinaryNumber_1010111
BinaryNumber_1000101 BinaryNumber_0010011 BinaryNumber_1000111 BinaryNumber_0011000 BinaryNumber_0011010 BinaryNumber_1011111 BinaryNumber_0100010 BinaryNumber_1001101 BinaryNumber_1010101 BinaryNumber_1011111
BinaryNumber_0111110 BinaryNumber_0010101 BinaryNumber_1000010 BinaryNumber_0010001 BinaryNumber_0111110 BinaryNumber_0011001 BinaryNumber_0101101 BinaryNumber_0100011 BinaryNumber_0101011 BinaryNumber_0010101
BinaryNumber_1000100 BinaryNumber_0110100 BinaryNumber_0110000 BinaryNumber_1001101 BinaryNumber_0001101 BinaryNumber_0100001 BinaryNumber_0110101 BinaryNumber_1000011 BinaryNumber_1010011 BinaryNumber_1011000
BinaryNumber_0101101 BinaryNumber_0111110 BinaryNumber_0010000 BinaryNumber_0000001 BinaryNumber_0100010 BinaryNumber_0101000 BinaryNumber_0110010 BinaryNumber_0100111 BinaryNumber_1001110 BinaryNumber_0001100
BinaryNumber_1011010 BinaryNumber_0001001 BinaryNumber_0011001 BinaryNumber_0100011 BinaryNumber_0010010 BinaryNumber_0011010 BinaryNumber_0111000 BinaryNumber_1010100 BinaryNumber_1100001 BinaryNumber_1010110
