Fuchsia DarkRed Ivory Violet LightSkyBlue Snow DeepPink PapayaWhip SandyBrown LightGray
Brown VioletRed Orchid SteelBlue Yellow DarkSalmon Beige LightGray Tan MidnightBlue
VioletRed Cornsilk Fuchsia LightSlateGray AntiqueWhite SteelBlue MidnightBlue Wheat DeepSkyBlue Maroon
Yellow DarkBlue CadetBlue LawnGreen Aquamarine IndianRed OldLace PaleGreen MidnightBlue Orange
Seashell Burlywood Khaki Crimson Lavender BlueViolet Red LightGoldenrodYellow Gray Salmon
DeepSkyBlue Chocolate Yellow DarkSlateBlue CornflowerBlue Green MintCream AliceBlue Turquoise Orchid
LightSkyBlue DodgerBlue LemonChiffon DeepPink Tan DarkOrchid MidnightBlue DarkCyan LightYellow DarkBlue
DarkSeaGreen Lavender DarkGoldenrod Chocolate LimeGreen LightSteelBlue LavenderBlush LavenderBlush Brown BlanchedAlmond
DarkBlue LightCoral Teal MediumVioletRed DeepPink Firebrick Pink Wheat MediumAquamarine DarkKhaki
OldLace OrangeRed Wheat IndianRed Brown PaleVioletRed Moccasin GhostWhite DarkOliveGreen Black
GhostWhite LightSalmon LightSeaGreen LightGoldenrod Tan PapayaWhip Honeydew Maroon VioletRed LightGoldenrod
CubeNumber_97336 CubeNumber_68921 CubeNumber_6859 CubeNumber_357911 CubeNumber_74088 CubeNumber_857375 CubeNumber_9261 CubeNumber_125000 CubeNumber_343 CubeNumber_456533
CubeNumber_10648 CubeNumber_59319 CubeNumber_54872 CubeNumber_389017 CubeNumber_148877 CubeNumber_456533 CubeNumber_328509 CubeNumber_27000 CubeNumber_1331 CubeNumber_19683
CubeNumber_8 CubeNumber_103823 CubeNumber_343000 CubeNumber_3375 CubeNumber_571787 CubeNumber_132651 CubeNumber_205379 CubeNumber_79507 CubeNumber_262144 CubeNumber_238328
CubeNumber_328509 CubeNumber_74088 CubeNumber_42875 CubeNumber_474552 CubeNumber_10648 CubeNumber_1331 CubeNumber_64000 CubeNumber_658503 CubeNumber_287496 CubeNumber_125
CubeNumber_79507 CubeNumber_8 CubeNumber_421875 CubeNumber_389017 CubeNumber_274625 CubeNumber_389017 CubeNumber_27 CubeNumber_474552 CubeNumber_195112 CubeNumber_314432
CubeNumber_531441 CubeNumber_140608 CubeNumber_1331 CubeNumber_2744 CubeNumber_157464 CubeNumber_19683 CubeNumber_32768 CubeNumber_68921 CubeNumber_125 CubeNumber_729
CubeNumber_753571 CubeNumber_389017 CubeNumber_681472 CubeNumber_27000 CubeNumber_125 CubeNumber_29791 CubeNumber_50653 CubeNumber_343000 CubeNumber_373248 CubeNumber_17576
CubeNumber_27 CubeNumber_343 CubeNumber_29791 CubeNumber_226981 CubeNumber_10648 CubeNumber_830584 CubeNumber_29791 CubeNumber_912673 CubeNumber_110592 CubeNumber_474552
CubeNumber_262144 CubeNumber_117649 CubeNumber_68921 CubeNumber_195112 CubeNumber_24389 CubeNumber_512 CubeNumber_32768 CubeNumber_592704 CubeNumber_681472 CubeNumber_753571
CubeNumber_4096 CubeNumber_729 CubeNumber_125 CubeNumber_389017 CubeNumber_912673 CubeNumber_857375 CubeNumber_35937 CubeNumber_74088 CubeNumber_59319 CubeNumber_125
CubeNumber_753571 CubeNumber_3375 CubeNumber_39304 CubeNumber_4096 CubeNumber_4096 CubeNumber_551368 CubeNumber_592704 CubeNumber_5832 CubeNumber_166375 CubeNumber_287496
BinaryNumber_0100100 BinaryNumber_0101111 BinaryNumber_0110001 BinaryNumber_0001010 BinaryNumber_0101101 BinaryNumber_1000010 BinaryNumber_1100010 BinaryNumber_1000010 BinaryNumber_0010000 BinaryNumber_0000110
BinaryNumber_1010111 BinaryNumber_1000100 BinaryNumber_1010011 BinaryNumber_1001110 BinaryNumber_0011101 BinaryNumber_1010011 BinaryNumber_0101100 BinaryNumber_1011101 BinaryNumber_0110101 BinaryNumber_0101001
BinaryNumber_0010001 BinaryNumber_0110110 BinaryNumber_0110100 BinaryNumber_0010010 BinaryNumber_0010101 BinaryNumber_0011111 BinaryNumber_1011100 BinaryNumber_0001001 BinaryNumber_0000100 BinaryNumber_0111110
BinaryNumber_0111000 BinaryNumber_1011100 BinaryNumber_0001101 BinaryNumber_0010001 BinaryNumber_0100000 BinaryNumber_0010101 BinaryNumber_0001011 BinaryNumber_1010111 BinaryNumber_1011000 BinaryNumber_0011111
BinaryNumber_1001101 BinaryNumber_1010100 BinaryNumber_0100110 BinaryNumber_0001110 BinaryNumber_0100111 BinaryNumber_0111001 BinaryNumber_1001010 BinaryNumber_0000110 BinaryNumber_0111110 BinaryNumber_0000111
