PaleVioletRed LightPink GhostWhite DeepPink SteelBlue Cornsilk Olive Chocolate LightSlateGray Fuchsia
Sienna Gainsboro MistyRose Plum LightGoldenrodYellow Pink LightCoral Gainsboro FloralWhite VioletRed
RosyBrown DarkKhaki LightYellow MediumBlue DodgerBlue Black Turquoise DarkTurquoise DarkCyan AntiqueWhite
LightSeaGreen IndianRed Linen ForestGreen MediumSlateBlue OliveDrab SandyBrown Orange DarkOrchid HotPink
Gainsboro Bisque PaleVioletRed DimGray LightSteelBlue MintCream Crimson Moccasin DarkBlue Salmon
DarkBlue OldLace Gray IndianRed Chartreuse MediumVioletRed DarkGreen SlateGray ForestGreen LightGray
MediumOrchid Gold PaleGreen DarkSeaGreen DarkFuchsia SkyBlue AliceBlue Coral Crimson Gold
LightSalmon DarkSlateGray Olive PaleGoldenrod Yellow DarkSlateGray Lime LightCoral LightCoral OrangeRed
Maroon SeaGreen LightGray DarkGreen DeepSkyBlue DarkGreen LightPink Firebrick GreenYellow MediumPurple
NavajoWhite Silver Plum White Violet Crimson Aquamarine MediumSlateBlue MediumPurple Ivory
SandyBrown SaddleBrown SlateBlue DarkBlue DarkCyan LimeGreen BlanchedAlmond Gainsboro DarkTurquoise WhiteSmoke
CubeNumber_2197 CubeNumber_9261 CubeNumber_17576 CubeNumber_238328 CubeNumber_912673 CubeNumber_64000 CubeNumber_27 CubeNumber_456533 CubeNumber_357911 CubeNumber_15625
CubeNumber_32768 CubeNumber_21952 CubeNumber_12167 CubeNumber_12167 CubeNumber_884736 CubeNumber_729000 CubeNumber_39304 CubeNumber_729 CubeNumber_12167 CubeNumber_250047
CubeNumber_941192 CubeNumber_125 CubeNumber_512000 CubeNumber_27000 CubeNumber_512 CubeNumber_79507 CubeNumber_328509 CubeNumber_614125 CubeNumber_74088 CubeNumber_64000
CubeNumber_175616 CubeNumber_166375 CubeNumber_32768 CubeNumber_125 CubeNumber_389017 CubeNumber_6859 CubeNumber_592704 CubeNumber_32768 CubeNumber_512000 CubeNumber_32768
CubeNumber_830584 CubeNumber_2744 CubeNumber_328509 CubeNumber_512 CubeNumber_91125 CubeNumber_216000 CubeNumber_421875 CubeNumber_1000 CubeNumber_79507 CubeNumber_46656
CubeNumber_42875 CubeNumber_493039 CubeNumber_2197 CubeNumber_438976 CubeNumber_9261 CubeNumber_21952 CubeNumber_830584 CubeNumber_551368 CubeNumber_658503 CubeNumber_287496
CubeNumber_21952 CubeNumber_373248 CubeNumber_314432 CubeNumber_27000 CubeNumber_79507 CubeNumber_15625 CubeNumber_24389 CubeNumber_373248 CubeNumber_12167 CubeNumber_205379
CubeNumber_13824 CubeNumber_314432 CubeNumber_46656 CubeNumber_753571 CubeNumber_729 CubeNumber_157464 CubeNumber_6859 CubeNumber_512000 CubeNumber_64000 CubeNumber_19683
CubeNumber_389017 CubeNumber_314432 CubeNumber_46656 CubeNumber_9261 CubeNumber_493039 CubeNumber_343 CubeNumber_15625 CubeNumber_8 CubeNumber_110592 CubeNumber_592704
CubeNumber_226981 CubeNumber_166375 CubeNumber_132651 CubeNumber_804357 CubeNumber_343000 CubeNumber_456533 CubeNumber_157464 CubeNumber_250047 CubeNumber_287496 CubeNumber_79507
CubeNumber_884736 CubeNumber_804357 CubeNumber_2197 CubeNumber_8 CubeNumber_226981 CubeNumber_474552 CubeNumber_314432 CubeNumber_50653 CubeNumber_13824 CubeNumber_3375
blue innocent expensive wide-eyed nutty ugliest vivacious bored powerful hurt
mushy nice gleaming super distinct courageous different dark fierce dangerous
blushing thoughtless inquisitive lucky grotesque embarrassed lively innocent helpful better
worried envious successful lively fragile clean obnoxious repulsive brainy depressed
black plain confused naughty horrible beautiful uninterested attractive doubtful troubled
