OliveDrab Maroon CadetBlue Plum LightYellow DeepPink SeaGreen BlanchedAlmond DarkViolet RoyalBlue
SeaGreen Seashell SlateGray Brown SpringGreen Burlywood Wheat MediumPurple Silver LightYellow
Fuchsia ForestGreen DarkSlateBlue Peru Maroon Crimson Bisque FloralWhite Seashell DeepSkyBlue
Ivory MediumSlateBlue SeaGreen PaleGreen DarkBlue PaleGreen DarkOrchid DarkGreen LightSlateGray MediumSpringGreen
Moccasin Crimson PaleVioletRed LightYellow PapayaWhip LightSteelBlue MediumPurple PaleTurquoise SlateGray SandyBrown
Teal SaddleBrown DarkKhaki RosyBrown PeachPuff Peru PaleVioletRed MediumVioletRed MediumBlue White
LightSteelBlue Purple Maroon DeepPink Azure DarkViolet LightSalmon DarkSlateGray Goldenrod LightGreen
VioletRed Crimson Brown SkyBlue Plum CornflowerBlue RoyalBlue DarkViolet SaddleBrown MintCream
Yellow RoyalBlue MediumOrchid DarkSalmon Olive DarkViolet LightBlue DarkKhaki Orange LightGreen
SkyBlue Purple LemonChiffon DarkGoldenrod DarkGreen DimGray MediumTurquoise DarkCyan Lavender OldLace
SeaGreen PowderBlue DarkSeaGreen LightGoldenrod DeepPink Ivory Snow SlateGray Ivory White
temperature__131c temperature__126c temperature__129c temperature__90c temperature__105c temperature__17c temperature__24c temperature__140c temperature__52c temperature__21c
temperature__112c temperature__36c temperature__30c temperature__24c temperature__147c temperature__26c temperature__22c temperature__69c temperature__126c temperature__77c
temperature__142c temperature__74c temperature__88c temperature__141c temperature__22c temperature__73c temperature__26c temperature__52c temperature__59c temperature__4c
temperature__27c temperature__123c temperature__49c temperature__35c temperature__124c temperature__44c temperature__70c temperature__120c temperature__36c temperature__24c
temperature__86c temperature__14c temperature__141c temperature__87c temperature__82c temperature__56c temperature__35c temperature__23c temperature__118c temperature__24c
temperature__54c temperature__137c temperature__56c temperature__7c temperature__26c temperature__145c temperature__12c temperature__145c temperature__44c temperature__47c
