Yellow DarkFuchsia PowderBlue Wheat SlateBlue Black LightYellow LightBlue PapayaWhip SeaGreen
MediumSlateBlue Firebrick MidnightBlue Plum MidnightBlue RosyBrown DeepSkyBlue Chartreuse Black DarkSalmon
Wheat Pink IndianRed LightSlateGray Firebrick Pink LightCoral Cornsilk SaddleBrown BlanchedAlmond
Turquoise Lime DodgerBlue MediumBlue SlateGray RoyalBlue Feldspar PaleGoldenrod MediumSpringGreen RosyBrown
Khaki LightSeaGreen ForestGreen DeepSkyBlue Coral DarkOrange BlanchedAlmond PaleGoldenrod Lavender DarkSeaGreen
MintCream LightGoldenrodYellow OliveDrab DarkViolet Purple Honeydew MediumAquamarine LightSeaGreen AntiqueWhite LightGreen
Purple MediumSeaGreen MintCream Silver SeaGreen PaleGreen DarkGreen MidnightBlue White LightSlateGray
Navy BlanchedAlmond Cornsilk Lime LightSlateGray DarkSeaGreen PapayaWhip Azure Black DarkCyan
LightCoral Silver Chocolate MediumPurple LightGoldenrodYellow MediumOrchid IndianRed DarkOrange LightBlue LightSeaGreen
FloralWhite MediumTurquoise DeepPink Gold LightSlateBlue DarkSalmon MediumOrchid MediumSlateBlue Teal Sienna
IndianRed MediumSeaGreen LightSlateGray Black Orange DarkSlateGray AntiqueWhite Blue DarkRed GhostWhite
temperature__144c temperature__108c temperature__70c temperature__2c temperature__26c temperature__109c temperature__51c temperature__5c temperature__147c temperature__11c
temperature__111c temperature__79c temperature__41c temperature__68c temperature__105c temperature__122c temperature__8c temperature__27c temperature__90c temperature__4c
temperature__74c temperature__59c temperature__87c temperature__71c temperature__50c temperature__126c temperature__27c temperature__129c temperature__63c temperature__40c
temperature__98c temperature__95c temperature__98c temperature__2c temperature__78c temperature__23c temperature__4c temperature__106c temperature__124c temperature__64c
temperature__24c temperature__65c temperature__85c temperature__145c temperature__139c temperature__141c temperature__51c temperature__27c temperature__23c temperature__92c
temperature__6c temperature__23c temperature__12c temperature__65c temperature__21c temperature__137c temperature__95c temperature__52c temperature__74c temperature__132c
temperature__44c temperature__85c temperature__41c temperature__28c temperature__129c temperature__31c temperature__141c temperature__54c temperature__144c temperature__105c
temperature__141c temperature__64c temperature__36c temperature__98c temperature__7c temperature__36c temperature__50c temperature__109c temperature__90c temperature__78c
temperature__69c temperature__69c temperature__49c temperature__140c temperature__138c temperature__12c temperature__147c temperature__69c temperature__74c temperature__17c
temperature__65c temperature__11c temperature__0c temperature__10c temperature__53c temperature__86c temperature__109c temperature__92c temperature__74c temperature__137c
temperature__92c temperature__42c temperature__109c temperature__132c temperature__139c temperature__82c temperature__116c temperature__77c temperature__87c temperature__51c
PrimeNumber_83 PrimeNumber_397 PrimeNumber_431 PrimeNumber_229 PrimeNumber_509 PrimeNumber_7 PrimeNumber_311 PrimeNumber_71 PrimeNumber_29 PrimeNumber_293
PrimeNumber_47 PrimeNumber_359 PrimeNumber_271 PrimeNumber_181 PrimeNumber_499 PrimeNumber_2 PrimeNumber_547 PrimeNumber_433 PrimeNumber_349 PrimeNumber_311
PrimeNumber_13 PrimeNumber_11 PrimeNumber_7 PrimeNumber_349 PrimeNumber_193 PrimeNumber_401 PrimeNumber_359 PrimeNumber_311 PrimeNumber_367 PrimeNumber_83
PrimeNumber_347 PrimeNumber_241 PrimeNumber_349 PrimeNumber_83 PrimeNumber_157 PrimeNumber_101 PrimeNumber_359 PrimeNumber_239 PrimeNumber_173 PrimeNumber_509
PrimeNumber_449 PrimeNumber_127 PrimeNumber_503 PrimeNumber_269 PrimeNumber_379 PrimeNumber_313 PrimeNumber_5 PrimeNumber_127 PrimeNumber_239 PrimeNumber_127
PrimeNumber_449 PrimeNumber_401 PrimeNumber_149 PrimeNumber_167 PrimeNumber_113 PrimeNumber_547 PrimeNumber_199 PrimeNumber_5 PrimeNumber_137 PrimeNumber_193
