grumpy wrong successful anxious homeless fair joyous dangerous clumsy amused
sleepy selfish odd grotesque stormy friendly easy prickly bright homeless
mysterious disturbed misty panicky embarrassed plain enthusiastic unusual clever embarrassed
fine annoying cloudy disgusted smiling cute faithful famous careful impossible
selfish embarrassed enthusiastic innocent impossible defiant beautiful amused cautious weary
fine defiant eager open glorious horrible grieving disturbed talented vivacious
nice obnoxious nutty dangerous average frantic bad lucky worrisome brave
adorable perfect defiant pleasant elegant lazy courageous troubled tame dark
defeated energetic dangerous panicky worrisome open vast proud fragile cautious
prickly encouraging careful quaint cautious lonely open condemned motionless fancy
healthy defeated gifted crowded encouraging comfortable curious bad thoughtless funny
temperature__147c temperature__68c temperature__33c temperature__12c temperature__120c temperature__39c temperature__142c temperature__53c temperature__54c temperature__70c
temperature__126c temperature__46c temperature__122c temperature__65c temperature__87c temperature__71c temperature__50c temperature__61c temperature__130c temperature__35c
temperature__142c temperature__146c temperature__142c temperature__129c temperature__79c temperature__65c temperature__53c temperature__100c temperature__79c temperature__105c
temperature__58c temperature__71c temperature__124c temperature__91c temperature__69c temperature__105c temperature__11c temperature__23c temperature__105c temperature__23c
temperature__147c temperature__82c temperature__28c temperature__42c temperature__137c temperature__23c temperature__144c temperature__2c temperature__69c temperature__126c
temperature__136c temperature__120c temperature__16c temperature__142c temperature__64c temperature__31c temperature__86c temperature__129c temperature__64c temperature__2c
temperature__120c temperature__7c temperature__56c temperature__22c temperature__148c temperature__118c temperature__50c temperature__23c temperature__4c temperature__86c
temperature__17c temperature__11c temperature__8c temperature__108c temperature__131c temperature__145c temperature__77c temperature__98c temperature__65c temperature__79c
temperature__79c temperature__87c temperature__116c temperature__92c temperature__79c temperature__44c temperature__10c temperature__14c temperature__138c temperature__92c
temperature__123c temperature__131c temperature__95c temperature__146c temperature__77c temperature__28c temperature__119c temperature__129c temperature__126c temperature__138c
temperature__78c temperature__0c temperature__142c temperature__54c temperature__33c temperature__51c temperature__93c temperature__98c temperature__120c temperature__144c
SquareNumber_4761 SquareNumber_9025 SquareNumber_6889 SquareNumber_9025 SquareNumber_2916 SquareNumber_5929 SquareNumber_8649 SquareNumber_6400 SquareNumber_8649 SquareNumber_1156
SquareNumber_10000 SquareNumber_64 SquareNumber_361 SquareNumber_5625 SquareNumber_400 SquareNumber_2304 SquareNumber_196 SquareNumber_9604 SquareNumber_2116 SquareNumber_64
SquareNumber_2209 SquareNumber_9216 SquareNumber_4761 SquareNumber_3844 SquareNumber_9801 SquareNumber_2209 SquareNumber_1600 SquareNumber_2500 SquareNumber_625 SquareNumber_576
SquareNumber_6400 SquareNumber_1156 SquareNumber_81 SquareNumber_64 SquareNumber_6724 SquareNumber_6889 SquareNumber_2500 SquareNumber_1156 SquareNumber_9604 SquareNumber_9801
SquareNumber_729 SquareNumber_5041 SquareNumber_4225 SquareNumber_841 SquareNumber_8100 SquareNumber_1681 SquareNumber_2704 SquareNumber_7744 SquareNumber_961 SquareNumber_7225
SquareNumber_64 SquareNumber_2500 SquareNumber_4624 SquareNumber_400 SquareNumber_3136 SquareNumber_9025 SquareNumber_25 SquareNumber_441 SquareNumber_1936 SquareNumber_169
SquareNumber_8649 SquareNumber_1024 SquareNumber_5329 SquareNumber_576 SquareNumber_6241 SquareNumber_1024 SquareNumber_1444 SquareNumber_676 SquareNumber_729 SquareNumber_484
SquareNumber_7921 SquareNumber_900 SquareNumber_676 SquareNumber_100 SquareNumber_1600 SquareNumber_6400 SquareNumber_6400 SquareNumber_289 SquareNumber_2304 SquareNumber_2209
SquareNumber_4225 SquareNumber_169 SquareNumber_6400 SquareNumber_3844 SquareNumber_3481 SquareNumber_8836 SquareNumber_49 SquareNumber_9801 SquareNumber_1444 SquareNumber_8464
SquareNumber_10000 SquareNumber_4096 SquareNumber_1681 SquareNumber_3600 SquareNumber_1369 SquareNumber_4 SquareNumber_8649 SquareNumber_9 SquareNumber_400 SquareNumber_6241
SquareNumber_8100 SquareNumber_10000 SquareNumber_4096 SquareNumber_2601 SquareNumber_841 SquareNumber_9801 SquareNumber_1936 SquareNumber_6400 SquareNumber_81 SquareNumber_324
CubeNumber_12167 CubeNumber_59319 CubeNumber_941192 CubeNumber_19683 CubeNumber_531441 CubeNumber_132651 CubeNumber_205379 CubeNumber_274625 CubeNumber_729 CubeNumber_729000
