excited doubtful putrid cute cautious depressed black eager naughty blue-eyed
open repulsive mysterious bright pleasant unsightly wandering troubled kind light
doubtful lovely odd comfortable obedient elated powerful impossible expensive blue
mysterious gentle famous ill annoying odd uninterested average rich horrible
open open adorable healthy plain doubtful bored blue-eyed stormy colorful
curious nervous selfish helpful disgusted curious ugliest sore dizzy aggressive
weary victorious breakable better glamorous uninterested bright energetic puzzled frightened
uptight ill super hungry tough nice good faithful blushing prickly
spotless long dull clean fancy motionless lively clever horrible terrible
ugly sleepy nice expensive terrible awful graceful alive kind delightful
muddy wild graceful spotless uninterested amused strange thoughtful tasty tense
temperature__12c temperature__118c temperature__105c temperature__124c temperature__28c temperature__65c temperature__16c temperature__119c temperature__105c temperature__11c
temperature__10c temperature__5c temperature__88c temperature__109c temperature__26c temperature__34c temperature__63c temperature__122c temperature__78c temperature__56c
temperature__78c temperature__147c temperature__7c temperature__87c temperature__57c temperature__14c temperature__131c temperature__46c temperature__92c temperature__74c
temperature__122c temperature__71c temperature__17c temperature__119c temperature__147c temperature__124c temperature__105c temperature__49c temperature__65c temperature__2c
temperature__70c temperature__39c temperature__42c temperature__144c temperature__141c temperature__52c temperature__91c temperature__108c temperature__41c temperature__16c
temperature__44c temperature__136c temperature__31c temperature__47c temperature__116c temperature__5c temperature__93c temperature__84c temperature__63c temperature__31c
temperature__64c temperature__92c temperature__56c temperature__39c temperature__108c temperature__2c temperature__141c temperature__7c temperature__17c temperature__68c
temperature__98c temperature__108c temperature__85c temperature__145c temperature__64c temperature__137c temperature__70c temperature__139c temperature__5c temperature__85c
temperature__119c temperature__131c temperature__11c temperature__146c temperature__22c temperature__33c temperature__33c temperature__27c temperature__82c temperature__82c
temperature__109c temperature__6c temperature__98c temperature__14c temperature__69c temperature__40c temperature__141c temperature__17c temperature__93c temperature__3c
temperature__28c temperature__95c temperature__82c temperature__69c temperature__78c temperature__98c temperature__27c temperature__142c temperature__11c temperature__92c
CornflowerBlue LightSteelBlue LightYellow PaleGreen OrangeRed DarkCyan DeepSkyBlue DarkFuchsia Chartreuse LightSteelBlue
Aquamarine Honeydew DarkBlue Azure DarkFuchsia SeaGreen Tomato PaleTurquoise DarkGreen DeepSkyBlue
LightCyan Lime Indigo GreenYellow OldLace LightSlateBlue LightYellow Gray PaleGreen Khaki
Khaki FloralWhite Azure DarkSalmon Pink SeaGreen Navy NavajoWhite LightSkyBlue IndianRed
Lime LightGray DodgerBlue Teal DarkFuchsia CornflowerBlue OliveDrab DarkCyan LightPink RosyBrown
