LightPink Maroon MediumAquamarine LavenderBlush Gold SeaGreen Teal LightSkyBlue LightSeaGreen DarkFuchsia
NavajoWhite BlanchedAlmond PapayaWhip Red SandyBrown Gainsboro Wheat Aquamarine LightSalmon Black
Black MediumSlateBlue Maroon AntiqueWhite Fuchsia Purple Sienna Peru PaleGoldenrod SlateGray
DarkViolet SeaGreen MediumOrchid DarkOliveGreen ForestGreen White Khaki Beige Firebrick LightSteelBlue
PaleGreen Lavender DarkOliveGreen Gainsboro LightGray DarkKhaki PaleTurquoise VioletRed OrangeRed Brown
DarkSlateGray Sienna DeepPink DarkTurquoise Azure LightGray GhostWhite SlateGray PaleVioletRed LightSeaGreen
DimGray PaleGoldenrod PeachPuff LightCoral SandyBrown OrangeRed DimGray Bisque DarkRed Blue
Tan Purple Burlywood Orchid DarkSlateGray Indigo Maroon Cyan BlanchedAlmond Beige
Cyan LightSeaGreen AntiqueWhite LightBlue Snow PaleTurquoise Snow Firebrick Purple Blue
LimeGreen DarkGoldenrod ForestGreen MediumTurquoise Brown LimeGreen WhiteSmoke DarkSlateBlue Burlywood Sienna
LightCoral DarkFuchsia MediumTurquoise Firebrick DarkOrchid DarkCyan Orange Goldenrod PaleGoldenrod ForestGreen
temperature__88c temperature__65c temperature__105c temperature__31c temperature__78c temperature__136c temperature__74c temperature__22c temperature__116c temperature__109c
temperature__120c temperature__58c temperature__140c temperature__78c temperature__145c temperature__142c temperature__144c temperature__124c temperature__119c temperature__141c
temperature__144c temperature__34c temperature__47c temperature__3c temperature__68c temperature__30c temperature__85c temperature__2c temperature__36c temperature__53c
temperature__84c temperature__74c temperature__21c temperature__84c temperature__82c temperature__30c temperature__112c temperature__33c temperature__122c temperature__52c
temperature__35c temperature__8c temperature__26c temperature__120c temperature__105c temperature__65c temperature__0c temperature__59c temperature__58c temperature__91c
temperature__112c temperature__73c temperature__51c temperature__142c temperature__53c temperature__138c temperature__145c temperature__84c temperature__61c temperature__63c
temperature__26c temperature__21c temperature__141c temperature__51c temperature__46c temperature__95c temperature__50c temperature__130c temperature__90c temperature__119c
temperature__112c temperature__109c temperature__105c temperature__144c temperature__90c temperature__74c temperature__8c temperature__144c temperature__126c temperature__71c
temperature__42c temperature__111c temperature__137c temperature__28c temperature__123c temperature__16c temperature__34c temperature__28c temperature__17c temperature__70c
temperature__116c temperature__14c temperature__78c temperature__131c temperature__78c temperature__129c temperature__35c temperature__51c temperature__137c temperature__82c
temperature__123c temperature__131c temperature__68c temperature__8c temperature__57c temperature__64c temperature__61c temperature__68c temperature__116c temperature__84c
BinaryNumber_1001000 BinaryNumber_0000001 BinaryNumber_0010011 BinaryNumber_1011110 BinaryNumber_0000010 BinaryNumber_0110110 BinaryNumber_0111111 BinaryNumber_0101111 BinaryNumber_0111101 BinaryNumber_0101100
BinaryNumber_1011111 BinaryNumber_0101111 BinaryNumber_0011000 BinaryNumber_0001101 BinaryNumber_0010011 BinaryNumber_0001000 BinaryNumber_1011011 BinaryNumber_0100100 BinaryNumber_0000011 BinaryNumber_0110001
