PeachPuff BlueViolet Turquoise CadetBlue SteelBlue WhiteSmoke Burlywood PaleGreen Teal LightGoldenrod
BlanchedAlmond MintCream Wheat Purple PowderBlue DarkOrange SlateBlue Green DarkTurquoise NavajoWhite
LawnGreen Plum Pink PaleGreen Tomato DarkOrange VioletRed LightPink MistyRose White
DarkViolet Thistle LightSlateBlue NavajoWhite Honeydew LavenderBlush MediumSpringGreen CadetBlue Chartreuse Black
MediumSlateBlue MintCream Azure Gray Teal Teal Red MediumSeaGreen LightCoral PaleGoldenrod
Aquamarine SlateGray Teal IndianRed LightCyan LightGoldenrodYellow Red Teal Orchid LightSeaGreen
MediumVioletRed PapayaWhip Orange Black GreenYellow LightSlateGray Teal Cornsilk DarkGray DarkBlue
MediumSeaGreen Salmon DarkGreen Sienna DarkOliveGreen DarkFuchsia Crimson Teal Purple DarkViolet
Feldspar SeaGreen BlueViolet Moccasin DarkFuchsia Gainsboro Pink DarkOliveGreen OldLace DeepPink
MediumSpringGreen DarkSlateGray DarkViolet Feldspar Peru GhostWhite Sienna MediumTurquoise DarkGoldenrod DeepPink
HotPink Gray PeachPuff Burlywood DarkSeaGreen Goldenrod PeachPuff SteelBlue Olive LightSalmon
CubeNumber_456533 CubeNumber_46656 CubeNumber_64 CubeNumber_195112 CubeNumber_884736 CubeNumber_531441 CubeNumber_474552 CubeNumber_830584 CubeNumber_59319 CubeNumber_531441
CubeNumber_24389 CubeNumber_941192 CubeNumber_13824 CubeNumber_97336 CubeNumber_50653 CubeNumber_274625 CubeNumber_3375 CubeNumber_753571 CubeNumber_97336 CubeNumber_59319
CubeNumber_343000 CubeNumber_4913 CubeNumber_175616 CubeNumber_21952 CubeNumber_19683 CubeNumber_110592 CubeNumber_157464 CubeNumber_729000 CubeNumber_64 CubeNumber_287496
CubeNumber_531441 CubeNumber_941192 CubeNumber_32768 CubeNumber_10648 CubeNumber_830584 CubeNumber_912673 CubeNumber_1331 CubeNumber_512 CubeNumber_103823 CubeNumber_681472
CubeNumber_729000 CubeNumber_778688 CubeNumber_262144 CubeNumber_4913 CubeNumber_571787 CubeNumber_24389 CubeNumber_512000 CubeNumber_132651 CubeNumber_681472 CubeNumber_185193
CubeNumber_493039 CubeNumber_778688 CubeNumber_357911 CubeNumber_778688 CubeNumber_12167 CubeNumber_216 CubeNumber_1000 CubeNumber_19683 CubeNumber_571787 CubeNumber_753571
CubeNumber_97336 CubeNumber_373248 CubeNumber_97336 CubeNumber_216000 CubeNumber_74088 CubeNumber_551368 CubeNumber_778688 CubeNumber_389017 CubeNumber_97336 CubeNumber_216000
CubeNumber_6859 CubeNumber_830584 CubeNumber_12167 CubeNumber_1331 CubeNumber_274625 CubeNumber_941192 CubeNumber_9261 CubeNumber_3375 CubeNumber_166375 CubeNumber_274625
