Lavender DarkSlateGray Khaki LightBlue OliveDrab Coral DarkGreen DarkOrange Moccasin Aquamarine
FloralWhite AntiqueWhite DarkOrange SlateGray Gray AliceBlue Goldenrod LightSlateGray DarkKhaki FloralWhite
Red Goldenrod Thistle Aquamarine HotPink IndianRed AliceBlue Burlywood Aquamarine Tomato
Coral Chocolate Cyan MediumPurple DarkOrange HotPink LavenderBlush LightGray LightSeaGreen Lime
BlueViolet Black Fuchsia Chocolate Turquoise MediumSlateBlue Navy SkyBlue OliveDrab LightSteelBlue
DarkFuchsia LightSlateGray Teal DeepPink LawnGreen DarkCyan MediumSlateBlue SteelBlue MistyRose DarkSlateBlue
Yellow RosyBrown Plum DarkBlue SpringGreen MediumVioletRed Ivory NavajoWhite DodgerBlue SeaGreen
Seashell Fuchsia RoyalBlue PapayaWhip Plum DarkFuchsia BlanchedAlmond LightCoral DimGray LightSkyBlue
Purple RoyalBlue DarkOliveGreen Azure LightSkyBlue LawnGreen Indigo Ivory DarkFuchsia Wheat
LightGray DeepPink DarkRed PaleGoldenrod MediumAquamarine CadetBlue MintCream Chocolate OliveDrab Yellow
DarkBlue LightSlateBlue PaleVioletRed LawnGreen NavajoWhite Burlywood Khaki VioletRed Indigo DarkGoldenrod
CubeNumber_125000 CubeNumber_85184 CubeNumber_343 CubeNumber_389017 CubeNumber_357911 CubeNumber_35937 CubeNumber_1728 CubeNumber_1331 CubeNumber_592704 CubeNumber_148877
CubeNumber_39304 CubeNumber_10648 CubeNumber_39304 CubeNumber_148877 CubeNumber_343 CubeNumber_35937 CubeNumber_15625 CubeNumber_74088 CubeNumber_27 CubeNumber_29791
CubeNumber_54872 CubeNumber_804357 CubeNumber_1728 CubeNumber_54872 CubeNumber_912673 CubeNumber_287496 CubeNumber_1331 CubeNumber_912673 CubeNumber_68921 CubeNumber_91125
CubeNumber_512000 CubeNumber_531441 CubeNumber_64 CubeNumber_17576 CubeNumber_493039 CubeNumber_110592 CubeNumber_328509 CubeNumber_4913 CubeNumber_32768 CubeNumber_205379
CubeNumber_274625 CubeNumber_74088 CubeNumber_421875 CubeNumber_1000 CubeNumber_125 CubeNumber_343000 CubeNumber_314432 CubeNumber_830584 CubeNumber_50653 CubeNumber_15625
CubeNumber_778688 CubeNumber_39304 CubeNumber_2197 CubeNumber_658503 CubeNumber_8000 CubeNumber_2197 CubeNumber_357911 CubeNumber_4913 CubeNumber_250047 CubeNumber_1000
CubeNumber_2744 CubeNumber_636056 CubeNumber_314432 CubeNumber_287496 CubeNumber_24389 CubeNumber_42875 CubeNumber_343000 CubeNumber_343000 CubeNumber_29791 CubeNumber_830584
CubeNumber_912673 CubeNumber_64 CubeNumber_1000 CubeNumber_884736 CubeNumber_166375 CubeNumber_27000 CubeNumber_287496 CubeNumber_551368 CubeNumber_250047 CubeNumber_328509
