LightBlue Burlywood Chocolate GreenYellow OliveDrab LimeGreen ForestGreen Bisque PaleVioletRed LightSlateBlue
Cornsilk PowderBlue GhostWhite NavajoWhite Violet DarkKhaki Purple Blue MidnightBlue Linen
DarkSalmon Orchid Wheat DarkTurquoise Linen Orange SlateGray DarkOliveGreen Yellow SlateGray
PaleGoldenrod Tan LightPink Fuchsia Teal NavajoWhite Pink GhostWhite MediumSlateBlue BlueViolet
MediumSeaGreen DimGray Moccasin Cyan Ivory Gainsboro Brown SlateGray Blue LightCyan
LightSeaGreen Moccasin SlateBlue BlueViolet Lavender SpringGreen DarkViolet LightSlateGray Burlywood Yellow
ForestGreen PaleGoldenrod NavajoWhite PaleTurquoise DarkOrange Green PaleGoldenrod DeepPink DarkSlateGray Lavender
MediumSeaGreen DarkRed Silver MediumBlue Peru MediumPurple CadetBlue LightBlue SpringGreen Seashell
LightCoral Lavender SteelBlue MediumAquamarine MediumBlue MediumPurple Orchid Brown Silver RoyalBlue
HotPink FloralWhite Thistle MediumPurple Olive MediumBlue Black DarkSlateBlue Blue LimeGreen
Cyan Maroon DeepPink BlueViolet VioletRed Snow DeepPink Red Ivory MediumTurquoise
hypocrisy coercion extortion anonymity illegal proxy influence assail empire lobby
tarnish revelation coterie rebut denigrate malfeasance bamboozle blame beleaguer unjust
endorsement feud expose unjust acolyte reckless deflect saga embezzlement recrimination
engagement refute fiasco bribe hypocrisy conceal massive parry scandal plagiarism
sloth blame empire benefit integrity unethical unsavory tarnish mendacity collaboration
coercion expose collaboration fiasco expose claim plutocracy patriarchy defamation sloth
alliance obscure revelation saga endorsement prestidigitation endorsement bamboozle mercurial recrimination
integrity temptation onerous chicanery conceal assail ignorant dictatorship solicit endorsement
regime alliance cadre benefit intimidation deny plagiarism accusation blame partial
saga acolyte massive ignorant expose embezzlement malfeasance obscure engagement integrity
saga intimidation dictatorship deficit lobby expose refute influence demagogue endorsement
temperature__90c temperature__141c temperature__8c temperature__123c temperature__78c temperature__119c temperature__129c temperature__95c temperature__138c temperature__3c
temperature__111c temperature__126c temperature__0c temperature__65c temperature__61c temperature__65c temperature__61c temperature__10c temperature__8c temperature__6c
temperature__74c temperature__8c temperature__36c temperature__124c temperature__65c temperature__88c temperature__36c temperature__98c temperature__120c temperature__88c
temperature__33c temperature__106c temperature__4c temperature__54c temperature__42c temperature__95c temperature__53c temperature__34c temperature__78c temperature__7c
