PaleVioletRed WhiteSmoke Gold SpringGreen Maroon Red GreenYellow Wheat Plum MintCream
Teal PaleVioletRed Peru AntiqueWhite DarkSlateBlue MediumTurquoise SteelBlue Turquoise DarkKhaki Aquamarine
Blue Turquoise Olive Beige DarkViolet Maroon DarkOliveGreen DarkSlateGray SkyBlue LightGreen
Seashell Pink SeaGreen CornflowerBlue LightGray DarkTurquoise SkyBlue Orchid LightGreen OrangeRed
HotPink LightGreen Green Aquamarine LightSlateBlue LightSlateBlue Feldspar DarkBlue ForestGreen Turquoise
DeepPink Goldenrod MediumOrchid LightSkyBlue Linen Plum Brown MediumTurquoise GreenYellow LightGray
CadetBlue ForestGreen Linen MediumOrchid GhostWhite RoyalBlue Navy Black DarkOrange Gainsboro
Feldspar PaleVioletRed Cornsilk MintCream Fuchsia LightYellow PeachPuff Turquoise LightPink DarkCyan
GhostWhite Black Chartreuse Chartreuse GhostWhite LightPink LavenderBlush Thistle Turquoise CadetBlue
Cornsilk FloralWhite Sienna LawnGreen CornflowerBlue LightSeaGreen Coral Snow LightGoldenrodYellow Linen
DarkGoldenrod LightBlue MediumBlue LightSlateBlue Wheat LightYellow Thistle DeepPink MediumTurquoise DarkGoldenrod
temperature__111c temperature__85c temperature__95c temperature__112c temperature__28c temperature__22c temperature__4c temperature__57c temperature__50c temperature__49c
temperature__0c temperature__31c temperature__57c temperature__59c temperature__4c temperature__65c temperature__23c temperature__122c temperature__116c temperature__0c
temperature__78c temperature__49c temperature__61c temperature__111c temperature__142c temperature__78c temperature__78c temperature__118c temperature__144c temperature__118c
temperature__91c temperature__7c temperature__59c temperature__3c temperature__52c temperature__130c temperature__142c temperature__71c temperature__70c temperature__41c
temperature__145c temperature__26c temperature__79c temperature__137c temperature__136c temperature__95c temperature__64c temperature__142c temperature__14c temperature__100c
temperature__129c temperature__87c temperature__27c temperature__131c temperature__65c temperature__2c temperature__138c temperature__85c temperature__123c temperature__59c
temperature__3c temperature__41c temperature__108c temperature__92c temperature__90c temperature__50c temperature__54c temperature__16c temperature__34c temperature__90c
temperature__27c temperature__131c temperature__79c temperature__68c temperature__93c temperature__2c temperature__11c temperature__105c temperature__88c temperature__17c
temperature__6c temperature__3c temperature__39c temperature__108c temperature__53c temperature__2c temperature__50c temperature__59c temperature__109c temperature__118c
temperature__63c temperature__79c temperature__54c temperature__140c temperature__36c temperature__56c temperature__11c temperature__138c temperature__0c temperature__120c
temperature__6c temperature__78c temperature__109c temperature__56c temperature__28c temperature__0c temperature__136c temperature__59c temperature__68c temperature__105c
SquareNumber_4489 SquareNumber_4356 SquareNumber_5041 SquareNumber_1369 SquareNumber_8281 SquareNumber_2304 SquareNumber_400 SquareNumber_529 SquareNumber_6241 SquareNumber_100
SquareNumber_7569 SquareNumber_49 SquareNumber_2500 SquareNumber_7569 SquareNumber_16 SquareNumber_361 SquareNumber_9801 SquareNumber_7744 SquareNumber_1849 SquareNumber_49
SquareNumber_196 SquareNumber_100 SquareNumber_8836 SquareNumber_289 SquareNumber_4761 SquareNumber_1024 SquareNumber_169 SquareNumber_900 SquareNumber_3025 SquareNumber_3249
SquareNumber_4225 SquareNumber_8464 SquareNumber_36 SquareNumber_4489 SquareNumber_3721 SquareNumber_1296 SquareNumber_225 SquareNumber_81 SquareNumber_5329 SquareNumber_8464
SquareNumber_8836 SquareNumber_3844 SquareNumber_625 SquareNumber_169 SquareNumber_3600 SquareNumber_49 SquareNumber_4761 SquareNumber_784 SquareNumber_144 SquareNumber_2209
SquareNumber_1089 SquareNumber_4 SquareNumber_5476 SquareNumber_6724 SquareNumber_1156 SquareNumber_3249 SquareNumber_7396 SquareNumber_961 SquareNumber_4356 SquareNumber_529
