Pineberry Jackfruit Breadfruit Gooseberry Guava Jostaberry Loquat Cempedak Araza Mangosteen
Salak Lime Jujube Lemon Yuzu Clementine Tangelo Tangelo Prune Tangelo
Blackberry Pineapple Honeydew Cherry Mangosteen Plum Sapodilla Ackee Jambul Mandarine
Fig Peach Tamarillo Mandarine Honeydew Pear Tangelo Grapefruit Huckleberry Pineapple
Pineapple Boysenberry Lime Cherimoya Durian Fig Tangelo Raspberry Grape Jambul
Lime Pomelo Pawpaw Prune Tamarind Clementine Tangelo Tangelo Cempedak Pear
Ximenia Nance Yuzu Soursop Avocado Jujube Satsuma Pineberry Kiwano Damson
Bilberry Loquat Pear Honeyberry Bilberry Damson Redcurrant Jostaberry Gooseberry Mulberry
Longan Nance Nance Yuzu Rambutan  Huckleberry Huckleberry Cashew Damson Jambul
Mulberry Tayberry Avocado Raisin Jostaberry Gooseberry Apple Damson Kiwifruit Cashew
Araza Apple Lychee Nectarine Clementine Currant Kumquat Lulo Blueberry Lulo
16:46 22:53 18:25 16:42 10:44 14:14 18:41 20:42 18:49 17:42
20:15 19:52 14:42 20:46 20:46 21:45 12:19 19:45 10:28 18:19
21:54 20:33 13:10 18:16 11:28 18:36 11:54 16:39 10:55 17:52
16:48 21:44 10:12 12:30 15:17 10:11 15:45 10:48 11:43 22:14
15:13 21:36 22:34 23:51 13:32 15:20 10:32 19:36 21:34 23:28
17:49 17:46 13:39 18:13 16:21 10:28 12:19 16:54 15:26 11:29
19:25 21:28 20:53 16:10 22:30 15:44 12:27 18:26 10:14 19:41
11:33 11:52 13:44 18:13 12:16 12:32 13:16 15:38 16:30 17:47
12:46 13:35 21:41 14:31 19:47 19:34 10:20 23:27 23:34 23:47
12:32 16:31 11:13 11:16 22:47 10:25 23:43 11:39 21:10 20:43
23:46 19:31 14:12 15:18 22:12 14:54 17:25 13:24 15:21 18:28
BinaryNumber_0010000 BinaryNumber_0000011 BinaryNumber_0000100 BinaryNumber_1010010 BinaryNumber_0101011 BinaryNumber_0110010 BinaryNumber_1001101 BinaryNumber_0111011 BinaryNumber_0001100 BinaryNumber_0111110
BinaryNumber_0011011 BinaryNumber_0101111 BinaryNumber_1000101 BinaryNumber_0111101 BinaryNumber_1100001 BinaryNumber_1010111 BinaryNumber_0000100 BinaryNumber_0101110 BinaryNumber_1001011 BinaryNumber_0001110
BinaryNumber_0111110 BinaryNumber_1000000 BinaryNumber_0101111 BinaryNumber_0001100 BinaryNumber_1000011 BinaryNumber_0100011 BinaryNumber_0011111 BinaryNumber_0101010 BinaryNumber_0100000 BinaryNumber_0111011
BinaryNumber_0000010 BinaryNumber_0111001 BinaryNumber_0011100 BinaryNumber_0101100 BinaryNumber_0000110 BinaryNumber_0010111 BinaryNumber_0110111 BinaryNumber_0011000 BinaryNumber_0101101 BinaryNumber_0010111
BinaryNumber_0101111 BinaryNumber_0010111 BinaryNumber_1011011 BinaryNumber_0010001 BinaryNumber_1011101 BinaryNumber_0010000 BinaryNumber_1001011 BinaryNumber_0101110 BinaryNumber_1000000 BinaryNumber_0110101
BinaryNumber_1000100 BinaryNumber_0111001 BinaryNumber_0101000 BinaryNumber_0100100 BinaryNumber_0011010 BinaryNumber_1011101 BinaryNumber_1100011 BinaryNumber_1011011 BinaryNumber_0111100 BinaryNumber_0100001
BinaryNumber_0110010 BinaryNumber_0111001 BinaryNumber_1001000 BinaryNumber_1001110 BinaryNumber_0111010 BinaryNumber_0100010 BinaryNumber_0111101 BinaryNumber_0100000 BinaryNumber_1001101 BinaryNumber_1010101
BinaryNumber_1100001 BinaryNumber_0001000 BinaryNumber_0100001 BinaryNumber_1010111 BinaryNumber_0101111 BinaryNumber_0110000 BinaryNumber_0100001 BinaryNumber_1000111 BinaryNumber_0111110 BinaryNumber_0010111
BinaryNumber_1100001 BinaryNumber_0001100 BinaryNumber_0111111 BinaryNumber_0100010 BinaryNumber_0010100 BinaryNumber_0000011 BinaryNumber_0011111 BinaryNumber_0101111 BinaryNumber_1011001 BinaryNumber_0100001
