Durian Strawberry Quince Araza Longan Plumcot Kiwano Soursop Loquat Mangosteen
Honeydew Cherimoya Cloudberry Feijoa Passionfruit Nectarine Cempedak Cantaloupe Currant Breadfruit
Passionfruit Araza Redcurrant Lychee Salak Clementine Avocado Blueberry Tangerine Melon
Pomegranate Jambul Cherry Feijoa Watermelon Akebi Lemon Mangosteen Jujube Clementine
Peach Pomelo Pomelo Cempedak Mandarine Longan Grape Redcurrant Satsuma Jostaberry
Nance Honeyberry Lulo Pineapple Durian Honeyberry Damson Tamarind Feijoa Ackee
Blueberry Pawpaw Satsuma Cloudberry Pineberry Cantaloupe Avocado Tamarillo Honeydew Peach
Persimmon Plantain Fig Mandarine Plumcot Marionberry Mandarine Peach Redcurrant Apricot
Prune Lime Kiwifruit Nectarine Damson Bilberry Coconut Quince Lime Coconut
Pomelo Redcurrant Cherimoya Marionberry Lime Pomegranate Akebi Guava Redcurrant Sapodilla
Coconut Bilberry Açaí Elderberry Persimmon Redcurrant Lychee Mango Blackcurrant Honeyberry
BinaryNumber_0111011 BinaryNumber_0000001 BinaryNumber_0101011 BinaryNumber_0111101 BinaryNumber_0110010 BinaryNumber_0000100 BinaryNumber_0110110 BinaryNumber_1010110 BinaryNumber_0000110 BinaryNumber_1001011
BinaryNumber_0001101 BinaryNumber_0101101 BinaryNumber_1001000 BinaryNumber_1010001 BinaryNumber_0001010 BinaryNumber_1001000 BinaryNumber_0011010 BinaryNumber_0000110 BinaryNumber_1001001 BinaryNumber_0001110
BinaryNumber_1011111 BinaryNumber_0100000 BinaryNumber_1000100 BinaryNumber_0011010 BinaryNumber_0110110 BinaryNumber_1000110 BinaryNumber_1100011 BinaryNumber_0101001 BinaryNumber_0000101 BinaryNumber_0101011
BinaryNumber_1001101 BinaryNumber_0001101 BinaryNumber_0110100 BinaryNumber_0110011 BinaryNumber_1010010 BinaryNumber_1001011 BinaryNumber_1010010 BinaryNumber_0010001 BinaryNumber_0010011 BinaryNumber_1011101
BinaryNumber_1011100 BinaryNumber_0101000 BinaryNumber_0101011 BinaryNumber_1010000 BinaryNumber_1011100 BinaryNumber_1010111 BinaryNumber_0110100 BinaryNumber_1000001 BinaryNumber_1011011 BinaryNumber_0101110
