dangerous obnoxious homeless cute smiling eager blushing successful helpless grotesque
charming sparkling concerned agreeable wandering scary wicked obedient dull smoggy
joyous proud beautiful adorable proud uninterested alive encouraging wild worried
long wicked rich weary sleepy unusual awful stupid ugliest different
alive scary agreeable blue-eyed helpful odd defeated misty ashamed calm
drab distinct difficult open courageous expensive wicked wide-eyed exuberant calm
concerned upset blushing bad zealous clever zealous powerful courageous troubled
cooperative enthusiastic wrong agreeable annoyed innocent dead beautiful old-fashioned good
good thankful perfect naughty courageous dark agreeable nervous clumsy obnoxious
proud courageous homely calm defiant brainy wicked crazy awful smiling
witty nervous powerful modern upset cooperative jittery selfish tired comfortable
BinaryNumber_0110011 BinaryNumber_0001110 BinaryNumber_1010101 BinaryNumber_0000001 BinaryNumber_1100000 BinaryNumber_0001111 BinaryNumber_0110011 BinaryNumber_0100101 BinaryNumber_0100010 BinaryNumber_0111110
BinaryNumber_0000111 BinaryNumber_1001010 BinaryNumber_1001100 BinaryNumber_1011001 BinaryNumber_0100011 BinaryNumber_0100110 BinaryNumber_0011101 BinaryNumber_0100110 BinaryNumber_1011111 BinaryNumber_0100001
BinaryNumber_0100010 BinaryNumber_0110011 BinaryNumber_1100011 BinaryNumber_0111110 BinaryNumber_1010000 BinaryNumber_0000111 BinaryNumber_1001010 BinaryNumber_0011110 BinaryNumber_0101011 BinaryNumber_1001111
BinaryNumber_1001110 BinaryNumber_0111101 BinaryNumber_1011011 BinaryNumber_0110111 BinaryNumber_1001001 BinaryNumber_0011111 BinaryNumber_0001010 BinaryNumber_0000010 BinaryNumber_0010011 BinaryNumber_1011101
BinaryNumber_1011010 BinaryNumber_1010111 BinaryNumber_0111001 BinaryNumber_0111100 BinaryNumber_1010100 BinaryNumber_1011110 BinaryNumber_1000010 BinaryNumber_0001101 BinaryNumber_1011101 BinaryNumber_0110110
BinaryNumber_1010100 BinaryNumber_0110010 BinaryNumber_1010100 BinaryNumber_1000001 BinaryNumber_1001001 BinaryNumber_0110000 BinaryNumber_0010001 BinaryNumber_1001101 BinaryNumber_0011110 BinaryNumber_0010101
BinaryNumber_0000100 BinaryNumber_0010011 BinaryNumber_1010100 BinaryNumber_0000100 BinaryNumber_0101101 BinaryNumber_0011101 BinaryNumber_0000001 BinaryNumber_0110010 BinaryNumber_1011111 BinaryNumber_0100100
BinaryNumber_0001001 BinaryNumber_1000111 BinaryNumber_1011110 BinaryNumber_0011100 BinaryNumber_1011010 BinaryNumber_0100110 BinaryNumber_0010101 BinaryNumber_1010011 BinaryNumber_0111000 BinaryNumber_0011001
BinaryNumber_0000011 BinaryNumber_0000000 BinaryNumber_0100110 BinaryNumber_0001101 BinaryNumber_0001110 BinaryNumber_1100000 BinaryNumber_0000001 BinaryNumber_0110000 BinaryNumber_0100010 BinaryNumber_0011010
BinaryNumber_0110110 BinaryNumber_1010000 BinaryNumber_0110011 BinaryNumber_0101000 BinaryNumber_0001001 BinaryNumber_1100011 BinaryNumber_1001001 BinaryNumber_1010000 BinaryNumber_0000011 BinaryNumber_0010011
BinaryNumber_0010111 BinaryNumber_0010011 BinaryNumber_0000001 BinaryNumber_0110100 BinaryNumber_0111110 BinaryNumber_0010111 BinaryNumber_0010010 BinaryNumber_1100011 BinaryNumber_0110000 BinaryNumber_0000101
18:41 15:18 10:38 23:27 23:32 11:53 12:37 18:32 15:35 21:43
21:31 20:36 18:34 14:32 19:15 20:54 23:31 15:15 18:26 14:22
18:23 13:49 20:41 17:33 19:23 17:15 23:51 23:34 23:48 10:30
17:43 17:10 16:44 14:17 11:39 19:38 23:36 17:51 12:33 14:47
15:34 10:52 16:23 19:41 19:53 23:51 23:49 17:44 22:50 22:25
15:49 11:29 18:45 16:15 19:42 20:38 15:42 22:55 15:16 10:40
12:32 21:33 18:22 13:56 19:20 20:15 12:54 14:33 13:32 11:55
13:55 13:43 14:38 13:49 14:33 15:51 13:40 23:45 14:21 23:53
15:33 20:46 17:17 11:48 12:57 23:26 18:10 20:16 14:46 19:14
20:51 21:48 10:49 21:41 14:57 13:25 22:40 21:19 17:52 13:53
