obnoxious smiling drab envious tasty arrogant determined mushy silly concerned
pleasant agreeable confused attractive annoyed misty glorious zealous open graceful
lively dizzy creepy courageous better obedient terrible happy odd happy
joyous fancy sleepy cheerful arrogant thoughtful aggressive jittery blue delightful
confused graceful gleaming dizzy annoyed scary perfect tired tender adventurous
clear enthusiastic determined fine splendid long cloudy troubled amused ugliest
clean hungry weary fancy healthy helpful wrong pleasant joyous horrible
lovely arrogant homeless charming calm rich breakable annoyed successful poised
uninterested exuberant annoyed kind clever curious helpless cautious wrong beautiful
dull tough impossible encouraging pleasant poised awful repulsive graceful dizzy
clumsy cruel repulsive uptight long gleaming pleasant anxious disgusted depressed
temperature__69c temperature__69c temperature__78c temperature__39c temperature__17c temperature__90c temperature__34c temperature__82c temperature__122c temperature__35c
temperature__87c temperature__49c temperature__93c temperature__68c temperature__8c temperature__132c temperature__71c temperature__78c temperature__39c temperature__78c
temperature__41c temperature__56c temperature__70c temperature__140c temperature__30c temperature__77c temperature__122c temperature__46c temperature__118c temperature__7c
temperature__100c temperature__145c temperature__46c temperature__85c temperature__33c temperature__95c temperature__141c temperature__11c temperature__3c temperature__78c
temperature__139c temperature__22c temperature__130c temperature__23c temperature__30c temperature__26c temperature__106c temperature__100c temperature__68c temperature__137c
temperature__49c temperature__34c temperature__111c temperature__52c temperature__22c temperature__129c temperature__16c temperature__85c temperature__68c temperature__105c
temperature__82c temperature__105c temperature__54c temperature__10c temperature__47c temperature__146c temperature__42c temperature__33c temperature__10c temperature__78c
temperature__47c temperature__139c temperature__40c temperature__85c temperature__12c temperature__40c temperature__73c temperature__86c temperature__36c temperature__73c
temperature__142c temperature__5c temperature__98c temperature__57c temperature__84c temperature__35c temperature__44c temperature__82c temperature__130c temperature__79c
temperature__10c temperature__52c temperature__3c temperature__14c temperature__92c temperature__129c temperature__116c temperature__21c temperature__119c temperature__34c
temperature__4c temperature__34c temperature__10c temperature__146c temperature__8c temperature__24c temperature__47c temperature__116c temperature__108c temperature__47c
Passionfruit Salmonberry Lychee Clementine Durian Redcurrant Pomegranate Cherry Pineapple Mangosteen
