MediumSlateBlue GhostWhite ForestGreen Maroon Bisque Yellow IndianRed Goldenrod SaddleBrown BlueViolet
LightPink Violet LawnGreen WhiteSmoke DarkBlue LightSeaGreen Chartreuse MediumSlateBlue PapayaWhip Thistle
Olive Aquamarine IndianRed DarkFuchsia MediumSeaGreen HotPink DarkCyan LightGray PeachPuff DarkSlateGray
LawnGreen DarkOliveGreen LightSalmon LawnGreen Gainsboro LemonChiffon CornflowerBlue Teal Beige Peru
MediumOrchid LimeGreen Indigo LimeGreen LightSlateBlue LightGoldenrod LightGoldenrod LightSalmon LightGoldenrod Ivory
AliceBlue LavenderBlush Gold Green ForestGreen DarkSlateBlue Coral AntiqueWhite NavajoWhite HotPink
Purple Cyan Gold Azure DarkViolet DarkGray LavenderBlush DarkRed Plum LemonChiffon
Honeydew Indigo MediumBlue Lime Yellow Goldenrod AliceBlue DarkSlateBlue WhiteSmoke PowderBlue
DarkFuchsia Wheat PaleVioletRed AliceBlue DimGray DarkSeaGreen DarkBlue MediumBlue DeepPink LightSalmon
MediumSpringGreen Gold BlanchedAlmond Crimson Black DarkFuchsia HotPink Turquoise ForestGreen Chartreuse
SteelBlue MediumBlue Teal MintCream WhiteSmoke Salmon Snow Purple DeepSkyBlue DarkKhaki
BinaryNumber_0100101 BinaryNumber_1010001 BinaryNumber_0110010 BinaryNumber_0001101 BinaryNumber_0100001 BinaryNumber_0000001 BinaryNumber_0011100 BinaryNumber_0100010 BinaryNumber_1001100 BinaryNumber_0100111
BinaryNumber_0110001 BinaryNumber_0111001 BinaryNumber_0010100 BinaryNumber_1000110 BinaryNumber_0110010 BinaryNumber_1011001 BinaryNumber_0011000 BinaryNumber_0111000 BinaryNumber_0110110 BinaryNumber_0000111
BinaryNumber_1001101 BinaryNumber_1100010 BinaryNumber_1001100 BinaryNumber_0000100 BinaryNumber_0011101 BinaryNumber_0100100 BinaryNumber_0100011 BinaryNumber_1010010 BinaryNumber_1100010 BinaryNumber_0110111
BinaryNumber_1001001 BinaryNumber_0101011 BinaryNumber_1001010 BinaryNumber_1001110 BinaryNumber_1011101 BinaryNumber_1000011 BinaryNumber_0100101 BinaryNumber_0100001 BinaryNumber_0111001 BinaryNumber_1011011
BinaryNumber_0110111 BinaryNumber_0011011 BinaryNumber_1011101 BinaryNumber_1010010 BinaryNumber_1010000 BinaryNumber_0110010 BinaryNumber_1001011 BinaryNumber_0111100 BinaryNumber_0100010 BinaryNumber_1010001
BinaryNumber_0110111 BinaryNumber_1001101 BinaryNumber_0101110 BinaryNumber_0000001 BinaryNumber_0110111 BinaryNumber_0101111 BinaryNumber_0011101 BinaryNumber_0001000 BinaryNumber_0101110 BinaryNumber_0111011
BinaryNumber_1010000 BinaryNumber_0111010 BinaryNumber_1011010 BinaryNumber_1100010 BinaryNumber_0000001 BinaryNumber_0000001 BinaryNumber_0111101 BinaryNumber_0010010 BinaryNumber_0101100 BinaryNumber_0000000
BinaryNumber_0000000 BinaryNumber_0001110 BinaryNumber_0000011 BinaryNumber_0010101 BinaryNumber_0000011 BinaryNumber_0100111 BinaryNumber_0001010 BinaryNumber_1010011 BinaryNumber_0010001 BinaryNumber_0111000
BinaryNumber_0001101 BinaryNumber_0010010 BinaryNumber_1100001 BinaryNumber_0010100 BinaryNumber_0100010 BinaryNumber_1011110 BinaryNumber_1000011 BinaryNumber_1100001 BinaryNumber_0011101 BinaryNumber_1011011
BinaryNumber_0110011 BinaryNumber_1010001 BinaryNumber_0101011 BinaryNumber_0101001 BinaryNumber_1010010 BinaryNumber_1011001 BinaryNumber_0001011 BinaryNumber_0101000 BinaryNumber_1000110 BinaryNumber_1000100
