graceful light crowded inquisitive innocent faithful sleepy outstanding poised hilarious
poised zealous real unusual blue victorious enthusiastic ill smoggy lazy
tasty zealous anxious angry terrible clever misty fierce hungry shiny
jolly mysterious horrible clean joyous cooperative friendly fragile friendly lazy
bright witty naughty spotless poised unsightly stupid old-fashioned outstanding misty
lively embarrassed glamorous bewildered silly black alive cautious homeless important
blushing anxious mushy condemned nutty troubled fantastic repulsive shy busy
fragile horrible old-fashioned condemned kind fair prickly expensive silly worried
panicky grotesque modern powerful breakable gleaming horrible precious healthy lucky
clever odd talented elated different creepy mysterious inquisitive spotless average
perfect defeated careful lovely prickly frantic zany putrid drab eager
temperature__78c temperature__26c temperature__8c temperature__14c temperature__44c temperature__123c temperature__11c temperature__44c temperature__124c temperature__95c
temperature__129c temperature__42c temperature__88c temperature__31c temperature__54c temperature__16c temperature__131c temperature__30c temperature__6c temperature__88c
temperature__116c temperature__86c temperature__44c temperature__64c temperature__41c temperature__146c temperature__109c temperature__64c temperature__100c temperature__52c
temperature__95c temperature__54c temperature__86c temperature__87c temperature__137c temperature__73c temperature__59c temperature__24c temperature__116c temperature__69c
temperature__84c temperature__146c temperature__142c temperature__142c temperature__6c temperature__52c temperature__12c temperature__14c temperature__123c temperature__71c
temperature__95c temperature__63c temperature__98c temperature__17c temperature__73c temperature__100c temperature__93c temperature__27c temperature__33c temperature__88c
temperature__26c temperature__71c temperature__35c temperature__106c temperature__23c temperature__49c temperature__57c temperature__131c temperature__109c temperature__36c
temperature__36c temperature__137c temperature__27c temperature__88c temperature__122c temperature__90c temperature__21c temperature__146c temperature__44c temperature__92c
temperature__91c temperature__58c temperature__142c temperature__56c temperature__36c temperature__58c temperature__137c temperature__139c temperature__46c temperature__141c
temperature__22c temperature__58c temperature__146c temperature__34c temperature__50c temperature__73c temperature__12c temperature__35c temperature__23c temperature__84c
temperature__100c temperature__123c temperature__111c temperature__79c temperature__93c temperature__137c temperature__146c temperature__109c temperature__126c temperature__92c
Pharynx Tastebuds Liver Cerebellum Cochlea Lungs Capillaries Placenta Bladder Lungs
Trachea Analcanal Thymus Smallintestine Tendons Veins Capillaries Lens Mouth Ear
Gallbladder Capillaries Cerebellum Cochlea Duodenum Thalamus Bronchi Penis Cervix Uterus
Joints Cornea Earlobe Bladder Capillaries Liver Iris Analcanal Lens Veins
Uterus Muscle Teeth Pons Middleear Urethra Ossicles Pancreas Mouth Mouth
Eye Tongue Interstitium Joints Larynx Penis Jejunum Uterus Urethra Bone 
Joints Scrotum Cervix Ureter Kidneys Cochlea Bone  Cochlea Nerves Spinalnerves
Liver Cecum Mesentery Lymphaticvessel Esophagus Thalamus Arteries Ovaries Cochlea Trachea
Largeintestine Kidneys Bladder Sensoryorgans Bronchi Spinalnerves Earlobe Spleen Cochlea Smallintestine
Midbrain Sensoryorgans Tonsils Capillaries Ciliarybody Interstitium Eardrum Nerves Fallopiantubes Mesentery
Uterus Joints Smallintestine Eye Arteries Midbrain Interstitium Mesentery Trachea Middleear
BinaryNumber_0101011 BinaryNumber_1010111 BinaryNumber_0011011 BinaryNumber_0000111 BinaryNumber_0100110 BinaryNumber_0010100 BinaryNumber_1100010 BinaryNumber_0111100 BinaryNumber_0001111 BinaryNumber_0101001
BinaryNumber_0111101 BinaryNumber_0111101 BinaryNumber_1000100 BinaryNumber_0000001 BinaryNumber_0010000 BinaryNumber_0001100 BinaryNumber_0000111 BinaryNumber_0111000 BinaryNumber_1100011 BinaryNumber_1010010
BinaryNumber_0101111 BinaryNumber_0100011 BinaryNumber_1000011 BinaryNumber_1011011 BinaryNumber_0100100 BinaryNumber_1011000 BinaryNumber_1001101 BinaryNumber_0111101 BinaryNumber_0010100 BinaryNumber_1000000
BinaryNumber_1010101 BinaryNumber_1011000 BinaryNumber_1011000 BinaryNumber_0000011 BinaryNumber_0001000 BinaryNumber_0001010 BinaryNumber_1001010 BinaryNumber_0000110 BinaryNumber_1011001 BinaryNumber_1100001
BinaryNumber_1010000 BinaryNumber_0100100 BinaryNumber_0010000 BinaryNumber_1010101 BinaryNumber_1011101 BinaryNumber_0110010 BinaryNumber_1100001 BinaryNumber_1011000 BinaryNumber_1010111 BinaryNumber_0011011
BinaryNumber_1011000 BinaryNumber_0100011 BinaryNumber_1001101 BinaryNumber_0000000 BinaryNumber_1011000 BinaryNumber_1011011 BinaryNumber_1010001 BinaryNumber_0000011 BinaryNumber_0011101 BinaryNumber_0010011
BinaryNumber_1011000 BinaryNumber_0011110 BinaryNumber_0010100 BinaryNumber_1011000 BinaryNumber_0110101 BinaryNumber_1000110 BinaryNumber_0110010 BinaryNumber_0010011 BinaryNumber_1000000 BinaryNumber_0010001
BinaryNumber_0001010 BinaryNumber_1011101 BinaryNumber_0110100 BinaryNumber_0011001 BinaryNumber_0100111 BinaryNumber_0100001 BinaryNumber_0011010 BinaryNumber_0011010 BinaryNumber_0100101 BinaryNumber_1000101
BinaryNumber_1010111 BinaryNumber_0100101 BinaryNumber_1001001 BinaryNumber_1100010 BinaryNumber_0101100 BinaryNumber_0011010 BinaryNumber_0111111 BinaryNumber_1011110 BinaryNumber_0100000 BinaryNumber_0010011
BinaryNumber_1010111 BinaryNumber_0100011 BinaryNumber_0000100 BinaryNumber_1001010 BinaryNumber_1010011 BinaryNumber_0001001 BinaryNumber_1011010 BinaryNumber_0100010 BinaryNumber_0001000 BinaryNumber_0110110
BinaryNumber_1000110 BinaryNumber_1011100 BinaryNumber_0000100 BinaryNumber_1001101 BinaryNumber_0101001 BinaryNumber_0110011 BinaryNumber_1010011 BinaryNumber_0100101 BinaryNumber_0100110 BinaryNumber_0111101
Pear Lychee Loquat Tayberry Strawberry Gooseberry Apple Pomegranate Lime Clementine
Sapote Jambul Tangerine Apricot Loganberry Araza Acerola Banana Abiu Yuzu
Satsuma Papaya Plantain Kumquat Gooseberry Kiwano Cranberry Date Abiu Pawpaw
Pawpaw Jostaberry Lime Elderberry Clementine Guava Raspberry Durian Canistel Ackee
Salmonberry Cantaloupe Jambul Damson Breadfruit Salmonberry Clementine Coconut Cantaloupe Loquat
Loquat Fig Plantain Kumquat Date Date Salak Tamarillo Bilberry Rambutan 
