Cerebellum Spleen Nerves Tongue Middleear Gallbladder Cervix Lips Pharynx Ileum
Capillaries Gallbladder Retina Pharynx Innerear Bronchi Lungs Veins Bronchi Spleen
Innerear Gallbladder Smallintestine Tastebuds Analcanal Penis Vagina Cervix Middleear Tongue
Heart Uterus Teeth Urethra Rectum Penis Scrotum Tastebuds Larynx Iris
Uterus Ureter Cranialnerves Spinalnerves Clitoris Eye Eardrum Tongue Ligaments Trachea
Rectum Brain Joints Pons Jejunum Esophagus Urethra Spinalnerves Esophagus Capillaries
Lungs Eye Cervix Vulva Trachea Analcanal Largeintestine Tonsils Outerear Iris
Mesentery Trachea Cochlea Bladder Cerebellum Largeintestine Middleear Vagina Eye Bladder
Vulva Joints Pons Eardrum Bronchi Eye Arteries Muscle Mouth Largeintestine
Cecum Cervix Ear Middleear Pancreas Cochlea Analcanal Hypothalamus Hypothalamus Lungs
Ileum Urethra Tongue Mesentery Cecum Muscle Gallbladder Bone  Bone  Kidneys
BinaryNumber_0001011 BinaryNumber_1000011 BinaryNumber_1010011 BinaryNumber_0000011 BinaryNumber_0000000 BinaryNumber_1000101 BinaryNumber_1010001 BinaryNumber_0101101 BinaryNumber_0111000 BinaryNumber_0001011
BinaryNumber_0000011 BinaryNumber_1010011 BinaryNumber_0000001 BinaryNumber_0000001 BinaryNumber_0011000 BinaryNumber_1000101 BinaryNumber_0111010 BinaryNumber_1010111 BinaryNumber_1010111 BinaryNumber_0111101
BinaryNumber_0010101 BinaryNumber_0111110 BinaryNumber_0110011 BinaryNumber_1000001 BinaryNumber_0010111 BinaryNumber_1001001 BinaryNumber_0000111 BinaryNumber_0010011 BinaryNumber_1000110 BinaryNumber_1000000
BinaryNumber_1000110 BinaryNumber_1100001 BinaryNumber_0001000 BinaryNumber_0010001 BinaryNumber_0111110 BinaryNumber_1001110 BinaryNumber_0011010 BinaryNumber_0000101 BinaryNumber_0100010 BinaryNumber_1011000
