LightSalmon Plum DarkRed AliceBlue Silver Orange Violet MediumVioletRed Yellow Firebrick
Feldspar Snow DarkCyan LightYellow BlanchedAlmond Cornsilk DarkSalmon ForestGreen AntiqueWhite DarkCyan
DarkOliveGreen Beige DarkCyan DimGray Yellow PaleGreen CadetBlue Chocolate FloralWhite NavajoWhite
Lime PaleGreen Tan Azure Cyan WhiteSmoke Teal Pink Turquoise PeachPuff
Navy White Sienna IndianRed DarkRed Seashell Plum LightBlue RosyBrown Teal
GhostWhite BlanchedAlmond Violet DarkKhaki Brown DarkSlateGray Gainsboro SandyBrown Orange DarkViolet
Coral Indigo Indigo LightCyan LightYellow LightYellow LawnGreen Tan HotPink ForestGreen
LightGray DarkBlue Black Pink DarkSlateBlue PaleGreen LightGray PowderBlue DeepSkyBlue LavenderBlush
MediumSlateBlue Fuchsia LemonChiffon Feldspar Lavender GhostWhite Indigo Feldspar DeepSkyBlue LightSeaGreen
Sienna Cornsilk HotPink DarkGray MediumOrchid Silver Chocolate OliveDrab PowderBlue Pink
MediumSpringGreen HotPink DarkOrchid Chocolate Yellow Brown MediumVioletRed DarkGoldenrod AntiqueWhite Orchid
Loganberry Yuzu Cashew Quince Grape Satsuma Jackfruit Banana Canistel Plumcot
Cantaloupe Durian Honeyberry Ackee Nectarine Ackee Papaya Tayberry Raisin Yuzu
Tayberry Grapefruit Cranberry Lemon Pomegranate Tayberry Jujube Melon Jackfruit Cempedak
Tamarillo Lychee Strawberry Plantain Jackfruit Mango Araza Avocado Apple Avocado
Rambutan  Tangerine Apple Ximenia Banana Akebi Jostaberry Cempedak Yuzu Redcurrant
Ackee Blackcurrant Quince Plantain Akebi Apple Papaya Elderberry Kumquat Cloudberry
Sapodilla Plumcot Tangelo Açaí Fig Loquat Peach Mangosteen Soursop Kumquat
Elderberry Cherry Bilberry Mango Raspberry Cloudberry Date Raisin Cantaloupe Breadfruit
Nectarine Honeydew Jambul Tayberry Acerola Lulo Honeydew Cempedak Peach Pineberry
Quince Watermelon Lemon Huckleberry Cranberry Melon Tamarillo Sapote Pear Fig
Akebi Tangelo Kiwifruit Guava Raspberry Jambul Gooseberry Loganberry Rambutan  Gooseberry
